home_team,away_team,game_id,season,week,spread_line,home_Composite_rank,home_Composite,home_FPI,home_nfelo,home_GPF,home_unexpected_points,home_dvoa,home_PFF,home_FPI_rank,home_nfelo_rank,home_GPF_rank,home_unexpected_points_rank,home_dvoa_rank,home_pff_rank,away_Composite_rank,away_Composite,away_FPI,away_nfelo,away_GPF,away_unexpected_points,away_dvoa,away_PFF,away_FPI_rank,away_nfelo_rank,away_GPF_rank,away_unexpected_points_rank,away_dvoa_rank,away_pff_rank,rtg_diff_Composite,spread_diff_Composite,rtg_diff_FPI,rtg_diff_nfelo,rtg_diff_GPF,rtg_diff_unexpected_points,rtg_diff_dvoa,rtg_diff_PFF,bet_team_FPI,bet_team_nfelo,bet_team_GPF,bet_team_unexpected_points,bet_team_dvoa,bet_team_PFF,bet_team_Composite
LAC,MIN,2025_08_MIN_LAC,2025,8,-3,15,0.6,1,0.3,1.5,0.5,-0.8,1.2,14,14,11,17,22,14,18,0.2,2.7,-0.8,0.2,-0.7,-1.2,0.9,8,19,16,22,23,15,-1.9,-1.1,0.20000000000000018,-2.6,-2.8,-2.7,-1.9,-1.7999999999999998,MIN,MIN,MIN,MIN,MIN,MIN,MIN
ATL,MIA,2025_08_MIA_ATL,2025,8,-7.5,19,-0.4,-1.8,-0.9,-0.3,1.2,-0.6,-0.1,25,20,19,15,20,17,29,-5.6,-4.8,-6.4,-5.4,-5.8,-5.6,-5.6,26,30,29,29,29,29,-6.7,-0.8000000000000007,-4.5,-7,-6.6000000000000005,-8.5,-6.5,-7,MIA,MIA,MIA,ATL,MIA,MIA,MIA
BAL,CHI,2025_08_CHI_BAL,2025,8,-6.5,8,3,2.3,1.5,3.7,3.8,3.5,3,9,9,6,8,8,7,20,-0.6,-1.1,-1.4,-1.5,0.8,-0.4,-0.1,23,22,21,16,18,18,-5.1,-1.4000000000000004,-4.9,-4.4,-6.7,-4.5,-5.4,-4.6,CHI,CHI,BAL,CHI,CHI,CHI,CHI
CAR,BUF,2025_08_BUF_CAR,2025,8,+7,25,-3.7,-0.9,-4.6,-4.7,-5.1,-4.1,-2.6,21,27,27,27,26,24,5,3.9,3,3.2,3.5,4.3,4.3,4.8,7,5,8,6,6,5,+6.1,0.9000000000000004,2.4,6.3,6.699999999999999,7.899999999999999,6.899999999999999,5.9,CAR,CAR,CAR,BUF,CAR,CAR,CAR
CIN,NYJ,2025_08_NYJ_CIN,2025,8,-6.5,26,-4.1,-5.8,-4,-4,-5.6,-1.5,-3.9,28,24,25,28,24,27,31,-7.1,-7.1,-5.6,-7.2,-8.8,-6,-7.9,31,29,31,31,30,31,-4.5,-2,-2.8,-3.0999999999999996,-4.7,-4.700000000000001,-6,-5.5,NYJ,NYJ,NYJ,NYJ,NYJ,NYJ,NYJ
HOU,SF,2025_08_SF_HOU,2025,8,-1.5,14,0.7,0.8,1.7,0.2,-0.2,0.6,1.3,16,8,17,20,14,13,13,0.9,-0.2,0.9,0.3,1.4,0.1,2.8,20,12,15,14,16,8,-1.3,-0.20000000000000018,-2.5,-2.3,-1.4,0.09999999999999987,-2,-2.220446049250313e-16,HOU,HOU,SF,SF,HOU,SF,SF
NE,CLE,2025_08_CLE_NE,2025,8,-7,17,0.3,0.1,-0.3,0.5,2.8,-0.5,-0.8,18,18,13,10,19,19,27,-4.7,-6,-4.7,-4.5,-2.7,-5.2,-5.4,29,28,26,25,28,28,-6.5,-0.5,-7.6,-5.9,-6.5,-7,-6.2,-6.1000000000000005,NE,CLE,CLE,NE,CLE,CLE,CLE
PHI,NYG,2025_08_NYG_PHI,2025,8,-7.5,6,3.7,4.2,3.4,3.7,4,3.1,3.8,6,4,7,7,9,6,24,-2.5,0.3,-4.3,-2.8,-2.3,-2.7,-3,17,26,23,24,25,25,-7.7,0.20000000000000018,-5.4,-9.2,-8,-7.8,-7.300000000000001,-8.3,NYG,PHI,PHI,PHI,NYG,PHI,PHI
NO,TB,2025_08_TB_NO,2025,8,+4.5,30,-6.4,-6.6,-6.9,-5.6,-4.5,-6.1,-8.4,30,31,30,26,31,32,12,0.9,1,0.1,0.5,1.5,0.7,1.6,13,15,14,13,13,12,+5.8,-1.3000000000000007,6.1,5.5,4.6,4.5,5.3,8.5,TB,TB,TB,NO,TB,TB,TB
DEN,DAL,2025_08_DAL_DEN,2025,8,-3.5,10,1.9,2.1,1.1,2.5,2.1,1.2,2.1,10,10,9,11,11,10,11,0.9,1.7,0.5,0.1,2,1.9,-0.9,11,13,18,12,10,21,-2.5,-1,-1.9000000000000001,-2.1,-3.9,-1.6,-0.8,-4.5,DAL,DAL,DEN,DAL,DAL,DEN,DAL
