Composite_rank,Team,Team Name,Composite,FPI,nfelo,GPF,unexpected_points,dvoa,PFF,FPI_rank,nfelo_rank,GPF_rank,unexpected_points_rank,dvoa_rank,pff_rank,Std Dev,week
1,KC,Kansas City Chiefs,6.8,7.6,7.2,6.8,6,6.9,6.1,1,1,1,1,2,2,0.6,10
2,LA,Los Angeles Rams,5.7,4.9,5.6,5.5,5.7,6.7,5.6,3,2,3,3,4,3,0.6,10
3,BUF,Buffalo Bills,5.6,4.8,4.7,5.1,5.9,6.5,6.6,4,4,5,2,6,1,0.8,10
4,DET,Detroit Lions,5.3,4.6,4.8,5.6,5.4,6.6,4.7,5,3,2,5,5,6,0.8,10
5,GB,Green Bay Packers,4.8,4.3,3.9,5.5,5.4,4.1,5.6,7,8,4,4,8,4,0.8,10
6,BAL,Baltimore Ravens,4.6,3.9,4.1,4.7,5,4.6,5.1,8,7,7,6,7,5,0.5,10
7,SEA,Seattle Seahawks,4.4,2.9,4.3,3.9,4.2,7.8,3.1,11,5,8,8,1,9,1.8,10
8,PHI,Philadelphia Eagles,4.2,4.5,4.3,4.9,4,3.4,4.4,6,6,6,9,9,7,0.5,10
9,IND,Indianapolis Colts,4,5,2.2,3.7,5,6.7,1.5,2,10,9,7,3,12,1.9,10
10,DEN,Denver Broncos,3,2.9,2.8,2.7,3,2.9,3.6,10,9,10,10,10,8,0.3,10
11,LAC,Los Angeles Chargers,1.7,2.6,1.3,2.2,1.8,-0.5,2.8,12,11,11,13,17,10,1.2,10
12,SF,San Francisco 49ers,1.1,3.2,0.3,1.4,0.9,0.2,0.7,9,15,12,16,15,14,1.1,10
13,TB,Tampa Bay Buccaneers,1.1,0.8,0.8,0.8,1.9,0.4,1.9,13,13,13,12,14,11,0.6,10
14,NE,New England Patriots,0.6,0.1,0.1,0.1,2.3,1,0.2,14,16,16,11,13,16,0.9,10
15,PIT,Pittsburgh Steelers,0.3,-0.4,-0.1,0.4,-0.7,2.1,0.5,17,17,14,20,11,15,1,10
16,HOU,Houston Texans,-0.1,-2.7,0.8,0.4,1,1.7,-1.8,22,12,15,15,12,19,1.7,10
17,DAL,Dallas Cowboys,-0.6,-0.1,0.5,-0.6,0.1,-0.6,-2.7,15,14,19,18,18,23,1.1,10
18,CHI,Chicago Bears,-0.7,-1.8,-0.1,-1.5,1.1,-1.6,-0.3,20,18,21,14,22,17,1.1,10
19,JAX,Jacksonville Jaguars,-0.9,-1.2,-2.4,-0.3,0.2,-0.6,-1.1,19,22,18,17,19,18,0.9,10
20,MIN,Minnesota Vikings,-1.1,-2.4,-1,-0.2,-1.5,-2.3,1.1,21,19,17,22,23,13,1.3,10
21,ARI,Arizona Cardinals,-1.5,-1.1,-3.2,-1.3,-0.6,-0.5,-2.5,18,24,20,19,16,22,1.1,10
22,ATL,Atlanta Falcons,-1.9,-3.2,-1.7,-2.5,-1.2,-0.8,-2,24,20,22,21,20,20,0.9,10
23,NYG,New York Giants,-3.1,-0.2,-4.8,-3.5,-3,-3.1,-4.1,16,28,23,23,25,26,1.6,10
24,WAS,Washington Commanders,-3.3,-2.8,-2.2,-4.8,-3.9,-2.8,-3.2,23,21,26,26,24,24,0.9,10
25,CIN,Cincinnati Bengals,-3.4,-3.2,-2.8,-4.9,-4.2,-1.2,-4.3,25,23,27,27,21,27,1.3,10
26,CAR,Carolina Panthers,-4.3,-4,-4.2,-4.3,-5.9,-5,-2.4,27,25,24,28,28,21,1.2,10
27,MIA,Miami Dolphins,-4.7,-4,-5.1,-5.7,-3.8,-4.9,-4.5,26,29,29,24,27,28,0.7,10
28,LV,Las Vegas Raiders,-4.9,-5,-5.1,-5.2,-7.3,-3.2,-3.3,28,30,28,30,26,25,1.5,10
29,CLE,Cleveland Browns,-6,-10.8,-4.5,-4.7,-3.9,-5.9,-6,32,27,25,25,29,29,2.5,10
30,NYJ,New York Jets,-6.7,-6.2,-4.3,-8.7,-7.5,-7,-6.2,29,26,31,31,30,30,1.5,10
31,NO,New Orleans Saints,-8.1,-9,-7.6,-7.5,-6.3,-7.5,-10.7,30,31,30,29,31,32,1.5,10
32,TEN,Tennessee Titans,-9,-9.2,-9.2,-9,-9.2,-8.8,-8.5,31,32,32,32,32,31,0.3,10
