player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Caleb Williams,144622,QB,CHI,1,77.8,45,47,6.8,2.57,1,5,10.0,68.1,32,0,12,8.6,54,3,16,6,81.5,74.8,75.4,62.3,0,0,57,1,25.0,103.1,5.6,3,4,1,0,2,3,5.3,340,7.2
Gardner Minshew,41401,QB,LV,1,73.5,34,42,5.9,2.75,2,2,4.3,59.5,25,0,16,0.0,46,0,11,23,32.8,57.6,62.3,38.4,0,1,50,0,18.8,72.5,6.5,3,1,1,5,1,0,0.0,230,5.5
Bo Nix,97790,QB,DEN,1,77.8,36,42,8.2,2.44,3,1,2.3,59.5,25,0,12,10.7,45,3,13,10,79.9,75.5,74.9,58.3,0,0,46,0,8.3,94.6,2.2,1,1,0,3,2,1,2.2,273,6.5
Tua Tagovailoa,60326,QB,MIA,1,75.0,40,40,6.1,2.21,0,1,2.4,72.5,29,0,9,3.3,42,1,19,17,80.1,68.2,67.1,60.5,0,0,43,0,22.2,128.9,4.8,2,0,0,0,4,1,2.3,317,7.9
Jayden Daniels,97993,QB,WAS,1,79.4,34,38,9.7,2.79,1,2,5.1,65.8,25,0,14,7.4,44,2,12,32,80.8,86.5,76.3,90.0,0,2,45,0,28.6,82.7,9.1,4,2,1,2,2,1,2.2,275,7.2
Kyler Murray,38334,QB,ARZ,1,72.7,33,37,8.2,3.19,0,2,5.3,64.9,24,0,17,0.0,43,0,16,1,79.8,61.8,63.3,52.3,1,1,44,0,29.4,77.0,11.6,5,1,0,3,0,1,2.3,285,7.7
Patrick Mahomes,11765,QB,KC,1,80.6,36,37,6.6,3.11,0,0,0.0,73.0,27,1,13,6.9,47,2,18,16,80.5,75.9,72.6,70.2,0,0,52,1,38.5,120.2,10.6,5,5,0,1,3,1,1.9,269,7.3
Drake Maye,143969,QB,NE,1,64.7,34,37,8.4,2.89,1,0,0.0,59.5,22,0,19,0.0,46,0,8,19,33.1,65.0,61.6,71.0,1,1,52,0,21.1,74.4,8.7,4,4,0,1,1,1,1.9,222,6.0
Matthew Stafford,4924,QB,LA,1,75.0,32,36,6.5,2.49,0,3,7.3,66.7,24,0,13,0.0,42,0,14,26,29.6,72.4,69.2,65.6,2,0,47,0,38.5,104.3,11.9,5,1,0,2,2,1,2.1,243,6.8
Jared Goff,10635,QB,DET,1,81.3,32,36,6.1,2.85,0,0,0.0,72.2,26,0,13,0.0,40,0,15,11,79.1,63.5,64.7,53.2,0,0,40,0,23.1,93.4,7.5,3,1,0,4,0,1,2.5,269,7.5
Justin Herbert,28237,QB,LAC,1,69.4,36,36,10.2,2.89,0,0,0.0,58.3,21,0,14,16.0,45,4,11,27,32.0,76.6,73.2,70.7,0,0,52,0,28.6,75.9,8.9,4,4,0,0,0,1,1.9,218,6.1
