home_team,away_team,game_id,season,week,spread_line,home_Composite_rank,home_Composite,home_FPI,home_nfelo,home_GPF,home_unexpected_points,home_dvoa,home_PFF,home_FPI_rank,home_nfelo_rank,home_GPF_rank,home_unexpected_points_rank,home_dvoa_rank,home_pff_rank,away_Composite_rank,away_Composite,away_FPI,away_nfelo,away_GPF,away_unexpected_points,away_dvoa,away_PFF,away_FPI_rank,away_nfelo_rank,away_GPF_rank,away_unexpected_points_rank,away_dvoa_rank,away_pff_rank,rtg_diff_Composite,spread_diff_Composite,rtg_diff_FPI,rtg_diff_nfelo,rtg_diff_GPF,rtg_diff_unexpected_points,rtg_diff_dvoa,rtg_diff_PFF,bet_team_FPI,bet_team_nfelo,bet_team_GPF,bet_team_unexpected_points,bet_team_dvoa,bet_team_PFF,bet_team_Composite
LA,SF,2025_05_SF_LA,2025,5,-7,6,3.6,2.9,2.8,3.6,4.3,4.3,3.5,7,6,6,4,4,6,10,1.4,1.8,0.9,0.5,2.4,0.4,2.5,9,12,13,11,12,8,-3.7,-3.3,-2.5999999999999996,-3.4,-4.6,-3.4,-5.4,-2.5,SF,SF,SF,SF,SF,SF,SF
CLE,MIN,2025_05_MIN_CLE,2025,5,+4.5,27,-4.7,-4.1,-7,-4.6,-2.6,-4.8,-5.2,26,31,26,24,27,30,14,0.5,1,0.7,1.5,1.1,-2.1,0.6,12,13,11,15,24,14,+5.2,-0.7000000000000002,5.1,7.7,6.1,3.7,2.6999999999999997,5.8,MIN,MIN,MIN,CLE,CLE,MIN,MIN
BAL,HOU,2025_05_HOU_BAL,2025,5,+1.5,22,-1.3,0.5,0.9,-2.8,-2.3,-1.5,-2.7,15,11,23,23,22,24,16,-0,-0.1,-0.3,0.4,-0,-0,-0.3,18,17,14,19,13,17,-0.2,1.7,-2.1,-2.7,1.6999999999999997,0.7999999999999998,0,0.9000000000000004,BAL,BAL,HOU,BAL,BAL,BAL,BAL
CAR,MIA,2025_05_MIA_CAR,2025,5,+1.5,29,-5.5,-4.6,-5.9,-6.2,-5.4,-6.7,-4.3,27,28,31,30,31,27,25,-3.3,-3.4,-2.2,-3.6,-3.7,-3.5,-3.2,25,24,25,25,26,25,+0.7,0.7999999999999998,-0.30000000000000027,2.2,1.1,0.20000000000000018,1.7000000000000002,-0.40000000000000036,CAR,MIA,CAR,CAR,MIA,CAR,CAR
IND,LV,2025_05_LV_IND,2025,5,-7,12,0.9,1.3,0.3,1.5,2.7,0,-0.2,11,15,10,7,14,16,24,-3,-2.7,-3.5,-3,-4.2,-2.1,-2.6,24,27,24,27,23,23,-5.4,-1.5999999999999996,-5.5,-5.3,-6,-8.4,-3.6,-3.9,LV,LV,LV,IND,LV,LV,LV
NO,NYG,2025_05_NYG_NO,2025,5,-2.5,31,-6,-6.2,-6.3,-5.3,-4.4,-5,-8.8,30,29,29,28,29,32,28,-5.1,-5.9,-7,-4.8,-3.9,-4.8,-3.9,29,30,28,26,28,26,-0.6,-1.9000000000000004,-1.2000000000000002,-2.2,-1,-0.9999999999999996,-1.2999999999999998,3.4000000000000004,NYG,NYG,NYG,NYG,NYG,NYG,NYG
NYJ,DAL,2025_05_DAL_NYJ,2025,5,+2.5,26,-4.2,-4.7,-2.6,-4.7,-4.9,-3.2,-5.2,28,25,27,29,25,29,19,-0.8,0.4,-0.7,-1.1,0.3,-1,-2.5,17,20,21,18,18,22,+1.9,0.5999999999999996,3.6000000000000005,0.40000000000000013,2.1,3.7,0.7000000000000002,1.2000000000000002,DAL,NYJ,NYJ,DAL,NYJ,NYJ,NYJ
PHI,DEN,2025_05_DEN_PHI,2025,5,-3.5,4,4.5,4.8,5.2,4.4,3.4,3.1,6.1,4,1,5,6,5,2,8,2.2,2.3,2.3,2.2,2.1,2.6,1.4,8,7,8,12,8,11,-3.8,0.2999999999999998,-4,-4.4,-3.7,-2.8,-2,-6.199999999999999,PHI,PHI,PHI,DEN,DEN,PHI,PHI
ARI,TEN,2025_05_TEN_ARI,2025,5,-7.5,21,-0.9,-1,-1.1,-1,-0.4,-0.3,-1.3,21,21,20,20,16,20,32,-7.9,-9,-8.2,-7.4,-8,-7.6,-7.3,32,32,32,32,32,31,-8.5,1,-9.5,-8.6,-7.9,-9.1,-8.8,-7.5,ARI,ARI,ARI,ARI,ARI,ARI,ARI
SEA,TB,2025_05_TB_SEA,2025,5,-3.5,11,1.4,0.9,1.2,1.2,1.5,2.5,0.9,13,9,12,14,9,12,13,0.8,0.8,0.3,0.2,2.5,-0.5,1.6,14,14,15,10,17,10,-2.1,-1.4000000000000004,-1.6,-2.4,-2.5,-0.5,-4.5,-0.7999999999999999,TB,TB,TB,TB,SEA,TB,TB
