player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jameis Winston,9434,QB,CLV,1,69.8,43,46,9.7,2.68,2,2,4.2,56.5,26,0,16,13.3,56,4,17,8,81.5,65.3,58.7,82.3,1,3,59,0,37.5,50.5,10.7,6,4,0,0,1,3,5.1,235,5.1
Matthew Stafford,4924,QB,LA,1,63.4,41,44,10.3,2.8,0,3,6.3,56.8,25,0,15,3.8,44,1,13,26,30.0,60.0,62.4,60.0,1,1,48,0,0.0,83.3,0.0,0,0,0,2,2,4,8.3,298,6.8
Patrick Mahomes,11765,QB,KC,1,83.3,42,44,6.8,2.63,0,2,4.5,77.3,34,0,12,2.9,51,1,20,16,80.5,89.5,87.4,64.1,0,0,51,0,33.3,116.8,7.8,4,2,0,2,3,0,0.0,291,6.6
Caleb Williams,144622,QB,CHI,1,66.7,36,41,10.0,3.46,0,0,0.0,53.7,22,0,21,8.3,50,2,10,6,81.0,57.9,60.3,47.6,0,0,54,0,28.6,68.9,12.0,6,3,0,5,0,0,0.0,217,5.3
Drake Maye,143969,QB,NE,1,79.5,39,41,7.3,2.98,0,2,4.7,70.7,29,0,20,6.5,53,2,15,19,34.2,65.8,51.6,91.7,0,2,56,0,20.0,69.8,7.5,4,7,1,1,1,4,7.1,206,5.0
Joe Burrow,28022,QB,CIN,1,82.9,35,39,6.7,2.48,1,2,4.9,69.2,27,0,15,6.9,41,2,19,7,80.0,91.0,89.7,74.7,1,1,44,1,6.7,115.5,2.4,1,1,0,2,5,0,0.0,251,6.4
Josh Allen,46601,QB,BUF,1,82.4,34,39,3.7,2.42,1,1,2.2,64.1,25,0,7,10.7,41,3,16,4,80.3,73.7,68.9,75.9,1,1,48,0,14.3,95.6,2.4,1,1,1,2,3,0,0.0,235,6.0
Jordan Love,40306,QB,GB,1,77.8,36,39,9.9,2.94,0,2,4.8,59.0,23,0,13,17.9,39,5,10,12,22.1,68.3,79.1,26.5,1,1,42,1,0.0,69.7,0.0,0,0,0,2,0,1,2.4,273,7.0
Sam Darnold,29048,QB,MIN,1,90.3,31,34,7.7,2.84,0,2,5.6,82.4,28,0,13,0.0,39,0,17,18,29.3,76.1,73.1,68.5,1,2,41,0,30.8,107.1,10.3,4,1,0,2,3,3,7.3,290,8.5
Geno Smith,7820,QB,SEA,1,71.9,32,34,11.5,2.96,2,7,18.4,61.8,21,0,18,8.7,43,2,15,29,32.5,76.2,81.8,39.4,0,3,48,0,38.9,90.7,16.3,7,2,0,0,3,2,4.2,363,10.7
Mason Rudolph,46569,QB,TEN,1,88.5,26,33,10.3,2.7,0,1,2.9,60.6,20,0,12,13.0,38,3,14,31,28.9,71.8,73.7,58.0,0,1,39,2,8.3,90.5,2.6,1,2,0,7,2,0,0.0,240,7.3
Bo Nix,97790,QB,DEN,1,63.3,30,33,9.5,3.55,2,0,0.0,57.6,19,0,15,0.0,42,0,12,10,80.4,63.2,54.7,73.7,0,1,46,0,26.7,65.6,9.5,4,4,0,1,0,0,0.0,223,6.8
Aaron Rodgers,2241,QB,NYJ,1,80.0,30,32,6.6,2.23,1,2,6.1,68.8,22,0,10,8.3,34,2,11,22,78.7,78.9,76.1,65.4,1,0,36,0,20.0,118.1,5.9,2,0,0,0,3,1,2.8,211,6.6
Derek Carr,8671,QB,NO,1,73.1,26,31,6.8,2.6,0,1,2.8,58.1,18,0,7,5.3,33,1,12,20,78.7,51.7,51.0,,0,0,38,1,14.3,92.9,3.0,1,0,0,5,1,0,0.0,236,7.6
Baker Mayfield,46518,QB,TB,1,83.3,30,31,5.0,2.46,1,0,0.0,74.2,23,0,10,8.0,36,2,9,30,79.0,71.9,70.8,62.9,0,0,38,1,20.0,112.3,5.6,2,3,0,0,2,1,2.6,200,6.5
Trevor Lawrence,77632,QB,JAX,1,62.1,29,31,9.2,2.81,0,0,0.0,51.6,16,0,11,11.1,35,2,10,15,79.4,73.1,70.7,66.4,1,2,38,0,18.2,40.9,5.7,2,2,0,1,0,1,2.6,169,5.5
C.J. Stroud,129759,QB,HST,1,40.7,27,30,15.6,3.92,0,4,12.5,36.7,11,0,25,0.0,45,0,9,13,27.8,47.0,48.2,57.0,1,0,47,1,32.0,59.2,17.8,8,7,0,2,0,1,2.1,191,6.4
Tua Tagovailoa,60326,QB,MIA,1,92.6,27,28,5.1,2.36,0,0,0.0,89.3,25,0,5,0.0,30,0,15,17,77.8,76.7,74.2,64.5,0,0,31,0,20.0,124.9,3.3,1,1,0,1,2,0,0.0,231,8.3
Joe Flacco,4332,QB,IND,1,68.0,25,27,7.6,2.79,1,0,0.0,59.3,16,1,13,5.9,30,1,9,14,78.5,50.9,51.7,56.0,1,1,35,1,23.1,63.7,10.0,3,0,0,0,0,3,8.6,179,6.6
Justin Herbert,28237,QB,LAC,1,73.1,26,27,9.8,2.69,0,1,3.6,66.7,18,0,16,5.3,34,1,10,27,78.7,74.7,74.5,57.9,0,0,35,0,37.5,125.8,17.6,6,1,0,1,2,0,0.0,282,10.4
Daniel Jones,39395,QB,NYG,1,92.0,25,26,7.4,2.32,1,1,3.4,76.9,20,0,7,13.0,29,3,10,21,79.4,91.5,87.8,80.6,0,0,35,0,28.6,119.7,6.9,2,1,0,0,2,0,0.0,174,6.7
Bryce Young,123943,QB,CAR,1,70.8,24,26,8.2,2.72,0,2,7.4,61.5,16,0,7,5.9,29,1,9,5,78.2,77.8,75.2,66.8,0,1,32,1,14.3,77.6,3.4,1,2,0,2,1,1,3.1,171,6.6
Cooper Rush,12324,QB,DAL,1,52.0,25,25,8.8,2.5,0,1,3.7,52.0,13,0,7,0.0,25,0,7,9,25.8,56.7,62.8,48.8,0,0,27,0,0.0,77.9,0.0,0,0,0,0,1,0,0.0,115,4.6
Dak Prescott,10769,QB,DAL,1,95.2,21,24,4.3,2.68,1,2,8.3,75.0,18,0,9,10.0,31,2,7,9,78.0,77.3,80.4,60.4,0,0,32,1,33.3,101.6,9.7,3,2,1,1,1,0,0.0,133,5.5
Jalen Hurts,40291,QB,PHI,1,87.0,23,24,9.8,3.49,0,3,11.1,75.0,18,0,10,10.0,34,2,13,24,80.4,79.9,78.2,68.5,0,0,37,0,30.0,132.3,8.8,3,6,0,1,2,0,0.0,230,9.6
Kirk Cousins,7102,QB,ATL,1,82.6,23,24,6.1,2.56,0,0,0.0,79.2,19,0,8,0.0,27,0,12,2,77.2,72.5,71.2,60.5,1,0,27,0,25.0,144.8,7.4,2,0,0,0,3,0,0.0,222,9.3
Jayden Daniels,97993,QB,WAS,1,78.9,19,22,6.7,3.03,1,2,8.7,68.2,15,0,6,0.0,25,0,11,32,78.1,88.2,81.1,79.5,0,0,27,0,0.0,128.8,0.0,0,3,0,2,2,0,0.0,209,9.5
Jared Goff,10635,QB,DET,1,85.7,21,22,3.6,2.64,0,0,0.0,81.8,18,0,7,0.0,23,0,8,11,77.0,76.2,75.1,60.5,0,0,24,0,14.3,109.3,4.3,1,0,0,1,1,0,0.0,145,6.6
Kyler Murray,38334,QB,ARZ,1,73.7,19,20,7.1,2.99,0,0,0.0,65.0,13,0,7,7.1,23,1,7,1,76.2,60.6,59.6,60.2,0,0,23,0,42.9,88.3,13.0,3,0,0,1,0,0,0.0,154,7.7
