name,team,position,position_group,year,draft_control
Bobby Walston,Bears,Director of Player Personnel,Director,1971,0
George Halas,Bears,Principal Owner,Owner,1971,0
George Halas Jr.,Bears,President/General Manager,President/General Manager,1971,1
Bobby Walston,Bears,Director of Player Personnel,Director,1972,0
George Halas,Bears,Principal Owner,Owner,1972,0
George Halas Jr.,Bears,President/General Manager,President/General Manager,1972,1
Bobby Walston,Bears,Director of Player Personnel,Director,1973,0
George Halas,Bears,Principal Owner,Owner,1973,0
George Halas Jr.,Bears,President/General Manager,President/General Manager,1973,1
George Halas,Bears,Principal Owner,Owner,1974,1
George Halas,Bears,Principal Owner,Owner,1975,0
Jim Finks,Bears,Executive VP/General Manager,VP/General Manager,1975,1
George Halas,Bears,Principal Owner,Owner,1976,0
Jim Finks,Bears,Executive VP/General Manager,VP/General Manager,1976,1
George Halas,Bears,Principal Owner,Owner,1977,0
Jim Finks,Bears,Executive VP/General Manager,VP/General Manager,1977,1
George Halas,Bears,Principal Owner,Owner,1978,0
Jim Finks,Bears,Executive VP/General Manager,VP/General Manager,1978,1
George Halas,Bears,Principal Owner,Owner,1979,0
Jim Finks,Bears,Executive VP/General Manager,VP/General Manager,1979,1
George Halas,Bears,Principal Owner,Owner,1980,0
Jim Finks,Bears,Executive VP/General Manager,VP/General Manager,1980,1
George Halas,Bears,Principal Owner,Owner,1981,0
Jim Finks,Bears,Executive VP/General Manager,VP/General Manager,1981,1
George Halas,Bears,Principal Owner,Owner,1982,0
Jim Finks,Bears,Executive VP/General Manager,VP/General Manager,1982,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1983,0
Jerry Vainisi,Bears,General Manager,General Manager,1983,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1984,0
Jerry Vainisi,Bears,General Manager,General Manager,1984,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1985,0
Jerry Vainisi,Bears,General Manager,General Manager,1985,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1986,0
Jerry Vainisi,Bears,General Manager,General Manager,1986,1
Bill Tobin,Bears,Director of Player Personnel/de facto General Manager,Director/General Manager,1987,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1987,0
Bill Tobin,Bears,Director of Player Personnel/de facto General Manager,Director/General Manager,1988,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1988,0
Bill Tobin,Bears,Director of Player Personnel/de facto General Manager,Director/General Manager,1989,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1989,0
Bill Tobin,Bears,Director of Player Personnel/de facto General Manager,Director/General Manager,1990,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1990,0
Bill Tobin,Bears,Director of Player Personnel/de facto General Manager,Director/General Manager,1991,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1991,0
Bill Tobin,Bears,Director of Player Personnel/de facto General Manager,Director/General Manager,1992,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1992,0
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1993,0
Dave Wannstedt,Bears,Head Coach/de facto General Manager,Head Coach/General Manager,1993,1
Rod Graves,Bears,Director of Player Personnel/de facto General Manager,Director/General Manager,1994,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1994,0
Rod Graves,Bears,Director of Player Personnel/de facto General Manager,Director/General Manager,1995,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1995,0
Rod Graves,Bears,Director of Player Personnel/de facto General Manager,Director/General Manager,1996,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1996,0
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1997,0
Mark Hatley,Bears,VP of Personnel/de facto General Manager,VP/General Manager,1997,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1998,0
Mark Hatley,Bears,VP of Personnel/de facto General Manager,VP/General Manager,1998,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,1999,0
Mark Hatley,Bears,VP of Personnel/de facto General Manager,VP/General Manager,1999,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2000,0
Mark Hatley,Bears,VP of Personnel/de facto General Manager,VP/General Manager,2000,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2001,0
Jerry Angelo,Bears,General Manager,General Manager,2001,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2002,0
Jerry Angelo,Bears,General Manager,General Manager,2002,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2003,0
Jerry Angelo,Bears,General Manager,General Manager,2003,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2004,0
Jerry Angelo,Bears,General Manager,General Manager,2004,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2005,0
Jerry Angelo,Bears,General Manager,General Manager,2005,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2006,0
Jerry Angelo,Bears,General Manager,General Manager,2006,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2007,0
Jerry Angelo,Bears,General Manager,General Manager,2007,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2008,0
Jerry Angelo,Bears,General Manager,General Manager,2008,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2009,0
Jerry Angelo,Bears,General Manager,General Manager,2009,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2010,0
Jerry Angelo,Bears,General Manager,General Manager,2010,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2011,0
Jerry Angelo,Bears,General Manager,General Manager,2011,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2012,0
Phil Emery,Bears,General Manager,General Manager,2012,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2013,0
Phil Emery,Bears,General Manager,General Manager,2013,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2014,0
Phil Emery,Bears,General Manager,General Manager,2014,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2015,0
Ryan Pace,Bears,General Manager,General Manager,2015,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2016,0
Ryan Pace,Bears,General Manager,General Manager,2016,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2017,0
Ryan Pace,Bears,General Manager,General Manager,2017,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2018,0
Ryan Pace,Bears,General Manager,General Manager,2018,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2019,0
Ryan Pace,Bears,General Manager,General Manager,2019,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2020,0
Ryan Pace,Bears,General Manager,General Manager,2020,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2021,0
Ryan Pace,Bears,General Manager,General Manager,2021,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2022,0
Ryan Poles,Bears,General Manager,General Manager,2022,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2023,0
Ryan Poles,Bears,General Manager,General Manager,2023,1
Virginia Halas McCaskey,Bears,Secretary of the Board of Directors,General Executive,2024,0
Ryan Poles,Bears,General Manager,General Manager,2024,1
George McCaskey,Bears,Secretary of the Board of Directors,General Executive,2025,0
Ryan Poles,Bears,General Manager,General Manager,2025,1
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1968,1
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1969,1
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1970,1
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1971,1
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1972,1
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1973,1
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1974,1
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1975,1
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1976,1
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1977,1
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1978,1
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1979,1
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1980,1
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1981,1
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1982,1
John Sawyer,Bengals,Owner/President,Owner,1983,0
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1983,1
John Sawyer,Bengals,Owner/President,Owner,1984,0
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1984,1
John Sawyer,Bengals,Owner/President,Owner,1985,0
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1985,1
John Sawyer,Bengals,Owner/President,Owner,1986,0
