home_team,away_team,game_id,season,week,spread_line,home_Composite_rank,home_Composite,home_FPI,home_nfelo,home_GPF,home_unexpected_points,home_dvoa,home_PFF,home_FPI_rank,home_nfelo_rank,home_GPF_rank,home_unexpected_points_rank,home_dvoa_rank,home_pff_rank,away_Composite_rank,away_Composite,away_FPI,away_nfelo,away_GPF,away_unexpected_points,away_dvoa,away_PFF,away_FPI_rank,away_nfelo_rank,away_GPF_rank,away_unexpected_points_rank,away_dvoa_rank,away_pff_rank,rtg_diff_Composite,spread_diff_Composite,rtg_diff_FPI,rtg_diff_nfelo,rtg_diff_GPF,rtg_diff_unexpected_points,rtg_diff_dvoa,rtg_diff_PFF,bet_team_FPI,bet_team_nfelo,bet_team_GPF,bet_team_unexpected_points,bet_team_dvoa,bet_team_PFF,bet_team_Composite
NE,NYJ,2025_11_NYJ_NE,2025,11,-12.5,14,1.3,0.3,1,1.8,3.5,0.6,0.4,14,14,12,10,14,15,30,-6.7,-6.8,-4,-9,-7.5,-6.5,-6.2,30,26,31,31,28,30,-9.5,-3,-8.6,-6.5,-12.3,-12.5,-8.6,-8.100000000000001,NYJ,NYJ,NYJ,NE,NYJ,NYJ,NYJ
MIA,WAS,2025_11_WAS_MIA,2025,11,-2.5,23,-3.3,-3.1,-4,-4.2,-2.9,-3.2,-2.5,24,28,24,23,26,20,26,-3.8,-2.4,-2.9,-7.1,-4.7,-2.3,-3.6,21,23,30,27,23,25,-0.5,-2,0.7000000000000002,1.1,-2.8999999999999995,-1.8000000000000003,0.9000000000000004,-1.1,WAS,WAS,MIA,WAS,WAS,WAS,WAS
ATL,CAR,2025_11_CAR_ATL,2025,11,-3.5,21,-1.8,-2.9,-1.8,-2,-1.1,-0.4,-2.6,23,20,22,19,17,21,28,-5,-4.8,-4.3,-4.4,-5.8,-6.7,-4.1,27,29,25,29,29,27,-4.7,1.2000000000000002,-3.4,-4,-3.9000000000000004,-6.199999999999999,-7.8,-2.9999999999999996,CAR,ATL,ATL,ATL,ATL,CAR,ATL
BUF,TB,2025_11_TB_BUF,2025,11,-5.5,7,4.4,3.6,4.7,4.6,5.1,3.9,4.6,8,7,6,4,8,7,13,1.3,1,1,1,1.5,1.7,1.8,12,15,14,13,12,13,-4.6,-0.8999999999999995,-4.1,-5.2,-5.1,-5.1,-3.7,-4.3,TB,TB,TB,TB,TB,TB,TB
JAX,LAC,2025_11_LAC_JAX,2025,11,+3,20,-1.3,-1.5,-2.3,-1.2,-0.4,-0.8,-1.7,19,21,19,18,20,19,11,2.2,2.8,1.8,2.7,2,0.5,3.5,10,12,10,12,15,10,+2,1,2.8,2.5999999999999996,2.4000000000000004,0.8999999999999999,-0.19999999999999996,3.7,JAX,JAX,JAX,JAX,JAX,LAC,JAX
MIN,CHI,2025_11_CHI_MIN,2025,11,-3,19,-1.2,-2.7,-1,-0.1,-1.2,-2.7,0.4,22,19,15,21,25,14,17,-0.5,-1.6,0.3,-1.4,1.4,-1.8,-0.1,20,16,20,15,22,17,-0.8,-2.2,-0.3999999999999999,-0.19999999999999996,-2.8,1.0999999999999996,-0.5999999999999999,-2,CHI,CHI,CHI,CHI,CHI,CHI,CHI
NYG,GB,2025_11_GB_NYG,2025,11,+7,24,-3.5,-1.5,-3.9,-4,-3.6,-2.6,-5.3,18,25,23,25,24,28,8,4.3,3.8,3.9,4.8,4.8,3.4,5.2,7,8,5,7,9,5,+6.3,0.7000000000000002,3.8,6.3,7.300000000000001,6.9,4.5,9,NYG,NYG,GB,NYG,NYG,GB,NYG
PIT,CIN,2025_11_CIN_PIT,2025,11,-5.5,16,-0.5,-1,-0.3,-0.8,-1.6,0.7,-0.2,17,17,18,22,13,18,25,-3.6,-3.2,-3.5,-5.2,-4.6,-0.9,-3.9,25,24,28,26,21,26,-4.6,-0.9000000000000004,-3.7,-4.7,-5.9,-4.5,-3.1,-5.199999999999999,CIN,CIN,PIT,CIN,CIN,CIN,CIN
TEN,HOU,2025_11_HOU_TEN,2025,11,+7,32,-9.1,-9.2,-9.3,-9,-9.6,-8.9,-8.5,31,32,32,32,32,31,12,1.4,-0.4,2.6,-0.7,1.4,2.1,3.3,16,9,17,14,11,11,+9,-2,7.299999999999999,10.4,6.800000000000001,9.5,9.5,10.3,HOU,HOU,TEN,HOU,HOU,HOU,HOU
ARI,SF,2025_11_SF_ARI,2025,11,+2.5,22,-2.2,-3.7,-2.9,-1.9,-1.2,-0.8,-3,26,22,21,20,18,23,15,0.8,0.6,1.4,1.4,0.7,0.5,0.2,13,13,13,16,16,16,+1.5,1,2.8,2.8,1.7999999999999998,0.3999999999999999,-0.19999999999999996,1.7000000000000002,SF,SF,ARI,ARI,ARI,ARI,ARI
LA,SEA,2025_11_SEA_LA,2025,11,-2.5,2,6.5,5.6,7.3,5.7,6.6,7.2,6.4,3,1,2,1,3,1,5,4.9,3.1,5,4.5,4.9,8.1,3.8,9,5,8,6,1,8,-3.1,0.5999999999999996,-3.9999999999999996,-3.8,-2.7,-3.1999999999999993,-0.6000000000000005,-4.1000000000000005,LA,LA,LA,LA,SEA,LA,LA
CLE,BAL,2025_11_BAL_CLE,2025,11,+7.5,29,-5.8,-10.1,-4,-4.9,-3.5,-6.7,-5.9,32,27,26,24,30,29,4,4.9,4.2,5,4.6,5,4.7,5.7,6,6,7,5,6,3,+9.2,-1.6999999999999993,12.8,7.5,8,7,9.9,10.100000000000001,BAL,CLE,BAL,CLE,BAL,BAL,BAL
DEN,KC,2025_11_KC_DEN,2025,11,+3.5,10,2.6,2.2,2.6,2,2.5,2.6,3.7,11,10,11,11,10,9,1,6.6,7.6,6.2,6.7,6,6.8,6.1,1,3,1,3,4,2,+2.5,1.0000000000000004,3.8999999999999995,2.1,3.2,2,2.6999999999999993,0.8999999999999995,KC,DEN,DEN,DEN,DEN,DEN,DEN
