player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Baker Mayfield,46518,QB,TB,1,76.2,42,43,10.0,3.09,0,2,4.5,72.1,31,0,13,3.1,50,1,17,30,32.0,70.2,66.0,74.7,0,1,52,0,30.8,97.3,8.0,4,3,0,1,2,3,5.8,303,7.0
Geno Smith,7820,QB,SEA,1,73.8,42,43,8.2,2.77,0,2,4.4,72.1,31,0,22,0.0,46,0,17,29,80.1,68.6,68.3,58.3,0,2,48,0,9.1,96.5,4.3,2,1,0,1,3,2,4.2,314,7.3
Aaron Rodgers,2241,QB,NYJ,1,73.8,42,42,5.6,2.84,0,1,2.2,66.7,28,0,8,9.7,44,3,14,22,30.0,53.2,55.1,58.3,0,0,49,1,12.5,91.0,2.3,1,1,0,0,1,1,2.0,256,6.1
Patrick Mahomes,11765,QB,KC,1,73.2,41,41,5.7,2.48,0,1,2.3,68.3,28,0,17,6.7,46,2,15,16,80.7,89.3,80.1,90.5,0,0,50,0,5.9,93.5,2.2,1,3,0,0,1,0,0.0,260,6.3
Caleb Williams,144622,QB,CHI,1,72.2,36,40,9.9,3.31,1,4,9.5,65.0,26,0,17,0.0,46,0,16,6,80.1,83.0,79.5,71.9,0,0,48,1,11.8,107.7,4.3,2,4,0,3,2,0,0.0,334,8.4
Brock Purdy,77672,QB,SF,1,77.8,36,40,5.0,2.74,1,0,0.0,65.0,26,0,17,7.1,46,2,17,28,80.2,71.5,66.7,75.2,0,1,47,0,17.6,95.1,6.5,3,3,2,1,2,1,2.1,313,7.8
Bo Nix,97790,QB,DEN,1,80.6,36,40,3.0,2.61,2,0,0.0,72.5,29,1,14,0.0,44,0,16,10,79.8,62.6,59.8,66.8,0,0,45,1,14.3,106.6,4.5,2,2,0,2,2,0,0.0,263,6.6
Drew Lock,39517,QB,NYG,1,61.1,36,39,7.0,2.84,0,0,0.0,56.4,22,0,11,0.0,42,0,11,21,29.3,38.6,41.2,59.4,0,2,44,1,27.3,58.7,7.1,3,0,0,3,1,3,6.8,210,5.4
Mac Jones,60323,QB,JAX,1,78.1,32,39,6.6,2.66,3,1,2.3,64.1,25,0,9,0.0,40,0,9,15,79.8,72.4,71.1,,0,0,45,0,11.1,90.4,2.5,1,0,0,4,1,1,2.2,247,6.3
Jayden Daniels,97993,QB,WAS,1,69.4,36,39,7.8,2.71,0,3,7.3,61.5,24,0,20,4.0,46,1,15,32,80.7,74.8,68.6,76.7,0,2,48,0,5.0,99.1,2.2,1,6,1,2,5,2,4.2,258,6.6
