rank,school,headshot,position,college_year,first_name,last_name,athletic,br,cbs,tdn,drafttek,espn,nbc,nfl,pff,pfn,ringer,si,usa,walter,yahoo,std_dev,avg
27,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103510.png,IDL,JR.,Dexter,Lawrence,33,46,16,48,46,26,27,19,32,31,56,22,29,32,26,11.5,31.81
28,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103532.png,WR,JR.,A.J.,Brown,31,14,10,44,23,45,30,28,20,36,30,35,36,53,36,11.5,32.06
29,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103527.png,WR,JR.,Marquise,Brown,28,28,40,56,21,11,29,29,31,53,22,23,54,39,31,13,32.25
30,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103589.png,QB,SR.,Drew,Lock,37,33,19,74,13,24,68,35,37,29,6,28,38,17,30,17.7,32.44
31,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103839.png,RB,JR.,Josh,Jacobs,22,9,99,33,40,23,53,20,60,37,27,8,34,15,24,23,32.44
32,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103680.png,OT,SR.,Dalton,Risner,46,48,9,21,30,46,33,17,19,25,28,43,26,73,39,15.5,33.44
33,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103728.png,S,SR.,Nasir,Adderley,25,43,50,15,25,37,37,66,27,19,53,27,42,46,40,13.6,37.25
34,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103534.png,WR,JR.,N'Keal,Harry,52,20,24,42,39,33,22,63,61,30,38,37,33,75,34,15.9,39.25
35,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103621.png,OG,SR.,Chris,Lindstrom,36,41,42,20,32,41,26,54,51,18,41,74,30,51,32,15.2,40.75
36,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103735.png,C,RS JR.,Erik,McCoy,35,49,69,16,42,35,43,18,80,15,31,52,37,19,44,21.4,41.81
37,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103541.png,S,JR.,Taylor,Rapp,30,24,59,58,43,43,56,47,38,42,58,34,40,50,28,11,43.31
38,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103550.png,S,JR.,Chauncey,Gardner-Johnson,48,39,52,13,20,52,73,36,49,14,29,47,35,82,47,19.5,43.75
39,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103567.png,WR,RS SR.,Deebo,Samuel,45,34,51,35,78,39,52,33,52,40,46,53,47,34,48,11.2,46.19
40,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103546.png,WR,RS JR.,Hakeem,Butler,62,47,20,28,31,66,15,95,42,33,36,77,22,–,43,22.4,44.27
41,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103745.png,CB,SR.,Rock,Ya-Sin,26,31,75,76,55,31,49,39,69,47,43,40,44,55,50,15.1,49.44
42,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103529.png,IDL,RS JR.,Dre'Mont,Jones,56,–,43,78,26,64,34,56,62,73,69,26,66,13,55,19.6,50.53
43,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103540.png,CB,JR.,Julian,Love,50,–,28,55,81,54,28,52,45,48,54,44,64,58,49,12.9,50.87
44,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103572.png,QB,RS JR.,Daniel,Jones,53,–,82,99,27,59,32,57,70,71,15,41,51,16,56,23.9,50.93
45,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103727.png,S,SR.,Juan,Thornhill,49,–,31,32,45,60,51,43,58,44,49,82,70,33,74,15.2,51.27
46,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103531.png,S,SR.,Johnathan,Abram,41,27,62,65,58,20,85,31,112,52,59,45,67,18,37,24.4,52.19
47,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103535.png,C,SR.,Elgton,Jenkins,44,40,45,68,62,51,54,59,26,39,74,69,60,43,67,14,54.56
48,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103563.png,ED,RS SR.,Chase,Winovich,60,–,67,34,67,44,41,69,29,41,40,71,25,48,82,19.7,53.8
49,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k5emu8fjmdlgw7hso80i",S,SR.,Darnell,Savage Jr.,58,–,68,36,75,28,50,44,28,45,39,72,53,27,89,19.4,50.86
50,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103847.png,CB,JR.,Justin,Layne,40,45,32,57,59,53,45,55,39,46,63,49,46,–,42,8.6,47.93
51,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103511.png,OT,JR.,Greg,Little,39,–,41,111,50,78,81,53,34,64,33,50,81,24,45,23.6,55
52,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103530.png,TE,JR.,Irv,Smith Jr.,42,–,151,37,47,34,98,32,84,38,65,36,48,54,33,33.2,55.2
53,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103520.png,ED,SR.,Zach,Allen,74,–,11,66,57,69,55,101,40,54,76,51,55,38,58,20.1,57
54,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103574.png,WR,RS JR.,J.J.,Arcega-Whiteside,67,–,22,41,44,48,89,100,23,63,62,89,57,56,63,22.9,57.47
55,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103517.png,S,RS JR.,Deionte,Thompson,57,42,54,47,35,115,75,73,66,56,70,32,50,76,54,20.7,58.63
56,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103601.png,CB,RS SR.,Amani,Oruwariye,–,–,36,25,48,90,109,76,36,58,66,54,39,40,64,23,57
57,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103580.png,WR,JR.,Kelvin,Harmon,51,–,33,30,56,100,78,137,81,50,67,67,43,49,38,29,60.93
58,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103553.png,WR,SR.,Parris,Campbell,43,35,106,67,65,49,76,25,96,61,50,46,58,–,46,21.5,58.53
59,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103526.png,ED,JR.,Jachai,Polite,38,–,70,43,73,109,71,167,98,57,44,39,24,21,35,38.7,61.93
60,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103573.png,RB,JR.,David,Montgomery,75,30,66,83,54,79,40,49,79,84,100,66,61,–,41,19.9,63.53
61,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103850.png,S,JR.,Amani,Hooker,68,–,47,40,84,91,47,61,44,55,86,84,56,–,53,18.5,64.57
62,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103537.png,ED,RS SR.,Jaylon,Ferguson,69,38,155,141,36,63,39,64,143,106,47,33,59,62,60,41.7,71.44
63,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/foowezymwgwne5agssf5",LB,JR.,Mack,Wilson,54,–,–,54,41,129,58,40,127,49,–,42,41,41,51,31,59.38
