rank,school,headshot,position,college_year,first_name,last_name,br,cbs,tdn,drafttek,espn,nbc,nfl,pff,sbn,si,usa,walter,yahoo,std_dev,avg
28,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101521.png,WR,RS JR.,Courtland,Sutton,35,5,16,38,44,28,41,38,55,24,26,18,22,13.5,30
29,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101513.png,OT,JR.,Connor,Williams,13,30,6,27,37,38,39,18,29,19,31,98,28,22.2,31.77
30,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101707.png,C,JR.,James,Daniels,23,42,36,62,18,17,26,59,36,32,29,36,21,14.2,33.62
31,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101712.png,RB,SR.,Sony,Michel,33,53,43,52,31,18,30,46,32,43,37,22,31,10.7,36.23
32,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101759.png,WR,JR.,D.J.,Moore,–,70,26,29,22,24,46,31,35,36,27,42,27,13.3,34.58
33,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101505.png,QB,RS JR.,Josh,Allen,7,55,125,5,10,44,38,35,42,5,56,24,32,32.1,36.77
34,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101834.png,CB,JR.,Mike,Hughes,26,69,55,28,23,51,35,27,30,35,55,26,24,15,37.23
35,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101706.png,C,SR.,Billy,Price,21,47,17,72,33,47,28,69,25,45,24,20,34,18,37.08
36,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101751.png,CB,JR.,Isaiah,Oliver,25,29,76,32,54,71,29,36,59,22,30,53,35,18,42.38
37,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101835.png,S,JR.,Justin,Reid,47,63,31,46,39,33,16,58,65,34,61,38,30,15.1,43.15
38,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101527.png,RB,JR.,Ronald,Jones II,43,36,56,36,56,84,19,39,39,41,40,54,46,15.3,45.31
39,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101788.png,OT,RS JR.,Kolton,Miller,32,28,65,22,30,46,47,92,38,28,89,40,41,22.6,46
40,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101549.png,RB,SR.,Nick,Chubb,–,45,14,50,34,36,93,41,41,60,43,34,69,20,46.67
41,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101664.png,S,JR.,Ronnie,Harrison,40,91,61,37,41,58,53,51,44,38,19,49,50,16.7,48.62
42,https://a.espncdn.com/i/teamlogos/ncaa/500/2571.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101538.png,TE,RS SR.,Dallas,Goedert,39,51,33,64,36,35,55,21,40,61,41,–,54,12.8,44.17
43,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101552.png,WR,SR.,James,Washington,–,18,39,43,50,53,62,24,51,53,42,87,58,17.8,48.33
44,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101517.png,WR,RS JR.,Christian,Kirk,36,129,59,25,42,31,49,68,48,27,54,33,47,27,49.85
45,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101558.png,TE,SR.,Mike,Gesicki,37,54,52,55,51,60,36,43,45,46,60,100,63,16.2,54
46,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101542.png,ED,JR.,Sam,Hubbard,31,113,48,42,65,42,52,84,37,48,47,48,49,22,54.31
47,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101570.png,TE,JR.,Hayden,Hurst,45,187,53,31,28,49,34,95,46,39,90,23,48,44.1,59.08
48,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101841.png,CB,JR.,Carlton,Davis,48,96,81,47,83,131,25,42,43,40,45,25,39,31.2,57.31
49,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101708.png,C,SR.,Frank,Ragnow,–,33,30,60,24,32,72,14,66,79,105,–,57,27.7,52
50,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101838.png,CB,JR.,Donte,Jackson,–,105,70,59,45,66,51,33,72,44,80,21,44,22.8,57.5
51,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101607.png,WR,SR.,Anthony,Miller,–,44,27,86,46,37,79,50,53,96,64,64,55,20.4,58.42
52,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101545.png,QB,SR.,Mason,Rudolph,–,10,86,41,62,72,69,25,50,68,52,–,64,22.1,54.45
53,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101537.png,OT,SR.,Tyrell,Crosby,49,40,49,90,55,41,91,71,56,64,76,75,40,18,61.31
54,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101554.png,OG,SR.,Braden,Smith,–,39,69,44,57,80,66,57,68,84,51,62,51,13.6,60.67
55,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101523.png,OT,RS JR.,Orlando,Brown,–,26,54,58,76,83,94,86,23,47,71,–,56,23.4,61.27
56,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101509.png,ED,JR.,Arden,Key,–,73,46,24,123,101,124,74,62,31,38,19,74,36.2,65.75
57,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101776.png,IDL,SR.,Harrison,Phillips,44,43,–,57,43,67,43,112,31,63,33,92,87,25.6,59.58
58,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101540.png,ED,SR.,Lorenzo,Carter,–,75,60,45,52,25,57,123,92,54,107,82,62,27.6,69.5
59,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101546.png,ED,JR.,Josh,Sweat,–,49,50,65,72,45,106,105,95,83,73,86,26,25.2,71.25
60,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101836.png,S,RS JR.,Jessie,Bates III,–,131,45,63,53,54,59,115,54,55,70,–,36,29.3,66.82
61,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101572.png,TE,RS JR.,Mark,Andrews,–,72,62,78,80,123,97,48,33,67,53,52,93,24.8,71.5
62,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101710.png,RB,SR.,Rashaad,Penny,–,123,107,92,47,74,44,29,60,72,36,90,94,29.7,72.33
63,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101522.png,RB,JR.,Kerryon,Johnson,–,74,84,74,79,86,50,107,58,52,104,47,61,20.1,73
64,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101581.png,OG,RS SR.,Austin,Corbett,42,86,28,98,40,56,92,65,64,–,96,–,65,24.1,66.55
65,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lwu8lddulfvjdcbku8jy",IDL,SR.,Nathan,Shepherd,–,108,35,82,59,50,67,62,102,–,39,–,96,26,70
66,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101615.png,WR,SR.,Michael,Gallup,–,32,75,88,110,63,86,49,116,78,74,–,52,25.3,74.82
67,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101808.png,WR,JR.,Equanimeous,St. Brown,–,122,108,96,139,48,65,66,73,75,79,37,45,31.4,79.42
68,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101530.png,LB,JR.,Malik,Jefferson,28,60,95,97,78,149,127,114,70,76,50,63,43,34.7,80.77
69,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101840.png,IDL,RS JR.,Tim,Settle,–,57,136,95,106,146,42,103,47,57,66,35,81,36.6,80.92
70,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101787.png,ED,JR.,Rasheem,Green,–,104,135,81,63,100,54,143,69,50,72,67,53,31.4,82.58
71,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101715.png,OT,SR.,Jamarco,Jones,46,81,20,191,108,70,80,32,74,93,85,–,73,43.2,79.42
72,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101544.png,WR,SR.,D.J.,Chark,–,–,101,68,48,64,56,113,67,82,62,99,71,20.6,75.55
73,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101529.png,OT,SR.,Martinas,Rankin,–,56,96,100,88,128,71,159,49,59,58,57,85,33.3,83.83
74,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101665.png,CB,SR.,M.J.,Stewart,–,66,85,70,92,77,64,70,97,–,69,–,76,11.3,76.6
75,https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101534.png,OT,SR.,Chukwuma,Okorafor,–,37,24,54,114,135,117,160,71,49,46,–,91,44.6,81.64
76,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101590.png,ED,SR.,Uchenna,Nwosu,–,79,–,48,49,73,75,110,57,65,75,–,97,19.7,72.8
77,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101769.png,OT,RS JR.,Brian,O'Neill,–,–,–,40,69,39,74,91,52,51,99,84,83,21.5,68.2
78,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101658.png,LB,JR.,Jerome,Baker,–,124,51,79,68,69,95,108,142,71,65,91,124,28.5,90.58
79,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101565.png,WR,SR.,Dante,Pettis,–,146,78,66,71,119,73,100,100,70,78,–,68,25.6,88.09
80,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101588.png,ED,RS SR.,Duke,Ejiofor,–,65,40,210,170,79,88,60,79,–,68,55,79,51.9,90.27
81,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101551.png,ED,SR.,Obo,Okoronkwo,–,15,58,61,95,62,116,40,75,74,–,–,89,28.5,68.5
82,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101579.png,WR,JR.,Deon,Cain,–,115,133,56,107,118,58,146,96,56,67,–,77,32.6,93.55
83,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101832.png,WR,RS SR.,DaeSean,Hamilton,–,111,115,144,82,55,84,76,117,–,94,97,84,24.3,96.27
84,https://a.espncdn.com/i/teamlogos/ncaa/500/2569.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101567.png,LB,SR.,Darius,Leonard,–,48,63,85,67,81,48,–,77,69,222,61,105,48.6,84.18
85,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101524.png,IDL,SR.,Derrick,Nnadi,–,78,87,104,60,130,77,118,124,–,59,88,151,30,97.82
86,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101736.png,ED,RS SR.,Kemoko,Turay,–,–,124,179,73,57,63,56,93,86,87,–,80,37.2,89.8
87,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101779.png,S,JR.,DeShon,Elliott,–,93,72,103,130,143,203,89,82,66,93,58,75,40.7,100.58
88,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101597.png,LB,SR.,Fred,Warner,–,90,37,218,98,43,101,161,81,–,82,–,67,54.5,97.8
89,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101678.png,S,SR.,Kyzir,White,–,126,111,53,116,104,60,81,129,85,88,–,165,32.6,101.64
90,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101623.png,TE,SR.,Ian,Thomas,–,139,–,89,101,85,40,177,87,73,113,–,72,38.3,97.6
