player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Joe Burrow,28022,QB,CIN,1,83.7,49,49,7.5,2.49,0,3,5.7,79.6,39,0,17,4.9,58,2,24,7,82.2,92.8,90.8,82.0,0,0,64,0,41.2,122.1,12.1,7,2,0,0,3,0,0.0,412,8.4
Kyler Murray,38334,QB,ARZ,1,76.7,43,48,7.1,2.64,1,4,7.7,68.8,33,0,15,0.0,54,0,17,1,81.6,81.6,78.3,72.5,1,2,58,0,26.7,76.8,7.4,4,2,0,3,1,1,1.7,321,6.7
Dorian Thompson-Robinson,83574,QB,CLV,1,69.0,42,47,5.3,2.4,1,0,0.0,51.1,24,0,11,17.2,49,5,7,8,35.6,57.3,57.2,58.2,0,1,51,3,9.1,50.8,2.0,1,1,0,4,0,2,3.9,170,3.6
Sam Darnold,29048,QB,MIN,1,84.6,39,43,7.9,2.86,1,2,4.4,76.7,33,0,14,0.0,44,0,20,18,80.4,69.4,69.8,60.5,1,1,46,1,7.1,116.1,2.3,1,0,0,2,3,1,2.2,377,8.8
Justin Herbert,28237,QB,LAC,1,82.4,34,38,9.9,2.85,0,1,2.5,68.4,26,0,8,7.1,41,2,17,27,79.7,84.8,82.2,67.2,1,0,43,0,0.0,116.2,0.0,0,2,0,3,3,0,0.0,281,7.4
Joe Flacco,4332,QB,IND,1,75.0,36,38,10.4,2.55,0,3,7.1,68.4,26,0,14,3.7,40,1,16,14,29.6,76.9,76.8,56.3,0,2,44,0,14.3,90.9,5.0,2,0,0,2,2,2,4.5,330,8.7
Patrick Mahomes,11765,QB,KC,1,80.6,36,38,6.5,2.33,2,1,2.4,76.3,29,0,7,0.0,39,0,17,16,79.5,84.9,81.0,71.7,0,0,43,0,0.0,127.1,0.0,0,1,0,0,3,0,0.0,320,8.4
Russell Wilson,7077,QB,PIT,1,72.7,33,37,7.2,3.02,1,1,2.6,62.2,23,1,20,4.2,48,1,15,25,27.9,61.5,51.8,84.4,1,1,49,1,25.0,65.7,10.4,5,6,0,2,0,2,4.1,205,5.5
Spencer Rattler,97408,QB,NO,1,61.8,34,36,7.7,2.78,0,2,4.9,55.6,20,0,18,4.8,41,1,10,20,29.7,52.9,48.8,74.8,0,2,46,0,16.7,59.7,7.3,3,2,0,2,1,4,8.7,218,6.1
Jayden Daniels,97993,QB,WAS,1,84.8,33,36,7.2,3.06,1,2,5.3,66.7,24,0,17,14.3,49,4,18,32,82.1,82.2,73.0,83.3,0,1,53,0,29.4,100.1,10.2,5,8,0,2,3,1,1.9,227,6.3
Aidan O'Connell,60516,QB,LV,1,66.7,33,35,11.3,2.77,0,3,8.6,57.1,20,0,11,9.1,36,2,14,23,79.2,67.7,65.3,65.7,1,0,37,0,9.1,97.6,2.8,1,0,0,1,2,1,2.7,242,6.9
Michael Penix Jr.,82134,QB,ATL,1,55.9,34,35,12.7,2.82,0,2,5.1,54.3,19,0,11,0.0,38,0,11,2,21.9,53.0,54.3,53.9,1,1,42,0,18.2,71.5,5.3,2,1,0,0,1,2,4.8,223,6.4
Brock Purdy,77672,QB,SF,1,84.4,32,35,9.0,2.73,0,1,2.6,77.1,27,0,12,0.0,38,0,18,28,79.7,80.2,78.7,71.4,0,2,42,1,16.7,116.0,5.3,2,1,1,2,3,2,4.8,377,10.8
Jared Goff,10635,QB,DET,1,78.8,33,34,5.6,2.56,0,3,8.3,76.5,26,0,10,0.0,36,0,16,11,79.4,87.7,85.9,60.5,0,0,38,0,20.0,132.4,5.6,2,0,0,1,3,0,0.0,303,8.9
Matthew Stafford,4924,QB,LA,1,69.2,26,32,7.0,2.89,1,2,5.7,53.1,17,0,8,5.6,33,1,9,26,79.5,72.9,68.5,72.6,1,0,36,0,0.0,71.0,0.0,0,1,0,4,0,3,8.3,189,5.9
