Composite_rank,Team,Team Name,Composite,FPI,nfelo,GPF,unexpected_points,dvoa,PFF,pg,FPI_rank,nfelo_rank,GPF_rank,unexpected_points_rank,dvoa_rank,pff_rank,pg_rank,Std Dev,week
1,LA,Los Angeles Rams,8,6.9,7.4,7.4,8.3,11,7.1,8.4,1,1,1,1,1,1,1,1.4,15
2,SEA,Seattle Seahawks,6.5,4.9,7,6.7,4.9,10,5.6,7.8,5,2,2,5,2,3,2,1.8,15
3,GB,Green Bay Packers,5.6,5.1,4.9,5.2,5.3,6.2,6.9,5.1,3,4,3,2,4,2,3,0.7,15
4,DET,Detroit Lions,5.4,5,5,4.2,4.9,7.9,5.5,4.6,4,3,6,4,3,5,5,1.2,15
5,KC,Kansas City Chiefs,4.4,6,3.4,4.9,3.8,3.5,4.6,4,2,7,4,7,6,7,7,0.9,15
6,BUF,Buffalo Bills,4.3,3.6,4,4.4,5.2,3,5.6,4.8,6,5,5,3,8,4,4,0.9,15
7,HOU,Houston Texans,3.3,3.5,2.2,3.5,1.8,3.2,5.4,4.2,9,10,8,13,7,6,6,1.2,15
8,PHI,Philadelphia Eagles,3.1,3.6,3.5,3.8,3.2,1.6,2.6,3.7,7,6,7,8,11,11,8,0.8,15
9,DEN,Denver Broncos,2.9,2.5,1.9,1.8,2.7,4,4.3,2.3,11,12,11,10,5,8,12,1,15
10,SF,San Francisco 49ers,2.8,3.6,2.3,2.7,2.7,2.6,3,2.9,8,9,10,9,10,10,10,0.4,15
11,BAL,Baltimore Ravens,2.3,2.8,1.7,3.1,2.5,0.8,3.1,2.4,10,13,9,11,13,9,11,0.8,15
12,NE,New England Patriots,2.1,1,2.6,1.7,4.2,1.3,2,3,15,8,12,6,12,13,9,1.1,15
13,JAX,Jacksonville Jaguars,1.6,1.4,0.2,1.3,2.2,2.7,1.8,2.1,12,15,14,12,9,14,13,0.8,15
14,LAC,Los Angeles Chargers,1,1.3,0.3,1.5,0.7,-0,2.2,1.1,13,14,13,17,15,12,15,0.7,15
15,DAL,Dallas Cowboys,0.3,0.4,0.2,1.1,0.8,-0.5,-0,1.6,16,16,15,15,19,18,14,0.7,15
16,CHI,Chicago Bears,0.1,-0.5,-0.3,-0.6,1.4,-0.4,1.2,0,17,18,16,14,17,15,16,0.8,15
17,CIN,Cincinnati Bengals,-0.1,1.1,-1.3,-0.7,0.7,-0.5,0.1,-0.7,14,19,17,16,18,17,18,0.9,15
18,PIT,Pittsburgh Steelers,-0.3,-0.7,-0.2,-0.8,-0.8,0.4,0.3,-0.6,18,17,19,19,14,16,17,0.5,15
19,TB,Tampa Bay Buccaneers,-1,-0.8,-2,-0.8,-0.6,-1.3,-0.8,-1,19,20,18,18,21,20,19,0.5,15
20,IND,Indianapolis Colts,-1.6,-2.3,1.9,-5,-2.1,-0.9,-1.2,-3,21,11,27,22,20,22,22,2.1,15
21,MIA,Miami Dolphins,-1.8,-2.7,-2.8,-3.1,-1.3,0,-1,-2.8,23,21,21,20,16,21,21,1.2,15
22,MIN,Minnesota Vikings,-2.1,-2.6,-3.1,-2,-3,-1.9,-0.1,-2.2,22,22,20,24,22,19,20,1,15
23,ARI,Arizona Cardinals,-3.5,-3.8,-4.6,-4,-1.8,-3.1,-3.8,-3.4,25,26,23,21,23,25,24,0.9,15
24,NYG,New York Giants,-3.7,-1.4,-4.2,-4.4,-3.6,-3.2,-5.1,-4.7,20,25,26,27,24,27,26,1.2,15
25,CAR,Carolina Panthers,-3.9,-4.2,-4,-3.5,-3.5,-4.5,-3.7,-3,26,24,22,25,25,24,23,0.5,15
26,ATL,Atlanta Falcons,-3.9,-4.6,-3.2,-4.4,-2.9,-5.1,-3.3,-4,27,23,25,23,27,23,25,0.8,15
27,WAS,Washington Commanders,-4.3,-3.1,-4.7,-4.4,-4.5,-4.7,-4.5,-5,24,27,24,28,26,26,27,0.6,15
28,NO,New Orleans Saints,-6.2,-6.6,-6.5,-6.8,-3.5,-6.2,-7.3,-6.6,29,29,30,26,29,30,29,1.2,15
29,CLE,Cleveland Browns,-6.4,-8.7,-5.5,-6,-4.6,-8,-5.7,-6.4,31,28,28,29,30,28,28,1.4,15
30,LV,Las Vegas Raiders,-7.2,-6.2,-7,-6.6,-8.3,-8.8,-6.1,-6.7,28,30,29,31,32,29,30,1,15
31,NYJ,New York Jets,-7.6,-8.1,-7.8,-9.1,-6.7,-6.1,-7.7,-8,30,31,32,30,28,31,31,1,15
32,TEN,Tennessee Titans,-8.6,-9.2,-7.8,-8,-8.4,-8.5,-9.4,-8,32,32,31,32,31,32,32,0.6,15
