home_team,away_team,game_id,season,week,spread_line,home_Composite_rank,home_Composite,home_FPI,home_nfelo,home_GPF,home_unexpected_points,home_dvoa,home_PFF,home_FPI_rank,home_nfelo_rank,home_GPF_rank,home_unexpected_points_rank,home_dvoa_rank,home_pff_rank,away_Composite_rank,away_Composite,away_FPI,away_nfelo,away_GPF,away_unexpected_points,away_dvoa,away_PFF,away_FPI_rank,away_nfelo_rank,away_GPF_rank,away_unexpected_points_rank,away_dvoa_rank,away_pff_rank,rtg_diff_Composite,spread_diff_Composite,rtg_diff_FPI,rtg_diff_nfelo,rtg_diff_GPF,rtg_diff_unexpected_points,rtg_diff_dvoa,rtg_diff_PFF,bet_team_FPI,bet_team_nfelo,bet_team_GPF,bet_team_unexpected_points,bet_team_dvoa,bet_team_PFF,bet_team_Composite
NYG,PHI,2025_06_PHI_NYG,2025,6,+7,29,-5.3,-7,-7,-4.1,-4.3,-4.3,-5.1,30,31,25,27,26,28,5,4.3,4.3,4.6,5,3.3,3.4,5.4,4,3,2,7,7,3,+8.1,-1.0999999999999996,9.8,10.1,7.6,6.1,6.199999999999999,9,PHI,PHI,PHI,NYG,NYG,PHI,PHI
NYJ,DEN,2025_06_DEN_NYJ,2025,6,+7.5,27,-5.1,-5.6,-2.8,-5.1,-6.5,-4.6,-6,28,25,28,30,27,29,8,2.4,2.9,2.9,2.3,2.1,2.3,2.1,8,7,8,12,9,8,+7.5,0,8.5,5.699999999999999,7.3999999999999995,8.6,6.8999999999999995,8.1,DEN,NYJ,NYJ,DEN,NYJ,DEN,NYJ
BAL,LA,2025_06_LA_BAL,2025,6,+7.5,23,-3,-1.6,-1.9,-4.6,-3.8,-2,-4,21,23,27,26,23,25,6,4,3,3,4.4,4.6,5.1,3.8,7,6,6,4,4,6,+5.5,2,3.0999999999999996,3.4000000000000004,7.5,6.899999999999999,5.6,6.3,BAL,BAL,BAL,BAL,BAL,BAL,BAL
CAR,DAL,2025_06_DAL_CAR,2025,6,+3,28,-5.2,-4.6,-5.4,-6.4,-4.8,-6.3,-3.4,27,28,31,28,30,23,17,0,1.3,0.1,-1.8,1.4,0.9,-1.7,15,17,22,15,13,20,+3.7,-0.7000000000000002,4.3999999999999995,4,3.1000000000000005,4.699999999999999,5.7,0.19999999999999996,DAL,DAL,DAL,DAL,DAL,CAR,DAL
IND,ARI,2025_06_ARI_IND,2025,6,-6.5,9,2.1,2.8,1.1,2.6,3.8,1.8,0.7,9,12,7,6,10,15,22,-1.4,-1.7,-1.8,-1.7,-0.6,-0.9,-1.9,22,22,21,20,18,22,-5,-1.5,-6,-4.4,-5.8,-5.8999999999999995,-4.2,-4.1,ARI,ARI,ARI,ARI,ARI,ARI,ARI
JAX,SEA,2025_06_SEA_JAX,2025,6,-1.5,15,0.5,-0,0.3,0.9,-0.1,0.9,0.8,17,14,14,19,14,14,10,2,1.4,1.6,1.7,2.1,4.2,0.9,13,9,11,11,6,13,0,-1.5,-0.10000000000000009,-0.19999999999999996,-0.7000000000000001,0.7000000000000002,1.8000000000000003,-1.4,SEA,SEA,SEA,SEA,SEA,SEA,SEA
MIA,LAC,2025_06_LAC_MIA,2025,6,+4.5,24,-3.6,-3.6,-2.4,-4.3,-3.8,-3.4,-4.1,24,24,26,25,24,26,13,1.2,1.6,0.7,2,1.2,0,1.7,12,13,9,17,16,10,+3.3,1.2000000000000002,3.7,1.5999999999999996,4.8,3.5,1.9,4.3,MIA,MIA,LAC,MIA,MIA,MIA,MIA
NO,NE,2025_06_NE_NO,2025,6,+3.5,30,-5.6,-6.3,-5.5,-5.5,-3.6,-5.2,-7.5,29,29,29,24,29,32,19,-0.5,-0.2,-1.3,-0.6,2,-1.1,-1.9,18,21,18,13,20,21,+3.6,-0.09999999999999964,4.6,2.7,3.4000000000000004,4.1,2.5999999999999996,4.1,NE,NO,NO,NE,NO,NE,NE
PIT,CLE,2025_06_CLE_PIT,2025,6,-5.5,18,-0.3,0.2,0.2,-0.1,-2,-0.4,0.2,16,15,16,22,17,17,26,-4.7,-3.7,-6.5,-4.1,-3,-4.8,-6.2,25,30,23,23,28,30,-5.9,0.40000000000000036,-5.4,-8.2,-5.5,-2.5,-5.8999999999999995,-7.9,CLE,PIT,PIT,CLE,PIT,PIT,PIT
LV,TEN,2025_06_TEN_LV,2025,6,-4.5,25,-4.2,-3.9,-4.2,-4.1,-5.9,-3.8,-3.6,26,27,24,29,25,24,32,-7.4,-8.2,-7.3,-7.2,-7.3,-7.5,-6.7,32,32,32,32,32,31,-4.7,0.20000000000000018,-5.799999999999999,-4.6,-4.6000000000000005,-2.8999999999999995,-5.2,-4.6,LV,LV,LV,TEN,LV,LV,LV
