home_team,away_team,game_id,season,week,spread_line,home_Composite_rank,home_Composite,home_FPI,home_nfelo,home_GPF,home_unexpected_points,home_dvoa,home_PFF,home_FPI_rank,home_nfelo_rank,home_GPF_rank,home_unexpected_points_rank,home_dvoa_rank,home_pff_rank,away_Composite_rank,away_Composite,away_FPI,away_nfelo,away_GPF,away_unexpected_points,away_dvoa,away_PFF,away_FPI_rank,away_nfelo_rank,away_GPF_rank,away_unexpected_points_rank,away_dvoa_rank,away_pff_rank,rtg_diff_Composite,spread_diff_Composite,rtg_diff_FPI,rtg_diff_nfelo,rtg_diff_GPF,rtg_diff_unexpected_points,rtg_diff_dvoa,rtg_diff_PFF,bet_team_FPI,bet_team_nfelo,bet_team_GPF,bet_team_unexpected_points,bet_team_dvoa,bet_team_PFF,bet_team_Composite
GB,WAS,2025_02_WAS_GB,2025,2,-3,4,4.4,4.8,4.1,4.6,4.8,3.4,4.9,3,4,3,3,6,4,7,3.1,2.7,2.9,2.3,3.2,5,2.7,8,7,10,8,3,7,-2.8,-0.19999999999999973,-3.5999999999999996,-2.6999999999999997,-3.8,-3.0999999999999996,0.10000000000000009,-3.7,GB,WAS,GB,GB,WAS,GB,WAS
BAL,CLE,2025_02_CLE_BAL,2025,2,-11.5,1,7.1,7.3,7.5,6.7,6.8,8.4,5.8,1,1,1,1,1,2,28,-4.3,-4.3,-3.7,-4,-5.2,-3.7,-4.8,28,28,28,31,27,29,-12.9,1.3999999999999986,-13.1,-12.7,-12.2,-13.5,-13.600000000000001,-12.1,BAL,BAL,BAL,BAL,BAL,BAL,BAL
CIN,JAX,2025_02_JAX_CIN,2025,2,-3.5,10,1.7,1.5,1.8,1.5,2.8,0.8,1.6,11,11,12,9,10,13,21,-1,-0.9,-1,-0.8,-2.5,0.4,-1.2,21,23,18,23,13,20,-4.2,0.7000000000000002,-3.9,-4.3,-3.8,-6.8,-1.9,-4.3,CIN,CIN,CIN,CIN,JAX,CIN,CIN
DAL,NYG,2025_02_NYG_DAL,2025,2,-5.5,18,-0.5,0.5,-0.2,-1.1,-0.5,-0.2,-1.5,16,17,21,17,18,23,29,-4.5,-4.4,-4.7,-4.6,-4.3,-4.8,-4.5,29,30,30,27,30,28,-5.5,0,-6.4,-6,-5,-5.3,-6.1,-4.5,DAL,DAL,NYG,NYG,DAL,NYG,DAL
DET,CHI,2025_02_CHI_DET,2025,2,-6,6,3.2,2.8,4,2.7,3.8,2.5,3.1,7,5,7,6,7,6,19,-0.8,-0.2,-0.5,-0.8,-2.5,-0.3,-0.8,19,21,19,24,19,18,-5.5,-0.5,-4.5,-6,-5,-7.8,-4.3,-5.4,CHI,DET,CHI,DET,CHI,CHI,CHI
MIA,NE,2025_02_NE_MIA,2025,2,-1.5,25,-3,-3.8,-1.5,-3.4,-3.1,-3.8,-2.6,27,25,26,25,29,25,26,-3.1,-3.3,-3,-3.2,-3.7,-2.5,-3,26,27,25,26,24,26,-1.6,0.10000000000000009,-1,-3,-1.3000000000000003,-2.1,-0.20000000000000018,-1.9,NE,MIA,NE,MIA,NE,MIA,MIA
NO,SF,2025_02_SF_NO,2025,2,+3,32,-5.8,-5.6,-5.9,-6.4,-5.5,-3.7,-7.9,31,32,32,32,28,32,12,1.5,2.7,-0.3,0.6,3.3,0.5,2,9,19,15,7,12,10,+5.8,-2.8,6.800000000000001,4.1000000000000005,5.5,7.300000000000001,2.7,8.4,SF,SF,SF,SF,NO,SF,SF
NYJ,BUF,2025_02_BUF_NYJ,2025,2,+6.5,27,-3.4,-3.1,-2.1,-3.9,-4.3,-2.7,-4.4,25,26,27,28,26,27,3,5.3,4.7,5.6,4.5,6,5.4,5.6,4,2,4,2,2,3,+7.2,-0.6999999999999993,6.300000000000001,6.199999999999999,6.9,8.8,6.600000000000001,8.5,NYJ,NYJ,BUF,BUF,BUF,BUF,BUF
PIT,SEA,2025_02_SEA_PIT,2025,2,-3,17,0,0.5,1,0,-0.6,-0.6,0,15,15,16,18,20,16,23,-1.5,-2.3,-0.3,-1.5,-2.1,-1.6,-1.4,23,18,22,21,23,21,-3,0,-4.3,-2.8,-3,-3,-2.5,-2.9,PIT,SEA,PIT,PIT,SEA,SEA,PIT
TEN,LA,2025_02_LA_TEN,2025,2,+5.5,31,-5.5,-6.5,-4.6,-4,-5,-7.4,-5.4,32,29,29,30,32,31,9,2.1,1.8,1.9,3.1,1.9,1.6,2.4,10,9,5,11,8,8,+6.1,-0.5999999999999996,6.800000000000001,5,5.6,5.4,7.5,6.300000000000001,LA,TEN,LA,TEN,LA,LA,LA
