home_team,away_team,game_id,season,week,spread_line,home_Composite_rank,home_Composite,home_FPI,home_nfelo,home_GPF,home_unexpected_points,home_dvoa,home_PFF,home_pg,home_FPI_rank,home_nfelo_rank,home_GPF_rank,home_unexpected_points_rank,home_dvoa_rank,home_pff_rank,home_pg_rank,away_Composite_rank,away_Composite,away_FPI,away_nfelo,away_GPF,away_unexpected_points,away_dvoa,away_PFF,away_pg,away_FPI_rank,away_nfelo_rank,away_GPF_rank,away_unexpected_points_rank,away_dvoa_rank,away_pff_rank,away_pg_rank,rtg_diff_Composite,spread_diff_Composite,rtg_diff_FPI,rtg_diff_nfelo,rtg_diff_GPF,rtg_diff_unexpected_points,rtg_diff_dvoa,rtg_diff_PFF,bet_team_FPI,bet_team_nfelo,bet_team_GPF,bet_team_unexpected_points,bet_team_dvoa,bet_team_PFF,bet_team_Composite
HOU,BUF,2025_12_BUF_HOU,2025,12,+6,15,0.9,2.1,0.4,-1.5,0.8,2.2,1.3,-1.4,12,14,19,16,11,13,19,6,4.9,3.9,4.9,5.5,5.2,4.5,5.3,5.5,8,5,3,4,7,5,4,+2.5,3.5,0.2999999999999998,3,5.5,2.9000000000000004,0.7999999999999998,2.5,HOU,HOU,HOU,HOU,HOU,HOU,HOU
BAL,NYJ,2025_12_NYJ_BAL,2025,12,-13.5,7,4.5,4.2,3.8,3.4,5,4.6,5.9,4,7,7,9,5,6,3,8,31,-7.2,-7.4,-6,-8.7,-7.8,-5.7,-7.4,-7.6,30,30,31,30,28,30,31,-13.2,-0.3000000000000007,-13.100000000000001,-11.3,-13.6,-14.3,-11.8,-14.8,NYJ,NYJ,BAL,BAL,NYJ,BAL,NYJ
CHI,PIT,2025_12_PIT_CHI,2025,12,-2.5,19,-0.7,-1.6,-0.2,-1.2,0.7,-2.3,0.4,-0.8,20,18,18,17,20,16,18,18,-0.4,0.5,0.2,-2,-1.2,0.7,-0.4,-2.1,17,16,20,20,14,19,20,-1.2,-1.2999999999999998,0.6000000000000001,-1.1,-2.3,-3.4,1.5,-2.3,PIT,PIT,PIT,CHI,PIT,PIT,PIT
CIN,NE,2025_12_NE_CIN,2025,12,+8.5,27,-4.8,-4.7,-5.1,-6.3,-5.8,-2.3,-4.6,-7.1,27,28,29,29,21,26,29,12,1.8,0.5,2.5,2.4,4,0.3,0.9,2.5,16,11,10,10,16,15,11,+5.1,3.4000000000000004,3.7,6.1,7.199999999999999,8.3,1.0999999999999996,4,CIN,CIN,CIN,CIN,CIN,CIN,CIN
DET,NYG,2025_12_NYG_DET,2025,12,-10.5,3,5.5,4.9,5.6,5.4,5.3,7,5.1,5.1,3,2,4,3,3,6,6,24,-3.5,-1.5,-4.8,-3.8,-3.4,-2.6,-4.7,-4.2,19,26,23,24,22,28,24,-10.5,0,-7.9,-11.899999999999999,-10.7,-10.2,-11.1,-11.3,NYG,DET,DET,NYG,DET,DET,DET
GB,MIN,2025_12_MIN_GB,2025,12,-6.5,8,4.4,4.4,3.7,4.3,4.3,4,5.5,3.7,6,8,7,9,9,4,9,20,-1.7,-2.9,-1.9,-0.7,-1.9,-3,0,-0.7,23,20,17,22,24,18,17,-7.6,1.1000000000000005,-8.8,-7.1,-6.5,-7.699999999999999,-8.5,-7,GB,GB,GB,GB,GB,GB,GB
KC,IND,2025_12_IND_KC,2025,12,-3.5,2,6.2,7.3,5.3,5.9,6.1,6.4,6,6.3,1,4,2,2,4,2,2,9,4,4.7,2.6,3.6,4.9,6.2,2.1,4.7,4,9,8,7,5,11,7,-3.7,0.20000000000000018,-4.1,-4.199999999999999,-3.8000000000000003,-2.6999999999999993,-1.7000000000000002,-5.4,KC,KC,KC,IND,IND,KC,KC
TEN,SEA,2025_12_SEA_TEN,2025,12,+13.5,32,-8.9,-9.2,-8.4,-8.7,-9.3,-9.1,-8.8,-9,31,32,32,32,32,32,32,4,5.1,3.7,4.4,5.2,4.8,8.2,4.1,5.9,9,6,5,8,1,8,3,+12.5,1,11.399999999999999,11.3,12.399999999999999,12.600000000000001,15.799999999999997,11.4,TEN,TEN,TEN,TEN,SEA,TEN,TEN
ARI,JAX,2025_12_JAX_ARI,2025,12,+2.5,21,-2.7,-3.2,-3.2,-3.3,-1.9,-1.6,-3,-2.8,25,23,21,21,19,22,22,17,-0.1,-0.1,-2.1,0.3,0.9,0.4,0.1,1.1,18,21,15,15,15,17,15,+1.1,1.4,1.6,-0.3999999999999999,2.0999999999999996,1.2999999999999998,0.5,1.6,ARI,ARI,ARI,ARI,ARI,ARI,ARI
LV,CLE,2025_12_CLE_LV,2025,12,-3.5,28,-5.9,-5.7,-5.7,-5,-8,-6.2,-4.6,-5.3,28,29,25,31,29,27,25,30,-6.7,-9.4,-4.8,-6.1,-4.9,-8.8,-6.2,-7.3,32,27,28,28,31,29,30,-2.3,-1.2000000000000002,-5.2,-0.5999999999999996,-2.5999999999999996,1.5999999999999996,-4.1000000000000005,-3.1000000000000005,LV,CLE,CLE,CLE,LV,CLE,CLE
DAL,PHI,2025_12_PHI_DAL,2025,12,+3,16,-0.1,0.5,-0.2,-0.2,0.9,-0.3,-1.6,0.1,15,17,16,14,17,20,16,5,4.9,4.7,5.3,5,5,4.4,4.9,5.4,5,3,6,6,8,7,5,+3.5,-0.5,2.7,4,3.7,2.5999999999999996,3.2,5,DAL,PHI,PHI,DAL,PHI,PHI,PHI
NO,ATL,2025_12_ATL_NO,2025,12,-1.5,29,-6.4,-6.5,-6.7,-6,-3.7,-6.4,-8.8,-6.6,29,31,27,25,30,31,28,22,-3,-2.7,-0.7,-5.8,-1.1,-4.6,-3.3,-5.6,22,19,26,19,26,24,27,+1.9,-3.4000000000000004,2.3,4.5,-1.2999999999999998,1.1,0.3000000000000007,4.000000000000001,ATL,ATL,ATL,ATL,ATL,ATL,ATL
LA,TB,2025_12_TB_LA,2025,12,-6.5,1,6.5,5,6.6,6.4,6.8,7.9,6.2,6.8,2,1,1,1,2,1,1,14,1,0.8,0.3,1.4,1.2,1.4,1.1,1.6,14,15,14,13,13,14,13,-7,0.5,-5.7,-7.8,-6.5,-7.1,-8,-6.6,TB,LA,LA,LA,LA,LA,LA
