player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Drew Lock,39517,QB,NYG,1,61.5,39,49,10.0,3.24,5,1,1.9,42.9,21,0,26,12.5,56,3,15,21,81.5,51.1,47.9,73.9,2,1,60,2,7.7,48.6,3.6,2,5,1,2,0,3,5.0,227,4.6
Tua Tagovailoa,60326,QB,MIA,1,80.0,45,47,5.8,2.14,0,1,2.0,70.2,33,0,12,8.3,48,3,21,17,80.6,77.2,76.9,56.8,0,0,52,0,0.0,104.1,0.0,0,1,1,1,2,0,0.0,331,7.0
Joe Burrow,28022,QB,CIN,1,81.4,43,44,6.3,2.52,0,0,0.0,75.0,33,1,17,5.7,46,2,18,7,80.9,87.5,85.4,60.0,0,1,52,1,11.8,112.8,4.3,2,0,0,1,3,1,1.9,369,8.4
Jameis Winston,9434,QB,CLV,1,66.7,36,41,8.6,2.87,0,2,4.7,58.5,24,0,18,0.0,45,0,12,8,80.4,58.2,54.6,76.9,0,2,47,1,16.7,68.3,6.7,3,1,0,5,2,3,6.4,212,5.2
Jared Goff,10635,QB,DET,1,82.5,40,41,6.2,2.34,0,0,0.0,78.0,32,0,12,3.0,43,1,18,11,80.3,76.0,77.5,51.1,0,1,45,0,8.3,109.7,2.3,1,1,0,1,3,1,2.2,283,6.9
Aaron Rodgers,2241,QB,NYJ,1,81.1,37,39,7.1,2.7,0,1,2.4,69.2,27,0,14,10.0,43,3,18,22,79.9,81.3,79.6,,1,0,46,0,21.4,104.5,7.0,3,0,0,1,1,0,0.0,339,8.7
Kyler Murray,38334,QB,ARZ,1,74.3,35,38,5.5,2.73,2,1,2.3,65.8,25,0,11,3.8,42,1,15,1,80.4,65.2,61.8,70.8,0,2,47,0,18.2,80.9,4.8,2,2,0,1,2,2,4.3,259,6.8
Kirk Cousins,7102,QB,ATL,1,86.7,30,37,9.0,2.29,5,2,5.3,62.2,23,0,8,11.5,38,3,15,2,79.0,76.6,73.1,65.6,2,2,40,1,12.5,70.1,2.6,1,0,0,0,0,2,5.0,344,9.3
Patrick Mahomes,11765,QB,KC,1,75.8,33,37,7.6,2.6,0,0,0.0,64.9,24,0,18,4.0,43,1,13,16,80.4,66.2,61.4,76.1,3,0,47,0,16.7,88.8,7.0,3,2,0,1,1,0,0.0,210,5.7
Josh Allen,46601,QB,BUF,1,64.9,37,37,12.3,3.09,0,3,7.3,59.5,22,0,11,8.3,41,2,16,4,80.8,90.1,76.5,92.0,0,0,45,0,0.0,117.2,0.0,0,4,0,0,3,0,0.0,342,9.2
Bryce Young,123943,QB,CAR,1,62.5,32,34,10.8,3.34,0,3,8.3,55.9,19,0,19,5.0,41,1,13,5,79.7,63.4,65.8,57.2,0,1,43,3,5.3,69.6,2.4,1,6,0,2,1,2,4.7,191,5.6
Will Levis,83542,QB,TEN,1,72.4,29,32,5.8,2.79,0,1,3.0,59.4,19,0,6,9.5,34,2,8,31,27.7,63.1,60.7,62.6,0,0,35,0,33.3,73.4,5.9,2,0,0,3,0,2,5.7,168,5.3
Derek Carr,8671,QB,NO,1,73.3,30,31,10.2,2.45,0,1,3.0,64.5,20,0,11,9.1,35,2,10,20,27.9,67.4,68.2,61.4,1,1,37,1,9.1,82.6,2.9,1,1,0,0,1,2,5.4,219,7.1
Cooper Rush,12324,QB,DAL,1,60.7,28,31,7.5,2.58,2,1,3.1,51.6,16,0,14,5.9,35,1,9,9,78.7,65.8,64.4,62.6,0,1,36,0,21.4,77.8,8.6,3,1,0,1,2,1,2.8,183,5.9
Mac Jones,60323,QB,JAX,1,85.2,27,31,5.3,2.84,1,0,0.0,74.2,23,0,10,0.0,34,0,11,15,78.5,64.6,65.8,54.5,2,2,35,0,10.0,66.6,2.9,1,2,0,1,0,1,2.9,220,7.1
Matthew Stafford,4924,QB,LA,1,76.7,30,30,9.3,2.52,0,4,11.8,76.7,23,0,8,0.0,30,0,15,26,78.3,93.5,93.5,55.7,0,0,35,0,0.0,132.6,0.0,0,0,0,0,2,0,0.0,320,10.7
Geno Smith,7820,QB,SEA,1,86.2,29,30,5.8,2.8,0,2,6.5,80.0,24,0,11,4.0,30,1,10,29,77.6,79.2,81.1,60.0,0,0,31,2,0.0,110.1,0.0,0,0,0,1,1,0,0.0,233,7.8
Justin Herbert,28237,QB,LAC,1,82.1,28,30,10.3,2.89,1,4,12.5,70.0,21,0,11,8.7,35,2,11,27,79.0,89.9,88.7,64.3,1,0,37,0,27.3,101.1,8.6,3,2,0,0,1,0,0.0,213,7.1
Baker Mayfield,46518,QB,TB,1,73.1,26,29,9.2,2.99,2,1,3.1,62.1,18,0,10,5.3,35,1,13,30,27.8,65.8,66.6,54.5,0,2,38,0,40.0,101.9,11.4,4,2,0,1,3,2,5.3,295,10.2
Sam Darnold,29048,QB,MIN,1,88.0,25,28,12.2,3.13,1,4,13.3,78.6,22,0,13,0.0,35,0,15,18,79.0,90.9,91.9,47.6,2,0,37,1,30.8,157.9,11.4,4,2,0,0,5,0,0.0,347,12.4
Russell Wilson,7077,QB,PIT,1,75.0,20,26,8.0,2.44,1,3,10.7,57.7,15,0,13,0.0,29,0,7,25,78.8,77.2,69.1,80.3,1,0,31,1,7.7,101.1,3.4,1,2,0,4,2,0,0.0,158,6.1
