player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Joe Burrow,28022,QB,CIN,1,93.0,43,46,4.5,2.44,3,2,4.3,80.4,37,0,15,7.5,50,3,15,7,80.6,90.2,88.5,60.0,0,1,52,0,26.7,89.9,8.0,4,0,0,0,1,1,1.9,277,6.0
Joshua Dobbs,11890,QB,SF,1,75.6,41,43,7.1,2.6,1,0,0.0,67.4,29,0,11,6.5,47,2,16,28,24.1,51.5,57.6,39.0,0,2,49,0,18.2,86.0,4.3,2,2,1,0,2,3,6.1,326,7.6
Spencer Rattler,97408,QB,NO,1,68.4,38,42,9.0,2.7,0,0,0.0,61.9,26,0,10,0.0,45,0,14,20,80.1,50.9,48.8,65.9,1,0,48,1,20.0,85.4,4.4,2,1,0,3,1,2,4.2,240,5.7
Tanner McKee,131770,QB,PHI,1,75.0,40,41,6.6,2.44,1,0,0.0,65.9,27,0,18,10.0,43,3,15,24,79.9,64.8,63.2,63.7,0,0,43,0,11.1,100.6,4.7,2,0,0,0,2,1,2.3,269,6.6
Sam Darnold,29048,QB,MIN,1,57.1,35,41,8.5,3.14,0,0,0.0,43.9,18,0,22,10.0,45,2,8,18,80.3,45.8,44.5,78.5,2,0,48,3,9.1,55.5,4.4,2,2,0,4,0,2,4.2,166,4.0
Jimmy Garoppolo,8697,QB,LA,1,72.5,40,41,4.8,2.63,0,1,2.4,65.9,27,0,20,6.9,45,2,16,26,80.1,70.8,71.5,53.6,0,1,46,0,15.0,97.0,6.7,3,1,0,1,2,1,2.2,334,8.1
Tyler Huntley,46448,QB,MIA,1,72.2,36,41,7.4,2.75,1,0,0.0,61.0,25,0,22,3.8,49,1,15,17,19.0,52.8,49.7,70.5,1,2,51,0,18.2,64.0,8.2,4,3,0,3,1,4,7.8,229,5.6
Joe Flacco,4332,QB,IND,1,72.2,36,40,9.8,2.75,1,1,2.4,57.5,23,0,12,11.5,43,3,11,14,79.6,73.8,72.4,,0,0,44,1,25.0,85.8,7.0,3,0,0,3,1,0,0.0,264,6.6
Michael Penix Jr.,82134,QB,ATL,1,76.5,34,38,11.9,2.68,1,7,17.9,55.3,21,0,11,19.2,40,5,12,2,79.2,95.6,94.5,63.3,2,1,41,0,9.1,88.9,2.5,1,1,0,1,2,0,0.0,312,8.2
Justin Herbert,28237,QB,LAC,1,82.4,34,36,8.2,2.52,1,3,7.7,77.8,28,0,5,0.0,38,0,14,27,79.8,93.1,91.4,76.2,0,0,41,1,20.0,125.2,2.6,1,1,1,0,2,0,0.0,346,9.6
Aaron Rodgers,2241,QB,NYJ,1,74.3,35,36,6.4,2.89,0,2,5.4,63.9,23,0,18,11.5,40,3,14,22,79.2,77.4,76.2,,0,1,41,0,16.7,112.5,7.5,3,0,0,1,4,0,0.0,274,7.6
Kyler Murray,38334,QB,ARZ,1,81.3,32,35,7.2,2.47,0,3,8.1,71.4,25,0,7,3.8,36,1,15,1,79.5,84.5,82.4,66.4,0,0,39,0,0.0,128.5,0.0,0,1,0,3,4,0,0.0,242,6.9
Aidan O'Connell,60516,QB,LV,1,75.8,33,34,9.2,2.56,0,2,5.7,70.6,24,0,10,4.0,35,1,10,23,28.7,62.1,56.0,79.5,0,1,37,0,0.0,94.5,0.0,0,1,0,1,2,2,5.4,214,6.3
Bryce Young,123943,QB,CAR,1,78.8,33,34,8.6,3.2,0,3,8.8,73.5,25,0,6,3.8,38,1,18,5,79.1,89.3,86.3,71.5,0,0,39,0,0.0,123.5,0.0,0,4,0,1,3,0,0.0,251,7.4
Trey Lance,91399,QB,DAL,1,67.7,31,34,8.1,2.71,1,0,0.0,58.8,20,0,9,4.8,37,1,13,9,80.0,68.0,69.6,54.7,1,0,40,0,22.2,81.0,5.4,2,1,0,1,0,0,0.0,244,7.2
