home_team,away_team,game_id,season,week,spread_line,home_Composite_rank,home_Composite,home_FPI,home_nfelo,home_GPF,home_unexpected_points,home_dvoa,home_PFF,home_FPI_rank,home_nfelo_rank,home_GPF_rank,home_unexpected_points_rank,home_dvoa_rank,home_pff_rank,away_Composite_rank,away_Composite,away_FPI,away_nfelo,away_GPF,away_unexpected_points,away_dvoa,away_PFF,away_FPI_rank,away_nfelo_rank,away_GPF_rank,away_unexpected_points_rank,away_dvoa_rank,away_pff_rank,rtg_diff_Composite,spread_diff_Composite,rtg_diff_FPI,rtg_diff_nfelo,rtg_diff_GPF,rtg_diff_unexpected_points,rtg_diff_dvoa,rtg_diff_PFF,bet_team_FPI,bet_team_nfelo,bet_team_GPF,bet_team_unexpected_points,bet_team_dvoa,bet_team_PFF,bet_team_Composite
BUF,MIA,2025_03_MIA_BUF,2025,3,-12.5,2,6.1,5.3,5.7,6.6,7.5,5.6,6,3,2,2,1,2,2,26,-3.1,-4.5,-1.9,-3.8,-2.9,-2.1,-3.1,28,24,27,24,23,26,-10.7,-1.8000000000000007,-11.3,-9.1,-11.899999999999999,-11.9,-9.2,-10.6,MIA,MIA,MIA,MIA,MIA,MIA,MIA
CAR,ATL,2025_03_ATL_CAR,2025,3,+5.5,30,-5.5,-4.9,-4.6,-7.1,-4.4,-6.9,-5.1,29,30,32,29,32,30,17,-0.5,-1,-0.2,-0.8,0.3,-0.9,-0.3,21,19,20,14,17,17,+3.5,2,2.4000000000000004,2.8999999999999995,4.8,3.2,4.5,3.3,CAR,CAR,CAR,CAR,CAR,CAR,CAR
CLE,GB,2025_03_GB_CLE,2025,3,+8.5,28,-4.5,-4.4,-4.2,-4.9,-4.4,-4.1,-5.1,27,28,29,28,29,29,3,5.1,5.1,4.6,5.2,5.9,4.1,5.8,4,5,4,3,4,4,+8.1,0.40000000000000036,8,7.300000000000001,8.600000000000001,8.8,6.699999999999999,9.399999999999999,CLE,CLE,GB,GB,CLE,GB,CLE
JAX,HOU,2025_03_HOU_JAX,2025,3,-1.5,21,-0.8,-0.7,-0.8,-1.6,-1.6,0.6,-0.7,19,21,23,22,11,19,14,-0.3,-0.6,0,-0.6,0.1,-0.6,-0.2,16,16,17,15,15,15,-1,-0.5,-1.4,-0.7,-0.5,0.20000000000000018,-2.7,-1,HOU,HOU,HOU,HOU,JAX,HOU,HOU
MIN,CIN,2025_03_CIN_MIN,2025,3,-3,13,-0.2,1,0.9,-0.5,0.8,-3.5,-0.1,11,11,16,13,27,13,22,-1.3,0.3,-0.9,-1.5,-1.4,-1.4,-3,15,22,21,21,20,25,-2.6,-0.3999999999999999,-2.2,-3.3,-2.5,-3.7,0.6000000000000001,-4.4,CIN,MIN,CIN,MIN,CIN,MIN,CIN
NE,PIT,2025_03_PIT_NE,2025,3,+1.5,25,-2.5,-2,-2.3,-2.5,-3.1,-2.4,-2.5,22,25,25,26,24,24,19,-0.7,-1,-0.1,0.5,-1.1,-1.6,-1,20,18,12,20,22,20,+0.3,1.2,-0.5,0.6999999999999997,1.5,0.5,-0.7000000000000002,0,NE,NE,NE,NE,NE,NE,NE
PHI,LA,2025_03_LA_PHI,2025,3,-3.5,4,5,4.7,5.6,5.3,4.7,3.9,6,5,3,3,4,5,3,7,3,3,2.9,3.2,3.3,2.8,2.9,8,7,8,7,7,8,-3.5,0,-3.2,-4.199999999999999,-3.5999999999999996,-2.9000000000000004,-2.6,-4.6,LA,PHI,PHI,LA,LA,PHI,PHI
TB,NYJ,2025_03_NYJ_TB,2025,3,-7,10,1.2,2.1,1.5,1,1.3,0.1,1.3,9,10,11,11,12,10,29,-4.7,-5,-4.2,-4.4,-5.4,-4.4,-5,30,29,28,30,30,28,-7.4,0.40000000000000036,-8.6,-7.2,-6.9,-8.2,-6,-7.8,TB,TB,NYJ,TB,NYJ,TB,TB
TEN,IND,2025_03_IND_TEN,2025,3,+4.5,32,-6,-7,-5.7,-5.5,-5.7,-6.1,-5.9,32,32,30,32,31,31,18,-0.6,0.3,-0,-0.6,-0.3,-2.6,-0.2,14,17,19,16,25,16,+3.9,0.5999999999999996,5.8,4.2,3.4000000000000004,3.9000000000000004,1.9999999999999996,4.2,IND,TEN,TEN,TEN,TEN,TEN,TEN
WAS,LV,2025_03_LV_WAS,2025,3,-3.5,11,1,0.7,0.1,1.5,2.7,-0.8,1.8,12,15,10,9,16,9,24,-2.1,-2.6,-2.3,-1.6,-2.9,-1.3,-2.1,24,26,22,23,19,23,-4.6,1.0999999999999996,-4.8,-3.9,-4.6,-7.1,-2,-5.4,WAS,WAS,WAS,WAS,LV,WAS,WAS
