player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Kirk Cousins,7102,QB,ATL,1,84.9,53,58,8.1,2.3,1,1,1.6,72.4,42,0,19,6.7,63,3,24,2,82.2,84.9,83.0,,0,1,67,1,21.1,114.8,6.3,4,0,2,2,4,3,4.5,509,8.8
Aaron Rodgers,2241,QB,NYJ,1,68.8,48,54,7.6,2.37,1,3,5.5,53.7,29,0,17,12.1,57,4,13,22,36.3,46.4,48.3,,2,3,58,1,17.6,54.9,5.3,3,0,0,3,2,4,6.9,244,4.5
Matthew Stafford,4924,QB,LA,1,64.4,45,45,8.5,2.66,0,0,0.0,64.4,29,0,16,0.0,48,0,11,26,80.3,54.4,54.3,,0,1,49,0,18.8,78.0,6.3,3,0,0,0,1,2,4.1,260,5.8
Joe Flacco,4332,QB,IND,1,81.4,43,44,8.3,2.73,0,2,4.4,75.0,33,0,11,5.7,49,2,17,14,80.6,90.0,86.4,71.2,0,0,50,0,36.4,121.3,8.2,4,1,0,1,3,0,0.0,359,8.2
Lamar Jackson,46416,QB,BLT,1,71.1,38,42,9.6,3.48,1,3,7.0,61.9,26,0,20,3.7,47,1,18,3,26.0,69.5,78.1,41.0,2,0,48,0,5.0,119.9,2.1,1,4,0,1,4,0,0.0,348,8.3
Dak Prescott,10769,QB,DAL,1,76.9,39,42,7.2,2.61,2,2,4.8,69.0,29,0,14,3.3,45,1,14,9,29.4,67.5,67.9,55.9,0,2,46,1,14.3,90.6,4.4,2,1,0,1,2,3,6.5,352,8.4
Geno Smith,7820,QB,SEA,1,75.0,36,39,5.3,2.62,2,0,0.0,69.2,27,0,18,0.0,50,0,15,29,80.5,70.0,68.4,70.4,0,0,51,1,38.9,95.7,14.0,7,4,0,1,1,0,0.0,256,6.6
Joe Burrow,28022,QB,CIN,1,81.6,38,39,8.5,2.43,0,3,7.5,76.9,30,0,12,3.2,43,1,19,7,79.8,89.4,89.4,54.5,0,1,44,1,25.0,137.0,7.0,3,1,0,1,5,1,2.3,392,10.1
Patrick Mahomes,11765,QB,KC,1,84.8,33,39,4.4,3.12,0,0,0.0,71.8,28,0,19,0.0,44,0,18,16,80.6,72.2,65.5,79.4,1,1,47,0,10.5,86.6,4.5,2,3,0,5,0,0,0.0,331,8.5
C.J. Stroud,129759,QB,HST,1,83.3,36,38,5.7,2.73,0,4,10.5,73.7,28,0,15,6.7,42,2,16,13,28.6,80.6,76.0,74.4,0,1,42,1,6.7,97.6,2.4,1,3,0,2,1,2,4.8,331,8.7
Brock Purdy,77672,QB,SF,1,64.5,31,35,9.8,3.7,1,1,2.9,54.3,19,0,14,5.0,41,1,16,28,79.2,73.7,67.5,79.4,0,2,41,0,14.3,62.1,4.9,2,4,0,3,1,0,0.0,244,7.0
Daniel Jones,39395,QB,NYG,1,83.9,31,34,5.3,2.76,0,2,5.9,67.6,23,0,10,11.5,40,3,14,21,28.8,70.4,71.8,59.2,0,0,40,0,30.0,109.6,7.5,3,2,0,3,2,1,2.5,257,7.6
Jacoby Brissett,10725,QB,NE,1,65.5,29,34,9.2,2.75,1,2,5.3,52.9,18,0,16,5.3,37,1,8,19,79.2,72.5,69.1,65.9,0,0,41,0,12.5,65.8,5.4,2,1,1,3,0,0,0.0,160,4.7
Trevor Lawrence,77632,QB,JAX,1,85.3,34,34,6.4,2.35,0,2,5.7,82.4,28,0,1,3.4,34,1,13,15,78.7,89.8,85.7,70.6,0,1,35,0,0.0,119.5,0.0,0,0,0,0,2,1,2.9,371,10.9
Tyler Huntley,46448,QB,MIA,1,69.0,29,31,10.2,2.72,2,0,0.0,58.1,18,0,9,10.0,36,2,11,17,79.1,57.0,55.0,64.3,0,1,39,0,33.3,63.1,8.3,3,2,0,0,0,3,7.7,194,6.3
Sam Darnold,29048,QB,MIN,1,55.6,27,31,14.1,3.27,0,2,5.4,45.2,14,0,14,6.7,36,1,8,18,79.9,47.9,47.9,64.3,0,1,42,1,28.6,50.2,11.1,4,1,0,4,0,2,4.8,178,5.7
Josh Allen,46601,QB,BUF,1,38.5,26,30,13.5,2.95,0,0,0.0,30.0,9,0,15,10.0,36,1,8,4,78.4,48.1,37.7,88.8,3,0,36,0,6.7,56.4,2.8,1,4,0,1,1,3,8.3,131,4.4
Kyler Murray,38334,QB,ARZ,1,65.5,29,30,8.1,2.37,1,3,10.0,63.3,19,0,9,0.0,32,0,11,1,39.3,73.5,73.8,60.1,0,1,32,0,11.1,79.2,3.1,1,1,0,0,1,1,3.1,195,6.5
Caleb Williams,144622,QB,CHI,1,75.0,28,29,8.0,3.44,0,1,3.1,69.0,20,0,6,4.8,35,1,15,6,78.9,72.0,66.6,74.2,0,0,39,0,16.7,126.2,2.9,1,5,0,1,2,2,5.1,304,10.5
Derek Carr,8671,QB,NO,1,73.1,26,28,13.9,2.58,0,2,6.9,64.3,18,0,15,5.3,29,1,9,20,77.4,72.5,71.2,,0,1,30,0,6.7,89.1,3.4,1,0,0,2,2,1,3.3,165,5.9
Deshaun Watson,11767,QB,CLV,1,68.0,25,28,10.0,3.28,1,0,0.0,53.6,15,0,18,11.8,38,2,6,8,28.2,40.0,42.9,47.9,0,0,40,0,38.9,77.2,18.4,7,3,0,2,1,2,5.0,125,4.5
Andy Dalton,6187,QB,CAR,1,77.8,27,28,7.6,2.61,0,0,0.0,64.3,18,0,15,14.3,33,3,6,5,21.8,51.1,51.7,58.3,0,1,34,0,20.0,61.0,9.1,3,1,0,1,0,2,5.9,136,4.9
Bo Nix,97790,QB,DEN,1,80.0,25,27,6.1,2.86,1,2,6.9,70.4,19,0,6,5.0,32,1,10,10,79.4,66.5,67.3,63.4,0,0,34,2,50.0,117.2,9.4,3,2,1,0,2,0,0.0,206,7.6
Justin Fields,82118,QB,PIT,1,70.8,24,27,11.0,3.13,0,0,0.0,55.6,15,0,11,11.8,30,2,6,25,28.1,59.1,52.8,72.7,1,0,31,0,18.2,93.4,6.7,2,1,0,2,2,3,9.7,132,4.9
Jordan Love,40306,QB,GB,1,70.8,24,26,8.5,2.43,2,1,3.7,57.7,15,0,9,11.8,29,2,9,12,32.0,51.1,47.1,69.1,0,1,30,0,22.2,95.7,6.9,2,1,0,0,2,1,3.3,224,8.6
Jayden Daniels,97993,QB,WAS,1,62.5,24,25,12.8,2.85,1,3,11.5,56.0,14,0,16,6.7,33,1,11,32,79.4,71.8,68.2,69.0,0,1,34,0,18.8,85.1,9.1,3,5,0,0,1,2,5.9,238,9.5
Baker Mayfield,46518,QB,TB,1,82.6,23,24,6.1,2.68,1,2,8.0,79.2,19,0,6,0.0,30,0,14,30,77.8,90.7,85.7,79.1,0,0,31,0,16.7,137.5,3.3,1,5,0,0,3,0,0.0,180,7.5
Aidan O'Connell,60516,QB,LV,1,55.6,18,20,8.5,3.01,0,1,4.5,50.0,10,0,10,0.0,21,0,6,23,75.9,63.8,63.8,,1,1,23,1,10.0,42.5,4.8,1,0,0,1,0,0,0.0,94,4.7
Gardner Minshew,41401,QB,LV,1,70.6,17,17,7.1,2.77,0,0,0.0,70.6,12,0,7,0.0,21,0,9,23,75.9,50.3,44.7,71.3,0,2,23,0,28.6,74.5,9.5,2,2,0,0,1,2,8.7,137,8.1
Jake Haener,60596,QB,NO,1,33.3,6,7,7.8,3.52,0,0,0.0,28.6,2,0,7,0.0,9,0,2,20,70.9,48.3,42.0,66.5,1,0,9,0,0.0,39.6,0.0,0,2,0,0,0,0,0.0,17,2.4
Bryce Young,123943,QB,CAR,1,66.7,6,7,7.3,3.8,0,1,14.3,57.1,4,0,5,0.0,9,0,3,5,70.9,80.5,83.2,57.9,0,0,9,0,20.0,84.2,11.1,1,1,0,1,0,0,0.0,58,8.3
Marcus Mariota,9435,QB,WAS,1,50.0,2,3,1.5,2.33,0,0,0.0,33.3,1,0,1,0.0,3,0,0,32,68.7,49.8,52.8,56.1,0,0,3,0,0.0,42.4,0.0,0,0,0,1,0,0,0.0,-2,-0.7
