Rank,playerId,gsisPlayerId,league,playerImageId,headshotUrl,player,playerFullName,position,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamImageId,currentNFLTeamId,currentNFLTeamAbbrev,currentNFLTeamName,currentNFLStatus,lastNFLTeamId,lastNFLTeamAbbrev,lastNFLTeamName,lastNFLTeamLocation,lastNFLTeamFullName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,TeamTgt%,G,Routes,Tar,Rec,G,null
71,38608,00-0038608,NFL,BOU482823,https://static.www.nfl.com/image/upload/{formatInstructions}/league/mg4icjqhwhnc5uobmau5,Kayshon Boutte,Kayshon Boutte,WR,New England Patriots,NE,3200,3200,3200,NE,Patriots,ACT,3200,NE,Patriots,New England,New England Patriots,,,,,#002244,AFC,13.6%,15,461,68,43,15,
72,36988,00-0036988,NFL,PAL451625,https://static.www.nfl.com/image/upload/{formatInstructions}/league/woswdfrtxnsfgzsjvsxx,Josh Palmer,Josh Palmer,WR,Los Angeles Chargers,LAC,4400,4400,610,BUF,Bills,ACT,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#0080C6,AFC,13.2%,15,389,65,39,15,
73,33921,00-0033921,NFL,GOD549393,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ilkheljdx4hbjpisulke,Chris Godwin Jr.,Chris Godwin Jr.,WR,Tampa Bay Buccaneers,TB,4900,4900,4900,TB,Buccaneers,ACT,4900,TB,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,,,,,#A71930,NFC,11.0%,7,242,62,50,7,
74,35535,00-0035535,NFL,SLA500077,https://static.www.nfl.com/image/upload/{formatInstructions}/league/fyjkvaekv40jn72d0b3q,Darius Slayton,Darius Slayton,WR,New York Giants,NYG,3410,3410,3410,NYG,Giants,ACT,3410,NYG,Giants,New York,New York Giants,,,,,#0B2265,NFC,12.8%,16,527,71,39,16,
75,36849,00-0036849,NFL,ATW460468,https://static.www.nfl.com/image/upload/{formatInstructions}/league/twlslcaa7c2wblveaafu,Tutu Atwell,Tutu Atwell,WR,Los Angeles Rams,LA,2510,2510,2510,LAR,Rams,ACT,2510,LAR,Rams,Los Angeles,Los Angeles Rams,,,,,#003594,NFC,11.5%,17,256,62,42,17,
76,39901,00-0039901,NFL,COL295571,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ipwpdgb0cm3xy3d8zu1l,Keon Coleman,Keon Coleman,WR,Buffalo Bills,BUF,610,610,610,BUF,Bills,ACT,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,11.5%,13,323,57,29,13,
77,36040,00-0036040,NFL,JOH398789,https://static.www.nfl.com/image/upload/{formatInstructions}/league/wuyyzdqkh5fve8t7kfuv,Juwan Johnson,Juwan Johnson,TE,New Orleans Saints,NO,3300,3300,3300,NO,Saints,ACT,3300,NO,Saints,New Orleans,New Orleans Saints,,,,,#000000,NFC,12.8%,17,408,66,50,17,
77,37837,00-0037837,NFL,AUS738004,https://static.www.nfl.com/image/private/{formatInstructions}/league/qlt6ztqcbu0uzad6aavt,Calvin Austin III,Calvin Austin III,WR,Pittsburgh Steelers,PIT,3900,3900,3900,PIT,Steelers,ACT,3900,PIT,Steelers,Pittsburgh,Pittsburgh Steelers,,,,,#000000,AFC,12.6%,17,376,58,36,17,
77,38559,00-0038559,NFL,WIL752419,https://static.www.nfl.com/image/upload/{formatInstructions}/league/yc8awtck004bz2a5oeb8,Michael Wilson,Michael Wilson,WR,Arizona Cardinals,ARI,3800,3800,3800,ARI,Cardinals,ACT,3800,ARI,Cardinals,Arizona,Arizona Cardinals,,,,,#97233F,NFC,13.6%,16,498,71,47,16,
80,31544,00-0031544,NFL,COO487703,https://static.www.nfl.com/image/upload/{formatInstructions}/league/zmtzqznqui37unmo5xv9,Amari Cooper,Amari Cooper,WR,Buffalo Bills,BUF,610,610,2520,LV,Raiders,ACT,2520,LV,Raiders,Las Vegas,Las Vegas Raiders,,,,,#00338D,AFC,15.8%,14,375,85,44,14,
81,33906,00-0033906,NFL,KAM244058,https://static.www.nfl.com/image/private/{formatInstructions}/league/tl9enad6kiwv6cukf4vt,Alvin Kamara,Alvin Kamara,RB,New Orleans Saints,NO,3300,3300,3300,NO,Saints,ACT,3300,NO,Saints,New Orleans,New Orleans Saints,,,,,#000000,NFC,17.2%,14,306,89,68,14,
82,38563,00-0038563,NFL,TUC399910,https://static.www.nfl.com/image/upload/{formatInstructions}/league/fsx05ats4azj8mus03d4,Tre Tucker,Tre Tucker,WR,Las Vegas Raiders,LV,2520,2520,2520,LV,Raiders,ACT,2520,LV,Raiders,Las Vegas,Las Vegas Raiders,,,,,#000000,AFC,13.7%,17,639,81,47,17,
83,36980,00-0036980,NFL,MOO279723,https://static.www.nfl.com/image/upload/{formatInstructions}/league/hglegw8qqnvb8fghc8cq,Elijah Moore,Elijah Moore,WR,Cleveland Browns,CLE,1050,1050,610,BUF,Bills,ACT,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#FF3C00,AFC,16.1%,17,592,102,61,17,
84,34383,00-0034383,NFL,SCH647271,https://static.www.nfl.com/image/upload/{formatInstructions}/league/xbl9mhuamzv5udb4hyzj,Dalton Schultz,Dalton Schultz,TE,Houston Texans,HOU,2120,2120,2120,HOU,Texans,ACT,2120,HOU,Texans,Houston,Houston Texans,,,,,#021018,AFC,15.5%,17,513,85,53,17,
85,34521,00-0034521,NFL,LAZ043714,https://static.www.nfl.com/image/upload/{formatInstructions}/league/b05f33npu1zjtpozfgdk,Allen Lazard,Allen Lazard,WR,New York Jets,NYJ,3430,3430,3430,NYJ,Jets,ACT,3430,NYJ,Jets,New York,New York Jets,,,,,#115740,AFC,10.2%,12,419,60,37,12,
86,39139,00-0039139,NFL,GIB198578,https://static.www.nfl.com/image/upload/{formatInstructions}/league/hjxk3judytgsxkqiilre,Jahmyr Gibbs,Jahmyr Gibbs,RB,Detroit Lions,DET,1540,1540,1540,DET,Lions,ACT,1540,DET,Lions,Detroit,Detroit Lions,,,,,#0076B6,NFC,12.1%,17,309,63,52,17,
87,35208,00-0035208,NFL,ZAC133180,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ucpai2odeunecbe6o1dj,Olamide Zaccheaus,Olamide Zaccheaus,WR,Washington Commanders,WAS,5110,5110,810,CHI,Bears,ACT,810,CHI,Bears,Chicago,Chicago Bears,,,,,#5A1414,NFC,12.7%,17,298,64,45,17,
88,32775,00-0032775,NFL,ROB399065,https://static.www.nfl.com/image/upload/{formatInstructions}/league/aynbxqjpwz1vhpxbxvv8,Demarcus Robinson,Demarcus Robinson,WR,Los Angeles Rams,LA,2510,2510,4500,SF,49ers,SUS,4500,SF,49ers,San Francisco,San Francisco 49ers,,,,,#003594,NFC,11.8%,17,512,64,31,17,
88,33885,00-0033885,NFL,NJO355964,https://static.www.nfl.com/image/private/{formatInstructions}/league/ilvxwdllivrvwbuj69cm,David Njoku,David Njoku,TE,Cleveland Browns,CLE,1050,1050,1050,CLE,Browns,ACT,1050,CLE,Browns,Cleveland,Cleveland Browns,,,,,#FF3C00,AFC,15.3%,11,377,97,64,11,
90,38976,00-0038976,NFL,MIM654774,https://static.www.nfl.com/image/upload/{formatInstructions}/league/zbdjtph5xplbf4yocz0l,Marvin Mims Jr.,Marvin Mims Jr.,WR,Denver Broncos,DEN,1400,1400,1400,DEN,Broncos,ACT,1400,DEN,Broncos,Denver,Denver Broncos,,,,,#FC4C02,AFC,9.5%,17,196,52,39,17,
91,35644,00-0035644,NFL,FAN405165,https://static.www.nfl.com/image/private/{formatInstructions}/league/w1gqasldrg3jumzdqjvy,Noah Fant,Noah Fant,TE,Seattle Seahawks,SEA,4600,4600,920,CIN,Bengals,ACT,920,CIN,Bengals,Cincinnati,Cincinnati Bengals,,,,,#002244,NFC,11.2%,14,387,64,48,14,
92,36182,00-0036182,NFL,WES567220,https://static.www.nfl.com/image/upload/{formatInstructions}/league/qavehhdvkh92usqnorhb,Nick Westbrook-Ikhine,Nick Westbrook-Ikhine,WR,Tennessee Titans,TEN,2100,2100,2700,MIA,Dolphins,ACT,2700,MIA,Dolphins,Miami,Miami Dolphins,,,,,#002244,AFC,11.8%,17,431,60,32,17,
92,39342,00-0039342,NFL,LEG145351,https://static.www.nfl.com/image/upload/{formatInstructions}/league/j4jj8rvgzji7zut86ux7,Xavier Legette,Xavier Legette,WR,Carolina Panthers,CAR,750,750,750,CAR,Panthers,ACT,750,CAR,Panthers,Carolina,Carolina Panthers,,,,,#0085CF,NFC,16.2%,16,417,84,49,16,
94,31588,00-0031588,NFL,DIG218895,https://static.www.nfl.com/image/upload/{formatInstructions}/league/cemcexmscsarpvwhafln,Stefon Diggs,Stefon Diggs,WR,Houston Texans,HOU,2120,2120,3200,NE,Patriots,ACT,3200,NE,Patriots,New England,New England Patriots,,,,,#021018,AFC,11.7%,8,270,64,47,8,
94,34351,00-0034351,NFL,GOE595520,https://static.www.nfl.com/image/upload/{formatInstructions}/league/a6ljhwvkehvyiufdx3d1,Dallas Goedert,Dallas Goedert,TE,Philadelphia Eagles,PHI,3700,3700,3700,PHI,Eagles,ACT,3700,PHI,Eagles,Philadelphia,Philadelphia Eagles,,,,,#004851,NFC,12.4%,10,225,52,42,10,
96,38041,00-0038041,NFL,FER146119,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ebdz1yf8ky2mscdvyv1v,Jake Ferguson,Jake Ferguson,TE,Dallas Cowboys,DAL,1200,1200,1200,DAL,Cowboys,ACT,1200,DAL,Cowboys,Dallas,Dallas Cowboys,,,,,#002244,NFC,13.8%,14,387,86,59,14,
97,38120,00-0038120,NFL,HAL189796,https://static.www.nfl.com/image/upload/{formatInstructions}/league/m3dviruymtm2wl2zcpmr,Breece Hall,Breece Hall,RB,New York Jets,NYJ,3430,3430,3430,NYJ,Jets,ACT,3430,NYJ,Jets,New York,New York Jets,,,,,#115740,AFC,12.9%,16,383,76,57,16,
98,34159,00-0034159,NFL,DIS743152,https://static.www.nfl.com/image/upload/{formatInstructions}/league/b2s1wwxsgkenwlxmncu3,Will Dissly,Will Dissly,TE,Los Angeles Chargers,LAC,4400,4400,4400,LAC,Chargers,ACT,4400,LAC,Chargers,Los Angeles,Los Angeles Chargers,,,,,#0080C6,AFC,13.0%,15,287,64,50,15,
99,37809,00-0037809,NFL,OKO283611,https://static.www.nfl.com/image/upload/{formatInstructions}/league/omm5z5iq6dlmidqz1sgz,Chig Okonkwo,Chig Okonkwo,TE,Tennessee Titans,TEN,2100,2100,2100,TEN,Titans,ACT,2100,TEN,Titans,Tennessee,Tennessee Titans,,,,,#002244,AFC,13.8%,17,380,70,52,17,
99,38619,00-0038619,NFL,IOS307886,https://static.www.nfl.com/image/upload/{formatInstructions}/league/zvanfldklpds1gp08bsp,Andrei Iosivas,Andrei Iosivas,WR,Cincinnati Bengals,CIN,920,920,920,CIN,Bengals,ACT,920,CIN,Bengals,Cincinnati,Cincinnati Bengals,,,,,#FB4F14,AFC,9.7%,17,572,61,36,17,
101,39491,00-0039491,NFL,COK451291,https://static.www.nfl.com/image/upload/{formatInstructions}/league/tbo339znpzrfki8hri95,Jalen Coker,Jalen Coker,WR,Carolina Panthers,CAR,750,750,750,CAR,Panthers,ACT,750,CAR,Panthers,Carolina,Carolina Panthers,,,,,#0085CF,NFC,8.9%,11,277,46,32,11,
102,37838,00-0037838,NFL,LIK088990,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ssrjtyvnyfflobmi0mb8,Isaiah Likely,Isaiah Likely,TE,Baltimore Ravens,BAL,325,325,325,BAL,Ravens,ACT,325,BAL,Ravens,Baltimore,Baltimore Ravens,,,,,#24135F,AFC,12.7%,16,306,58,42,16,
103,32392,00-0032392,NFL,HOO570770,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gfvav2gybtr174ckovpk,Austin Hooper,Austin Hooper,TE,New England Patriots,NE,3200,3200,3200,NE,Patriots,ACT,3200,NE,Patriots,New England,New England Patriots,,,,,#002244,AFC,11.8%,17,285,59,45,17,
104,39424,00-0039424,NFL,VEL175757,https://static.www.nfl.com/image/upload/{formatInstructions}/league/xubjxvsthkyrtzjcxdae,Devaughn Vele,Devaughn Vele,WR,Denver Broncos,DEN,1400,1400,3300,NO,Saints,ACT,3300,NO,Saints,New Orleans,New Orleans Saints,,,,,#FC4C02,AFC,10.0%,13,312,55,41,13,
105,36290,00-0036290,NFL,KME200895,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ysnui8mzlu2fo70ub0yt,Cole Kmet,Cole Kmet,TE,Chicago Bears,CHI,810,810,810,CHI,Bears,ACT,810,CHI,Bears,Chicago,Chicago Bears,,,,,#0B162A,NFC,10.5%,17,519,55,47,17,
106,39855,00-0039855,NFL,MCM472299,https://static.www.nfl.com/image/upload/{formatInstructions}/league/x2jipyhqclsgx4cmsqct,Jalen McMillan,Jalen McMillan,WR,Tampa Bay Buccaneers,TB,4900,4900,4900,TB,Buccaneers,RSR,4900,TB,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,,,,,#A71930,NFC,10.3%,13,388,58,37,13,
107,35229,00-0035229,NFL,HOC422041,https://static.www.nfl.com/image/upload/{formatInstructions}/league/rs8o65x0u0n9xzde0fd6,T.J. Hockenson,T.J. Hockenson,TE,Minnesota Vikings,MIN,3000,3000,3000,MIN,Vikings,ACT,3000,MIN,Vikings,Minnesota,Minnesota Vikings,,,,,#4F2683,NFC,12.0%,10,300,62,41,10,
108,33591,00-0033591,NFL,BRO567406,https://static.www.nfl.com/image/upload/{formatInstructions}/league/nv6ix0p8965yiugsuhwh,Noah Brown,Noah Brown,WR,Washington Commanders,WAS,5110,5110,5110,WAS,Commanders,ACT,5110,WAS,Commanders,Washington,Washington Commanders,,,,,#5A1414,NFC,11.1%,11,278,56,35,11,
109,34270,00-0034270,NFL,CON185250,https://static.www.nfl.com/image/upload/{formatInstructions}/league/knjuzxnzsfjxwcjxp5en,Tyler Conklin,Tyler Conklin,TE,New York Jets,NYJ,3430,3430,4400,LAC,Chargers,ACT,4400,LAC,Chargers,Los Angeles,Los Angeles Chargers,,,,,#115740,AFC,12.2%,16,498,72,51,16,
110,38933,00-0038933,NFL,KIN069130,https://static.www.nfl.com/image/upload/{formatInstructions}/league/zwkeaiecuyafkidllebz,Dalton Kincaid,Dalton Kincaid,TE,Buffalo Bills,BUF,610,610,610,BUF,Bills,ACT,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,15.2%,13,276,75,44,13,
111,36637,00-0036637,NFL,GRA757316,https://static.www.nfl.com/image/upload/{formatInstructions}/league/yugngcrdfxh0nwzl4zwp,Noah Gray,Noah Gray,TE,Kansas City Chiefs,KC,2310,2310,2310,KC,Chiefs,ACT,2310,KC,Chiefs,Kansas City,Kansas City Chiefs,,,,,#E31837,AFC,8.6%,17,313,49,40,17,
112,38542,00-0038542,NFL,ROB368260,https://static.www.nfl.com/image/upload/{formatInstructions}/league/rjaf9auhx3lrktzgwpfb,Bijan Robinson,Bijan Robinson,RB,Atlanta Falcons,ATL,200,200,200,ATL,Falcons,ACT,200,ATL,Falcons,Atlanta,Atlanta Falcons,,,,,#A71930,NFC,13.4%,17,386,72,61,17,
113,37801,00-0037801,NFL,TUR785436,https://static.www.nfl.com/image/upload/{formatInstructions}/league/cgjwzierootp8gjem5oe,KaVontae Turpin,KaVontae Turpin,WR,Dallas Cowboys,DAL,1200,1200,1200,DAL,Cowboys,ACT,1200,DAL,Cowboys,Dallas,Dallas Cowboys,,,,,#002244,NFC,8.4%,17,204,52,31,17,
114,38393,00-0038393,NFL,WIC622867,https://static.www.nfl.com/image/upload/{formatInstructions}/league/er7pbyq82nsbw1w3wyor,Dontayvion Wicks,Dontayvion Wicks,WR,Green Bay Packers,GB,1800,1800,1800,GB,Packers,ACT,1800,GB,Packers,Green Bay,Green Bay Packers,,,,,#203731,NFC,16.4%,17,291,76,39,17,
115,33553,00-0033553,NFL,CON461999,https://static.www.nfl.com/image/upload/{formatInstructions}/league/g5yjordcmt76j0saytzb,James Conner,James Conner,RB,Arizona Cardinals,ARI,3800,3800,3800,ARI,Cardinals,ACT,3800,ARI,Cardinals,Arizona,Arizona Cardinals,,,,,#97233F,NFC,10.5%,16,267,55,47,16,
115,37291,00-0037291,NFL,NAI067484,https://static.www.nfl.com/image/upload/{formatInstructions}/league/sdsx2pttiiwbfpyuuwiz,Jalen Nailor,Jalen Nailor,WR,Minnesota Vikings,MIN,3000,3000,3000,MIN,Vikings,ACT,3000,MIN,Vikings,Minnesota,Minnesota Vikings,,,,,#4F2683,NFC,8.1%,17,386,42,28,17,
117,34981,00-0034981,NFL,MOR096402,https://static.www.nfl.com/image/upload/{formatInstructions}/league/esc21tsccagvyy1ctaoc,Foster Moreau,Foster Moreau,TE,New Orleans Saints,NO,3300,3300,3300,NO,Saints,PUP,3300,NO,Saints,New Orleans,New Orleans Saints,,,,,#000000,NFC,8.3%,17,284,43,32,17,
118,34272,00-0034272,NFL,VAL142116,https://static.www.nfl.com/image/upload/{formatInstructions}/league/vvk5v3hfjw0tevqxrhnf,Marquez Valdes-Scantling,Marquez Valdes-Scantling,WR,New Orleans Saints,NO,3300,3300,4500,SF,49ers,DEV,4500,SF,49ers,San Francisco,San Francisco 49ers,,,,,#000000,NFC,8.9%,14,287,44,19,14,
118,38935,00-0038935,NFL,STR188631,https://static.www.nfl.com/image/upload/{formatInstructions}/league/yabpcvadjlrkxzducv7k,Brenton Strange,Brenton Strange,TE,Jacksonville Jaguars,JAX,2250,2250,2250,JAX,Jaguars,ACT,2250,JAX,Jaguars,Jacksonville,Jacksonville Jaguars,,,,,#000000,AFC,10.2%,17,274,53,40,17,
120,33293,00-0033293,NFL,JON026624,https://static.www.nfl.com/image/upload/{formatInstructions}/league/bktkfvgfwujkdbzkcfim,Aaron Jones,Aaron Jones,RB,Minnesota Vikings,MIN,3000,3000,3000,MIN,Vikings,ACT,3000,MIN,Vikings,Minnesota,Minnesota Vikings,,,,,#4F2683,NFC,12.0%,17,315,62,51,17,
121,37239,00-0037239,NFL,OLA659325,https://static.www.nfl.com/image/upload/{formatInstructions}/league/vrrmyvpvujynckag9jop,Chris Olave,Chris Olave,WR,New Orleans Saints,NO,3300,3300,3300,NO,Saints,ACT,3300,NO,Saints,New Orleans,New Orleans Saints,,,,,#000000,NFC,8.5%,8,186,44,32,8,
121,39916,00-0039916,NFL,PEA307677,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ko3lwlcfkxaykcspt4nw,Ricky Pearsall,Ricky Pearsall,WR,San Francisco 49ers,SF,4500,4500,4500,SF,49ers,ACT,4500,SF,49ers,San Francisco,San Francisco 49ers,,,,,#AA0000,NFC,9.0%,11,303,46,31,11,
123,33375,00-0033375,NFL,PAT283375,https://static.www.nfl.com/image/upload/{formatInstructions}/league/doa5m9s65hytcibrlg7w,Tim Patrick,Tim Patrick,WR,Detroit Lions,DET,1540,1540,2250,JAX,Jaguars,ACT,2250,JAX,Jaguars,Jacksonville,Jacksonville Jaguars,,,,,#0076B6,NFC,8.4%,16,342,44,33,16,
124,37256,00-0037256,NFL,WHI393110,https://static.www.nfl.com/image/upload/{formatInstructions}/league/sxugbms8ketvgmilnlu3,Rachaad White,Rachaad White,RB,Tampa Bay Buccaneers,TB,4900,4900,4900,TB,Buccaneers,ACT,4900,TB,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,,,,,#A71930,NFC,10.1%,16,296,57,51,16,
125,39361,00-0039361,NFL,IRV731762,https://static.www.nfl.com/image/upload/{formatInstructions}/league/hmgpumoxwhvrrkcjuuuw,Bucky Irving,Bucky Irving,RB,Tampa Bay Buccaneers,TB,4900,4900,4900,TB,Buccaneers,ACT,4900,TB,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,,,,,#A71930,NFC,9.2%,17,236,52,47,17,
126,34364,00-0034364,NFL,AKI501776,https://static.www.nfl.com/image/private/{formatInstructions}/league/fgkl9zfpy2yxrkxfge84,Jordan Akins,Jordan Akins,TE,Cleveland Browns,CLE,1050,1050,,,,NOR,1050,CLE,Browns,Cleveland,Cleveland Browns,,,,,#FF3C00,AFC,9.1%,17,314,58,40,17,
126,33009,00-0033009,NFL,BOY378353,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ttifog0hjxprlhkagugu,Tyler Boyd,Tyler Boyd,WR,Tennessee Titans,TEN,2100,2100,,,,NOR,2100,TEN,Titans,Tennessee,Tennessee Titans,,,,,#002244,AFC,11.2%,16,427,57,39,16,
126,38606,00-0038606,NFL,WAS604325,https://static.www.nfl.com/image/upload/{formatInstructions}/league/sqgxayp6nrrpvwonksdm,Parker Washington,Parker Washington,WR,Jacksonville Jaguars,JAX,2250,2250,2250,JAX,Jaguars,ACT,2250,JAX,Jaguars,Jacksonville,Jacksonville Jaguars,,,,,#000000,AFC,9.8%,17,383,51,32,17,
129,36275,00-0036275,NFL,SWI228476,https://static.www.nfl.com/image/upload/{formatInstructions}/league/owpmwzoilitcodc6cmxo,D'Andre Swift,D'Andre Swift,RB,Chicago Bears,CHI,810,810,810,CHI,Bears,ACT,810,CHI,Bears,Chicago,Chicago Bears,,,,,#0B162A,NFC,9.9%,17,351,52,42,17,
130,34975,00-0034975,NFL,HIL326301,https://static.www.nfl.com/image/upload/{formatInstructions}/league/h6p9crhra8ehxju3ubza,Justice Hill,Justice Hill,RB,Baltimore Ravens,BAL,325,325,325,BAL,Ravens,ACT,325,BAL,Ravens,Baltimore,Baltimore Ravens,,,,,#24135F,AFC,11.2%,15,232,51,42,15,
131,34775,00-0034775,NFL,KIR257918,https://static.www.nfl.com/image/upload/{formatInstructions}/league/bugikrmfz5k4jvyaogza,Christian Kirk,Christian Kirk,WR,Jacksonville Jaguars,JAX,2250,2250,2120,HOU,Texans,ACT,2120,HOU,Texans,Houston,Houston Texans,,,,,#000000,AFC,9.0%,8,219,47,27,8,
132,33555,00-0033555,NFL,HOL280459,https://static.www.nfl.com/image/upload/{formatInstructions}/league/qbz7whjzsittudcecezw,Mack Hollins,Mack Hollins,WR,Buffalo Bills,BUF,610,610,3200,NE,Patriots,ACT,3200,NE,Patriots,New England,New England Patriots,,,,,#00338D,AFC,10.1%,17,408,50,31,17,
133,35216,00-0035216,NFL,JOH000017,https://static.www.nfl.com/image/upload/{formatInstructions}/league/rjtil6ilydmwoy0btlt7,Diontae Johnson,Diontae Johnson,WR,Houston Texans,HOU,2120,2120,1050,CLE,Browns,CUT,1050,CLE,Browns,Cleveland,Cleveland Browns,,,,,#021018,AFC,13.5%,12,246,67,33,12,
134,36261,00-0036261,NFL,AIY189231,https://static.www.nfl.com/image/upload/{formatInstructions}/league/avzzxycxyculxxqce5k7,Brandon Aiyuk,Brandon Aiyuk,WR,San Francisco 49ers,SF,4500,4500,4500,SF,49ers,PUP,4500,SF,49ers,San Francisco,San Francisco 49ers,,,,,#AA0000,NFC,9.2%,7,213,47,25,7,
135,33699,00-0033699,NFL,EKE189430,https://static.www.nfl.com/image/upload/{formatInstructions}/league/sldndpn2zwt4uhkj2zks,Austin Ekeler,Austin Ekeler,RB,Washington Commanders,WAS,5110,5110,5110,WAS,Commanders,ACT,5110,WAS,Commanders,Washington,Washington Commanders,,,,,#5A1414,NFC,8.1%,12,215,41,35,12,
136,33881,00-0033881,NFL,ENG726325,https://static.www.nfl.com/image/upload/{formatInstructions}/league/vsrjso6phkjqki88qw9y,Evan Engram,Evan Engram,TE,Jacksonville Jaguars,JAX,2250,2250,1400,DEN,Broncos,ACT,1400,DEN,Broncos,Denver,Denver Broncos,,,,,#000000,AFC,12.3%,9,241,64,47,9,
137,38597,00-0038597,NFL,BRO340581,https://static.www.nfl.com/image/upload/{formatInstructions}/league/pv3sq3uzosixxexbznq5,Chase Brown,Chase Brown,RB,Cincinnati Bengals,CIN,920,920,920,CIN,Bengals,ACT,920,CIN,Bengals,Cincinnati,Cincinnati Bengals,,,,,#FB4F14,AFC,10.4%,16,338,65,54,16,
138,33589,00-0033589,NFL,MOO249444,https://static.www.nfl.com/image/upload/{formatInstructions}/league/k2szy47lyxy9u5om7vd1,David Moore,David Moore,WR,Carolina Panthers,CAR,750,750,750,CAR,Panthers,ACT,750,CAR,Panthers,Carolina,Carolina Panthers,,,,,#0085CF,NFC,11.0%,17,336,57,32,17,
139,37545,00-0037545,NFL,SHA089447,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ezsjaj0orlzpuranocyf,Rashid Shaheed,Rashid Shaheed,WR,New Orleans Saints,NO,3300,3300,3300,NO,Saints,ACT,3300,NO,Saints,New Orleans,New Orleans Saints,,,,,#000000,NFC,7.9%,6,169,41,20,6,
140,36997,00-0036997,NFL,WIL351486,https://static.www.nfl.com/image/upload/{formatInstructions}/league/hwzske22c4wrlf27qrih,Javonte Williams,Javonte Williams,RB,Denver Broncos,DEN,1400,1400,1200,DAL,Cowboys,ACT,1200,DAL,Cowboys,Dallas,Dallas Cowboys,,,,,#FC4C02,AFC,12.8%,17,284,70,52,17,
141,35700,00-0035700,NFL,JAC734615,https://static.www.nfl.com/image/upload/{formatInstructions}/league/drtobqw2mk7yw3edjgwo,Josh Jacobs,Josh Jacobs,RB,Green Bay Packers,GB,1800,1800,1800,GB,Packers,ACT,1800,GB,Packers,Green Bay,Green Bay Packers,,,,,#203731,NFC,9.3%,17,248,43,36,17,
141,35500,00-0035500,NFL,DOR793727,https://static.www.nfl.com/image/upload/{formatInstructions}/league/jt4lbkjxkkrw3f644sft,Greg Dortch,Greg Dortch,WR,Arizona Cardinals,ARI,3800,3800,3800,ARI,Cardinals,ACT,3800,ARI,Cardinals,Arizona,Arizona Cardinals,,,,,#97233F,NFC,9.6%,17,287,50,37,17,
141,39356,00-0039356,NFL,SAN343203,https://static.www.nfl.com/image/upload/{formatInstructions}/league/le2akm1cbou170ioctxl,Ja'Tavion Sanders,Ja'Tavion Sanders,TE,Carolina Panthers,CAR,750,750,750,CAR,Panthers,ACT,750,CAR,Panthers,Carolina,Carolina Panthers,,,,,#0085CF,NFC,8.3%,16,312,43,33,16,
144,35685,00-0035685,NFL,MON487374,https://static.www.nfl.com/image/upload/{formatInstructions}/league/xeb6fq4zimgkksq7uari,David Montgomery,David Montgomery,RB,Detroit Lions,DET,1540,1540,1540,DET,Lions,ACT,1540,DET,Lions,Detroit,Detroit Lions,,,,,#0076B6,NFC,7.3%,14,151,38,36,14,
145,39165,00-0039165,NFL,CHA548773,https://static.www.nfl.com/image/upload/{formatInstructions}/league/nv13kumh10guutbts6jx,Zach Charbonnet,Zach Charbonnet,RB,Seattle Seahawks,SEA,4600,4600,4600,SEA,Seahawks,ACT,4600,SEA,Seahawks,Seattle,Seattle Seahawks,,,,,#002244,NFC,9.1%,17,284,52,42,17,
146,38979,00-0038979,NFL,TIL377067,https://static.www.nfl.com/image/upload/{formatInstructions}/league/fp371fgk45btt01uvucq,Cedric Tillman,Cedric Tillman,WR,Cleveland Browns,CLE,1050,1050,1050,CLE,Browns,ACT,1050,CLE,Browns,Cleveland,Cleveland Browns,,,,,#FF3C00,AFC,7.7%,11,277,49,29,11,
147,32385,00-0032385,NFL,SHE495754,https://static.www.nfl.com/image/upload/{formatInstructions}/league/l47czwi8aaznnit0se5h,Sterling Shepard,Sterling Shepard,WR,Tampa Bay Buccaneers,TB,4900,4900,4900,TB,Buccaneers,ACT,4900,TB,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,,,,,#A71930,NFC,9.1%,14,346,51,32,14,
148,39847,00-0039847,NFL,JOH679524,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gljwzcxubvoqjxwnakze,Theo Johnson,Theo Johnson,TE,New York Giants,NYG,3410,3410,3410,NYG,Giants,ACT,3410,NYG,Giants,New York,New York Giants,,,,,#0B2265,NFC,7.8%,12,363,43,29,12,
