Rank,playerId,gsisPlayerId,league,playerImageId,headshotUrl,player,playerFullName,position,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamImageId,currentNFLTeamId,currentNFLTeamAbbrev,currentNFLTeamName,currentNFLStatus,lastNFLTeamId,lastNFLTeamAbbrev,lastNFLTeamName,lastNFLTeamLocation,lastNFLTeamFullName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,TeamTgt%,G,Routes,Tar,Rec,G,null
17,35676,00-0035676,NFL,BRO413223,https://static.www.nfl.com/image/private/{formatInstructions}/league/a014sgzctarbvhwb35lw,A.J. Brown,A.J. Brown,WR,Philadelphia Eagles,PHI,3700,3700,3700,PHI,Eagles,ACT,3700,PHI,Eagles,Philadelphia,Philadelphia Eagles,,,,,#004851,NFC,23.2%,13,355,97,67,13,
18,31381,00-0031381,NFL,ADA218591,https://static.www.nfl.com/image/upload/{formatInstructions}/league/qtonvcqpixixqhc6lhnc,Davante Adams,Davante Adams,WR,New York Jets,NYJ,3430,3430,2510,LAR,Rams,ACT,2510,LAR,Rams,Los Angeles,Los Angeles Rams,,,,,#115740,AFC,24.5%,14,519,141,85,14,
19,39064,00-0039064,NFL,FLO577002,https://static.www.nfl.com/image/upload/{formatInstructions}/league/sqqh8gmxdpo55qwpsszj,Zay Flowers,Zay Flowers,WR,Baltimore Ravens,BAL,325,325,325,BAL,Ravens,ACT,325,BAL,Ravens,Baltimore,Baltimore Ravens,,,,,#24135F,AFC,25.4%,17,466,116,74,17,
20,34960,00-0034960,NFL,MEY171606,https://static.www.nfl.com/image/upload/{formatInstructions}/league/lvtrni5hwbcslky9t1rz,Jakobi Meyers,Jakobi Meyers,WR,Las Vegas Raiders,LV,2520,2520,2520,LV,Raiders,ACT,2520,LV,Raiders,Las Vegas,Las Vegas Raiders,,,,,#000000,AFC,21.8%,15,583,129,87,15,
21,34837,00-0034837,NFL,RID652384,https://static.www.nfl.com/image/upload/{formatInstructions}/league/l96rlegwqz7qfakbdtlp,Calvin Ridley,Calvin Ridley,WR,Tennessee Titans,TEN,2100,2100,2100,TEN,Titans,ACT,2100,TEN,Titans,Tennessee,Tennessee Titans,,,,,#002244,AFC,23.7%,17,542,120,64,17,
22,36554,00-0036554,NFL,COL654119,https://static.www.nfl.com/image/upload/{formatInstructions}/league/osmqyvmib3pssxi6cyic,Nico Collins,Nico Collins,WR,Houston Texans,HOU,2120,2120,2120,HOU,Texans,ACT,2120,HOU,Texans,Houston,Houston Texans,,,,,#021018,AFC,18.1%,12,350,99,68,12,
23,31408,00-0031408,NFL,EVA534309,https://static.www.nfl.com/image/upload/{formatInstructions}/league/yaxorbdsvk1ucfuiyrkj,Mike Evans,Mike Evans,WR,Tampa Bay Buccaneers,TB,4900,4900,4900,TB,Buccaneers,ACT,4900,TB,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,,,,,#A71930,NFC,19.5%,14,413,110,74,14,
24,37240,00-0037240,NFL,WIL344909,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gpjarmglg1jhwq5wr1uu,Jameson Williams,Jameson Williams,WR,Detroit Lions,DET,1540,1540,1540,DET,Lions,ACT,1540,DET,Lions,Detroit,Detroit Lions,,,,,#0076B6,NFC,17.4%,15,475,91,58,15,
25,36309,00-0036309,NFL,MOO076900,https://static.www.nfl.com/image/upload/{formatInstructions}/league/eaejonwaflt9drrs9ika,Darnell Mooney,Darnell Mooney,WR,Atlanta Falcons,ATL,200,200,200,ATL,Falcons,ACT,200,ATL,Falcons,Atlanta,Atlanta Falcons,,,,,#A71930,NFC,19.7%,16,524,106,64,16,
25,35640,00-0035640,NFL,MET363377,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ezpzdcvzlu5ga4uv6oas,DK Metcalf,DK Metcalf,WR,Seattle Seahawks,SEA,4600,4600,3900,PIT,Steelers,ACT,3900,PIT,Steelers,Pittsburgh,Pittsburgh Steelers,,,,,#002244,NFC,19.0%,15,549,108,66,15,
