Composite_rank,Team,Team Name,Composite,FPI,nfelo,GPF,unexpected_points,dvoa,PFF,pg,FPI_rank,nfelo_rank,GPF_rank,unexpected_points_rank,dvoa_rank,pff_rank,pg_rank,Std Dev,week
1,LA,Los Angeles Rams,7.3,6,7,6.7,7.6,9.3,6.9,7.5,2,1,1,1,1,1,1,1,13
2,KC,Kansas City Chiefs,5.9,7.2,5,5.7,5.3,5.7,6.6,5.8,1,4,3,2,5,2,2,0.8,13
3,DET,Detroit Lions,5.4,4.9,5.2,5.6,4.8,6.8,5.2,5.4,3,2,4,5,3,5,4,0.7,13
4,SEA,Seattle Seahawks,5.3,3.7,4.2,5.7,5.1,8.5,4.3,5.8,8,5,2,3,2,7,3,1.6,13
5,GB,Green Bay Packers,4.9,4.8,3.8,4.7,5.1,4.7,6.1,4.4,4,7,6,4,6,3,8,0.7,13
6,PHI,Philadelphia Eagles,4.3,4.3,5,4.3,4.6,3.7,3.8,4.5,6,3,7,6,8,10,7,0.5,13
7,BUF,Buffalo Bills,4.1,3.3,3.9,4.8,4.4,3.7,4.6,4.9,9,6,5,7,7,6,5,0.6,13
8,BAL,Baltimore Ravens,4,4.1,3.4,2.7,4.1,3.6,5.8,4,7,8,9,8,9,4,9,1,13
9,IND,Indianapolis Colts,3.9,4.8,2.6,3.7,4,6.8,1.6,4.9,5,9,8,9,4,13,6,1.7,13
10,DEN,Denver Broncos,2.7,2.5,2.3,1.7,2.3,3.4,4,2.6,11,10,12,12,10,9,10,0.8,13
11,SF,San Francisco 49ers,2.4,3,1.4,2.1,3.1,2.1,2.8,2.1,10,13,11,11,12,11,12,0.6,13
12,HOU,Houston Texans,1.7,0.3,1.4,1,1.1,2.2,4.1,2.2,15,12,14,15,11,8,11,1.2,13
13,NE,New England Patriots,1.5,0.5,2.2,1.5,3.8,-0.1,1.4,2,14,11,13,10,15,14,13,1.3,13
14,LAC,Los Angeles Chargers,1,1.1,0.2,2.4,0.9,-0.6,1.7,1.4,12,16,10,16,17,12,14,1,13
15,JAX,Jacksonville Jaguars,0.4,0.1,-1,0.9,1.5,0.6,0.6,1.1,16,19,15,13,13,16,15,0.8,13
16,DAL,Dallas Cowboys,0.3,0.7,0.5,0.1,1.3,-0.5,-0.4,1.1,13,14,16,14,16,18,16,0.7,13
17,PIT,Pittsburgh Steelers,-0,-0.6,0.3,-0.1,-1,0.5,0.8,-0.1,19,15,17,18,14,15,17,0.6,13
18,CHI,Chicago Bears,-0.6,-1.3,-0.2,-1.5,0.7,-1.4,0.3,-1.4,20,17,19,17,19,17,19,0.9,13
19,TB,Tampa Bay Buccaneers,-1.4,0,-2.2,-0.2,-1.2,-3.6,-1.4,-1.5,17,20,18,19,23,20,20,1.2,13
20,CIN,Cincinnati Bengals,-2.7,-1.4,-3.2,-4.5,-5,-0.9,-1.1,-1,21,22,23,29,18,19,18,1.8,13
21,ARI,Arizona Cardinals,-2.7,-3.4,-4.5,-2,-1.3,-1.7,-3.4,-2.6,25,28,20,20,21,24,22,1.1,13
22,MIN,Minnesota Vikings,-2.9,-3.5,-2.7,-2.1,-2.9,-4.4,-1.9,-2.1,26,21,21,24,26,21,21,0.9,13
23,NYG,New York Giants,-3,-0.4,-3.7,-4.6,-2.8,-1.5,-4.7,-4.3,18,23,24,23,20,27,25,1.7,13
24,MIA,Miami Dolphins,-3,-3.2,-3.7,-3.2,-2.8,-2.7,-2.1,-3.2,24,24,22,22,22,22,23,0.5,13
25,ATL,Atlanta Falcons,-3.1,-3.1,-0.6,-5.5,-1.9,-4.3,-2.9,-4.2,23,18,27,21,25,23,24,1.6,13
26,WAS,Washington Commanders,-4.2,-2.4,-4.2,-6.6,-4.7,-3.7,-3.6,-5.9,22,26,29,28,24,25,28,1.4,13
27,CAR,Carolina Panthers,-4.5,-4.4,-4.5,-4.7,-3.8,-5.6,-3.8,-4.4,27,27,25,25,28,26,26,0.6,13
28,CLE,Cleveland Browns,-6,-9.5,-4.1,-5.4,-4.2,-7.2,-5.5,-5.4,32,25,26,27,30,29,27,1.9,13
29,LV,Las Vegas Raiders,-6.4,-6.2,-6.4,-5.7,-7.7,-7.3,-5.2,-6.5,28,30,28,30,31,28,29,0.9,13
30,NO,New Orleans Saints,-7.1,-8.1,-7.3,-7.1,-3.9,-6.8,-9.1,-7.3,30,31,30,26,29,32,30,1.6,13
31,NYJ,New York Jets,-7.2,-7.3,-5.7,-9.2,-8.4,-4.9,-7.4,-8,29,29,32,32,27,30,32,1.5,13
32,TEN,Tennessee Titans,-8.2,-8.7,-7.9,-7.3,-8.3,-8,-9,-7.3,31,32,31,31,32,31,31,0.6,13
