round,pick_num,team,team_abbr
1,1,Titans,TEN
2,52,Titans,TEN
3,82,Titans,TEN
4,103,Titans,TEN
4,120,Titans,TEN
4,136,Titans,TEN
5,167,Titans,TEN
6,183,Titans,TEN
6,188,Titans,TEN
1,5,Browns,CLE
2,33,Browns,CLE
2,36,Browns,CLE
3,67,Browns,CLE
3,94,Browns,CLE
4,126,Browns,CLE
5,144,Browns,CLE
1,3,Giants,NYG
1,25,Giants,NYG
3,65,Giants,NYG
4,105,Giants,NYG
5,154,Giants,NYG
7,219,Giants,NYG
7,246,Giants,NYG
1,4,Patriots,NE
2,38,Patriots,NE
3,69,Patriots,NE
3,95,Patriots,NE
4,106,Patriots,NE
4,137,Patriots,NE
5,146,Patriots,NE
6,182,Patriots,NE
7,220,Patriots,NE
7,251,Patriots,NE
7,257,Patriots,NE
1,2,Jaguars,JAX
3,88,Jaguars,JAX
3,89,Jaguars,JAX
4,104,Jaguars,JAX
4,107,Jaguars,JAX
6,194,Jaguars,JAX
6,200,Jaguars,JAX
7,221,Jaguars,JAX
7,236,Jaguars,JAX
1,6,Raiders,LV
2,58,Raiders,LV
3,68,Raiders,LV
3,98,Raiders,LV
3,99,Raiders,LV
4,108,Raiders,LV
4,135,Raiders,LV
6,180,Raiders,LV
6,213,Raiders,LV
6,215,Raiders,LV
7,222,Raiders,LV
1,7,Jets,NYJ
2,42,Jets,NYJ
3,73,Jets,NYJ
4,110,Jets,NYJ
4,130,Jets,NYJ
5,162,Jets,NYJ
5,176,Jets,NYJ
1,8,Panthers,CAR
2,51,Panthers,CAR
3,77,Panthers,CAR
4,114,Panthers,CAR
4,122,Panthers,CAR
5,140,Panthers,CAR
5,163,Panthers,CAR
6,208,Panthers,CAR
1,9,Saints,NO
2,40,Saints,NO
3,71,Saints,NO
3,93,Saints,NO
4,112,Saints,NO
4,131,Saints,NO
6,184,Saints,NO
7,248,Saints,NO
7,254,Saints,NO
1,10,Bears,CHI
2,39,Bears,CHI
2,56,Bears,CHI
2,62,Bears,CHI
4,132,Bears,CHI
5,169,Bears,CHI
6,195,Bears,CHI
7,233,Bears,CHI
1,11,49ers,SF
2,43,49ers,SF
3,75,49ers,SF
3,100,49ers,SF
4,113,49ers,SF
4,138,49ers,SF
5,147,49ers,SF
5,160,49ers,SF
7,227,49ers,SF
7,249,49ers,SF
7,252,49ers,SF
1,12,Cowboys,DAL
2,44,Cowboys,DAL
3,76,Cowboys,DAL
5,149,Cowboys,DAL
5,152,Cowboys,DAL
6,204,Cowboys,DAL
7,217,Cowboys,DAL
7,239,Cowboys,DAL
7,247,Cowboys,DAL
1,13,Dolphins,MIA
2,37,Dolphins,MIA
5,143,Dolphins,MIA
5,150,Dolphins,MIA
5,155,Dolphins,MIA
6,179,Dolphins,MIA
7,231,Dolphins,MIA
7,253,Dolphins,MIA
1,14,Colts,IND
2,45,Colts,IND
3,80,Colts,IND
4,127,Colts,IND
5,151,Colts,IND
6,189,Colts,IND
6,190,Colts,IND
7,232,Colts,IND
1,15,Falcons,ATL
1,26,Falcons,ATL
3,96,Falcons,ATL
4,118,Falcons,ATL
7,218,Falcons,ATL
1,16,Cardinals,ARI
2,47,Cardinals,ARI
3,78,Cardinals,ARI
4,115,Cardinals,ARI
5,174,Cardinals,ARI
6,211,Cardinals,ARI
7,225,Cardinals,ARI
1,17,Bengals,CIN
2,49,Bengals,CIN
3,81,Bengals,CIN
4,119,Bengals,CIN
5,153,Bengals,CIN
6,193,Bengals,CIN
1,18,Seahawks,SEA
2,35,Seahawks,SEA
2,50,Seahawks,SEA
3,92,Seahawks,SEA
5,142,Seahawks,SEA
5,166,Seahawks,SEA
5,175,Seahawks,SEA
6,192,Seahawks,SEA
7,223,Seahawks,SEA
7,234,Seahawks,SEA
7,238,Seahawks,SEA
1,19,Buccaneers,TB
2,53,Buccaneers,TB
3,84,Buccaneers,TB
4,121,Buccaneers,TB
5,157,Buccaneers,TB
7,235,Buccaneers,TB
1,20,Broncos,DEN
2,60,Broncos,DEN
3,74,Broncos,DEN
3,101,Broncos,DEN
4,134,Broncos,DEN
6,216,Broncos,DEN
7,241,Broncos,DEN
1,21,Steelers,PIT
3,83,Steelers,PIT
4,123,Steelers,PIT
5,164,Steelers,PIT
6,185,Steelers,PIT
7,226,Steelers,PIT
7,229,Steelers,PIT
1,22,Chargers,LAC
2,55,Chargers,LAC
3,86,Chargers,LAC
4,125,Chargers,LAC
5,158,Chargers,LAC
5,165,Chargers,LAC
6,199,Chargers,LAC
6,214,Chargers,LAC
7,256,Chargers,LAC
1,23,Packers,GB
2,54,Packers,GB
3,87,Packers,GB
4,124,Packers,GB
5,159,Packers,GB
6,198,Packers,GB
7,237,Packers,GB
7,250,Packers,GB
1,24,Vikings,MIN
3,102,Vikings,MIN
5,139,Vikings,MIN
6,201,Vikings,MIN
6,202,Vikings,MIN
2,34,Texans,HOU
2,48,Texans,HOU
3,79,Texans,HOU
3,97,Texans,HOU
4,116,Texans,HOU
6,187,Texans,HOU
6,197,Texans,HOU
7,224,Texans,HOU
7,255,Texans,HOU
2,46,Rams,LAR
3,90,Rams,LAR
4,117,Rams,LAR
5,148,Rams,LAR
5,172,Rams,LAR
7,242,Rams,LAR
1,27,Ravens,BAL
2,59,Ravens,BAL
3,91,Ravens,BAL
4,129,Ravens,BAL
5,141,Ravens,BAL
6,178,Ravens,BAL
6,186,Ravens,BAL
6,203,Ravens,BAL
6,210,Ravens,BAL
6,212,Ravens,BAL
7,243,Ravens,BAL
1,28,Lions,DET
2,57,Lions,DET
3,70,Lions,DET
5,171,Lions,DET
6,196,Lions,DET
7,230,Lions,DET
7,244,Lions,DET
1,29,Commanders,WAS
2,61,Commanders,WAS
4,128,Commanders,WAS
6,205,Commanders,WAS
7,245,Commanders,WAS
1,30,Bills,BUF
2,41,Bills,BUF
3,72,Bills,BUF
4,109,Bills,BUF
5,170,Bills,BUF
5,173,Bills,BUF
6,177,Bills,BUF
6,206,Bills,BUF
7,240,Bills,BUF
1,32,Chiefs,KC
2,63,Chiefs,KC
3,66,Chiefs,KC
3,85,Chiefs,KC
4,133,Chiefs,KC
5,156,Chiefs,KC
7,228,Chiefs,KC
1,31,Eagles,PHI
2,64,Eagles,PHI
4,111,Eagles,PHI
5,145,Eagles,PHI
5,161,Eagles,PHI
5,168,Eagles,PHI
6,181,Eagles,PHI
6,191,Eagles,PHI
6,207,Eagles,PHI
6,209,Eagles,PHI
