home_team,away_team,game_id,season,week,spread_line,home_Composite_rank,home_Composite,home_FPI,home_nfelo,home_GPF,home_unexpected_points,home_dvoa,home_PFF,home_FPI_rank,home_nfelo_rank,home_GPF_rank,home_unexpected_points_rank,home_dvoa_rank,home_pff_rank,away_Composite_rank,away_Composite,away_FPI,away_nfelo,away_GPF,away_unexpected_points,away_dvoa,away_PFF,away_FPI_rank,away_nfelo_rank,away_GPF_rank,away_unexpected_points_rank,away_dvoa_rank,away_pff_rank,rtg_diff_Composite,spread_diff_Composite,rtg_diff_FPI,rtg_diff_nfelo,rtg_diff_GPF,rtg_diff_unexpected_points,rtg_diff_dvoa,rtg_diff_PFF,bet_team_FPI,bet_team_nfelo,bet_team_GPF,bet_team_unexpected_points,bet_team_dvoa,bet_team_PFF,bet_team_Composite
MIA,BAL,2025_09_BAL_MIA,2025,9,+7.5,25,-3.8,-3.3,-3.2,-4.7,-3.6,-3.9,-3.9,24,25,26,25,26,27,8,3.5,3.3,3.5,4.1,1.4,4.2,4.5,8,7,7,14,8,6,+5.8,1.7000000000000002,5.1,5.2,7.300000000000001,3.5,6.6,6.9,MIA,MIA,MIA,MIA,MIA,MIA,MIA
CIN,CHI,2025_09_CHI_CIN,2025,9,+2.5,26,-3.8,-5,-2.8,-5,-5,-0.8,-4.2,27,24,28,27,21,28,20,-1,-2,-1.3,-1.2,1,-2,-0.8,22,20,20,16,23,20,+1.3,1.2000000000000002,1.5,-2.220446049250313e-16,2.3,4.5,-2.7,1.9000000000000004,CIN,CIN,CIN,CHI,CIN,CIN,CIN
DET,MIN,2025_09_MIN_DET,2025,9,-8.5,2,6.3,5.5,5.9,6.1,6.8,8.2,5.6,2,2,2,2,1,3,22,-1.7,-3.2,-0.7,-0.6,-2.4,-3.6,0.2,23,18,18,22,25,15,-9.5,1,-10.2,-8.100000000000001,-8.2,-10.7,-13.299999999999999,-6.8999999999999995,DET,MIN,MIN,DET,DET,MIN,DET
GB,CAR,2025_09_CAR_GB,2025,9,-13.5,4,5.4,5.3,5,5.4,6.6,4.3,5.8,3,4,3,4,7,2,27,-4.8,-4.4,-3.8,-5.8,-7,-5.3,-2.7,26,27,29,29,28,24,-11.7,-1.8000000000000007,-11.2,-10.3,-12.7,-15.1,-11.1,-10,CAR,CAR,CAR,GB,CAR,CAR,CAR
HOU,DEN,2025_09_DEN_HOU,2025,9,-1.5,12,2,1.4,3.5,1.9,1,2.1,2.3,12,8,12,15,11,10,10,2.8,3.1,2.8,2.1,3,3,3,9,11,11,9,10,8,-0.7,-0.7999999999999998,0.20000000000000018,-2.2,-1.2999999999999998,0.5,-0.6000000000000001,-0.7999999999999998,DEN,HOU,DEN,DEN,DEN,DEN,DEN
NE,ATL,2025_09_ATL_NE,2025,9,-6,14,0.9,0.4,1.2,1,2.6,0.3,0,17,13,14,10,15,16,23,-1.9,-3.7,-1.6,-2.4,-1.1,-0.9,-1.8,25,22,23,19,22,23,-4.3,-1.7000000000000002,-5.6000000000000005,-4.3,-4.9,-5.2,-2.7,-3.3,ATL,ATL,ATL,ATL,ATL,ATL,ATL
NYG,SF,2025_09_SF_NYG,2025,9,+2.5,24,-2.5,0.5,-3.7,-3.3,-2.5,-2.5,-3.6,16,26,24,23,24,25,16,0.1,-0.3,-0.4,0.5,0.9,-0.2,-0,19,17,15,17,19,17,+1.1,1.4,-2.3,1.8000000000000003,2.3,1.9,0.7999999999999998,2.1,NYG,NYG,NYG,NYG,NYG,NYG,NYG
PIT,IND,2025_09_IND_PIT,2025,9,+3,17,-0.1,-0.1,0.4,0.1,-1.5,0.8,-0.1,18,15,16,20,13,18,6,4.8,5,3.4,4.4,6.5,7.1,2.2,4,10,5,5,3,12,+3.4,-0.39999999999999947,3.5999999999999996,1.5,2.8000000000000007,6.5,4.8,0.8000000000000003,IND,PIT,PIT,IND,IND,PIT,IND
TEN,LAC,2025_09_LAC_TEN,2025,9,+9.5,32,-9,-9,-9.2,-8.3,-10.2,-8.8,-8.2,30,32,32,32,32,31,11,2,2.6,2,3,1.8,0.3,2.5,10,12,9,12,14,9,+9.5,0,10.1,9.7,9.8,10.5,7.600000000000001,9.2,LAC,LAC,LAC,LAC,TEN,TEN,TEN
LA,NO,2025_09_NO_LA,2025,9,-14,3,5.5,4.4,5.6,5.3,6,6.1,5.4,6,3,4,6,4,5,31,-7.7,-10.4,-6.6,-6.3,-5.4,-7,-10.6,32,31,31,28,31,32,-14.7,0.6999999999999993,-16.3,-13.7,-13.1,-12.9,-14.6,-17.5,LA,NO,NO,NO,LA,LA,LA
