Composite_rank,Team,Team Name,Composite,FPI,nfelo,GPF,unexpected_points,dvoa,PFF,FPI_rank,nfelo_rank,GPF_rank,unexpected_points_rank,dvoa_rank,pff_rank,Std Dev,week
1,DET,Detroit Lions,6,5.7,6.2,4.5,6.1,7.7,5.6,2,1,5,2,1,2,1,6
2,BUF,Buffalo Bills,5.2,4.2,4.8,4.7,6.1,5.4,6.2,5,2,4,1,2,1,0.8,6
3,KC,Kansas City Chiefs,5,6.1,3.9,4.9,4.8,5.3,5.1,1,5,3,3,3,4,0.7,6
4,GB,Green Bay Packers,4.5,4.6,4,5.7,4.6,3.2,5,3,4,1,5,8,5,0.9,6
5,PHI,Philadelphia Eagles,4.3,4.3,4.6,5,3.3,3.4,5.4,4,3,2,7,7,3,0.8,6
6,LA,Los Angeles Rams,4,3,3,4.4,4.6,5.1,3.8,7,6,6,4,4,6,0.9,6
7,WAS,Washington Commanders,3.1,3.5,2.2,1.9,3.1,4.9,3.2,6,8,10,8,5,7,1.1,6
8,DEN,Denver Broncos,2.4,2.9,2.9,2.3,2.1,2.3,2.1,8,7,8,12,9,8,0.4,6
9,IND,Indianapolis Colts,2.1,2.8,1.1,2.6,3.8,1.8,0.7,9,12,7,6,10,15,1.2,6
10,SEA,Seattle Seahawks,2,1.4,1.6,1.7,2.1,4.2,0.9,13,9,11,11,6,13,1.2,6
11,TB,Tampa Bay Buccaneers,1.5,1.4,1.3,1.4,2.4,0.8,1.6,14,10,13,9,15,11,0.5,6
12,HOU,Houston Texans,1.3,1.8,0.1,1.5,1.2,1.5,1.7,11,16,12,16,11,9,0.6,6
13,LAC,Los Angeles Chargers,1.2,1.6,0.7,2,1.2,0,1.7,12,13,9,17,16,10,0.7,6
14,SF,San Francisco 49ers,1.1,2.3,-0.1,0.5,2.2,1.2,0.4,10,18,15,10,12,16,1,6
15,JAX,Jacksonville Jaguars,0.5,-0,0.3,0.9,-0.1,0.9,0.8,17,14,14,19,14,14,0.5,6
16,MIN,Minnesota Vikings,0.2,-1.1,1.1,-0.4,0.9,-1,1.6,19,11,17,18,19,12,1.2,6
17,DAL,Dallas Cowboys,0,1.3,0.1,-1.8,1.4,0.9,-1.7,15,17,22,15,13,20,1.5,6
18,PIT,Pittsburgh Steelers,-0.3,0.2,0.2,-0.1,-2,-0.4,0.2,16,15,16,22,17,17,0.9,6
19,NE,New England Patriots,-0.5,-0.2,-1.3,-0.6,2,-1.1,-1.9,18,21,18,13,20,21,1.4,6
20,ATL,Atlanta Falcons,-0.7,-2,-0.4,-1.6,1.8,-1.2,-0.5,23,19,20,14,21,18,1.4,6
21,CHI,Chicago Bears,-1.2,-1.4,-1,-1.4,-1.1,-1.4,-1.1,20,20,19,21,22,19,0.2,6
22,ARI,Arizona Cardinals,-1.4,-1.7,-1.8,-1.7,-0.6,-0.9,-1.9,22,22,21,20,18,22,0.5,6
23,BAL,Baltimore Ravens,-3,-1.6,-1.9,-4.6,-3.8,-2,-4,21,23,27,26,23,25,1.3,6
24,MIA,Miami Dolphins,-3.6,-3.6,-2.4,-4.3,-3.8,-3.4,-4.1,24,24,26,25,24,26,0.7,6
25,LV,Las Vegas Raiders,-4.2,-3.9,-4.2,-4.1,-5.9,-3.8,-3.6,26,27,24,29,25,24,0.8,6
26,CLE,Cleveland Browns,-4.7,-3.7,-6.5,-4.1,-3,-4.8,-6.2,25,30,23,23,28,30,1.4,6
27,NYJ,New York Jets,-5.1,-5.6,-2.8,-5.1,-6.5,-4.6,-6,28,25,28,30,27,29,1.3,6
28,CAR,Carolina Panthers,-5.2,-4.6,-5.4,-6.4,-4.8,-6.3,-3.4,27,28,31,28,30,23,1.1,6
29,NYG,New York Giants,-5.3,-7,-7,-4.1,-4.3,-4.3,-5.1,30,31,25,27,26,28,1.4,6
30,NO,New Orleans Saints,-5.6,-6.3,-5.5,-5.5,-3.6,-5.2,-7.5,29,29,29,24,29,32,1.3,6
31,CIN,Cincinnati Bengals,-6,-7.1,-3.9,-6.3,-7,-7.2,-4.7,31,26,30,31,31,27,1.4,6
32,TEN,Tennessee Titans,-7.4,-8.2,-7.3,-7.2,-7.3,-7.5,-6.7,32,32,32,32,32,31,0.5,6
