player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Caleb Williams,144622,QB,CHI,1,71.7,46,52,11.2,2.64,1,2,3.5,63.5,33,0,13,0.0,56,0,18,6,81.7,57.4,57.7,57.8,1,2,61,0,30.8,80.8,7.1,4,0,1,3,2,1,1.6,363,7.0
Dak Prescott,10769,QB,DAL,1,60.9,46,51,10.4,2.67,1,3,5.1,52.9,27,0,14,3.6,55,1,18,9,32.1,65.8,65.1,60.3,2,0,64,0,21.4,90.2,5.5,3,1,0,2,2,3,4.7,379,7.4
Patrick Mahomes,11765,QB,KC,1,75.0,36,39,5.9,2.46,0,1,2.6,66.7,26,0,9,3.7,44,1,14,16,80.2,61.1,56.4,74.2,0,1,44,0,0.0,87.2,0.0,0,3,0,3,2,2,4.5,217,5.6
Jalen Hurts,40291,QB,PHI,1,88.6,35,38,6.9,3.2,0,1,2.6,76.3,29,0,18,6.5,45,2,12,24,32.8,71.8,70.2,65.0,0,1,46,0,22.2,88.8,8.9,4,3,0,3,0,2,4.3,311,8.2
Joe Burrow,28022,QB,CIN,1,78.9,38,38,7.6,2.67,0,2,5.0,76.3,29,0,12,3.3,41,1,19,7,79.5,78.3,76.0,62.6,0,0,43,0,16.7,127.5,4.9,2,1,0,0,3,0,0.0,324,8.5
Trevor Lawrence,77632,QB,JAX,1,66.7,36,38,8.9,2.82,0,1,2.6,55.3,21,0,19,12.5,43,3,9,15,79.7,51.1,51.6,57.4,0,1,43,0,21.1,65.5,9.3,4,1,0,2,1,2,4.7,178,4.7
Andy Dalton,6187,QB,CAR,1,79.4,34,37,6.6,2.01,2,2,5.0,70.3,26,0,7,3.7,39,1,15,5,79.9,78.8,75.3,69.5,0,0,43,0,28.6,123.6,5.1,2,0,0,1,3,2,4.7,319,8.6
Deshaun Watson,11767,QB,CLV,1,71.9,32,37,7.4,2.69,0,2,5.1,56.8,21,0,21,8.7,47,2,9,8,47.5,51.5,45.6,79.3,2,0,51,1,38.1,89.5,17.0,8,2,0,3,2,1,2.0,196,5.3
Bo Nix,97790,QB,DEN,1,78.1,32,36,6.6,2.72,1,2,5.3,69.4,25,0,10,0.0,40,0,11,10,80.6,74.1,71.6,72.0,1,0,44,1,0.0,85.0,0.0,0,3,0,2,0,1,2.3,216,6.0
Aaron Rodgers,2241,QB,NYJ,1,79.4,34,35,6.5,2.62,0,0,0.0,77.1,27,0,13,0.0,40,0,18,22,79.5,82.1,78.0,72.6,0,0,43,0,15.4,118.9,5.0,2,3,0,1,2,0,0.0,281,8.0
Kyler Murray,38334,QB,ARZ,1,65.6,32,34,12.4,2.8,0,1,2.6,61.8,21,0,12,0.0,37,0,11,1,79.9,58.6,57.8,61.3,1,1,42,0,8.3,76.5,2.7,1,2,0,1,1,2,4.8,207,6.1
Geno Smith,7820,QB,SEA,1,81.8,33,34,6.1,2.65,0,1,2.9,76.5,26,0,16,3.7,37,1,13,29,39.6,73.5,72.1,60.0,0,2,38,1,18.8,86.5,8.1,3,0,0,1,1,1,2.6,289,8.5
Daniel Jones,39395,QB,NYG,1,81.3,32,34,6.8,2.52,0,0,0.0,70.6,24,0,20,7.7,39,2,13,21,80.2,49.7,45.5,67.3,1,0,41,0,10.0,109.4,5.1,2,2,0,1,2,1,2.4,236,6.9
Will Levis,83542,QB,TEN,1,84.8,33,34,7.4,2.79,0,0,0.0,76.5,26,0,15,7.1,44,2,15,31,29.5,54.7,52.9,65.0,0,2,45,0,53.3,92.8,18.2,8,2,0,1,2,3,6.7,260,7.6
Baker Mayfield,46518,QB,TB,1,86.2,29,33,3.5,2.97,0,0,0.0,75.8,25,0,16,0.0,40,0,11,30,79.2,60.6,60.0,,3,1,41,0,43.8,83.3,17.5,7,0,0,1,1,1,2.4,163,4.9
