player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Matthew Stafford,4924,QB,LA,1,77.1,48,49,6.3,2.58,0,0,0.0,69.4,34,0,18,8.1,51,3,15,26,80.8,51.8,51.7,,0,1,53,0,11.1,85.2,3.9,2,0,0,1,1,3,5.7,317,6.5
Deshaun Watson,11767,QB,CLV,1,70.0,40,45,7.5,3.12,0,1,2.1,53.3,24,0,24,14.3,56,4,10,8,37.6,59.5,58.8,60.7,3,2,60,0,25.0,51.1,10.7,6,5,0,2,1,1,1.7,169,3.8
Bo Nix,97790,QB,DEN,1,70.0,40,42,6.0,3.01,0,1,2.4,61.9,26,0,22,7.1,51,2,9,10,80.5,44.6,41.8,71.6,1,2,51,1,9.1,47.5,3.9,2,5,0,1,0,3,5.9,138,3.3
Daniel Jones,39395,QB,NYG,1,75.0,36,42,5.0,2.77,1,1,2.3,52.4,22,0,20,18.5,50,5,9,21,81.3,57.2,57.6,62.0,1,2,52,2,25.0,44.3,10.0,5,2,0,4,0,1,1.9,186,4.4
Lamar Jackson,46416,QB,BLT,1,74.3,35,41,8.2,3.26,2,1,2.2,63.4,26,0,15,0.0,51,0,16,3,41.5,65.6,58.8,75.1,2,0,57,1,6.7,90.8,2.0,1,9,0,2,1,2,3.5,273,6.7
Tua Tagovailoa,60326,QB,MIA,1,77.1,35,37,6.4,2.38,1,4,10.0,62.2,23,0,6,14.8,44,4,12,17,80.1,77.8,72.3,78.4,0,0,48,0,50.0,101.0,6.8,3,1,0,1,1,0,0.0,338,9.1
Jordan Love,40306,QB,GB,1,69.0,29,34,9.8,2.61,0,2,5.1,50.0,17,0,12,15.0,36,3,9,12,79.2,64.6,63.7,,2,1,41,0,8.3,83.0,2.8,1,0,0,3,2,2,4.9,260,7.6
Jalen Hurts,40291,QB,PHI,1,74.1,27,34,8.8,3.0,2,2,5.6,58.8,20,0,16,0.0,39,0,15,24,34.4,29.8,33.3,41.2,0,2,41,0,12.5,80.3,5.1,2,3,1,4,2,4,9.8,278,8.2
Gardner Minshew,41401,QB,LV,1,80.6,31,33,4.7,2.63,1,0,0.0,75.8,25,0,15,0.0,40,0,12,23,26.5,61.0,65.0,44.4,0,1,41,0,26.7,95.1,10.0,4,3,0,1,1,1,2.4,257,7.8
C.J. Stroud,129759,QB,HST,1,80.6,31,32,8.4,2.91,0,1,2.9,75.0,24,0,12,4.0,38,1,13,13,79.5,67.9,66.4,62.2,0,0,40,0,33.3,115.9,10.5,4,2,0,1,2,3,7.5,234,7.3
Dak Prescott,10769,QB,DAL,1,67.7,31,32,9.6,2.34,1,1,3.1,59.4,19,0,7,9.5,36,2,8,9,78.7,58.0,58.4,58.2,0,0,37,1,42.9,85.3,8.3,3,0,0,0,1,2,5.4,179,5.6
Will Levis,83542,QB,TEN,1,71.4,28,32,8.1,2.74,0,0,0.0,59.4,19,0,15,5.0,38,1,7,31,79.0,32.8,29.9,62.2,1,2,39,0,20.0,52.5,7.9,3,3,0,3,1,1,2.6,127,4.0
