home_team,away_team,game_id,season,week,spread_line,home_Composite_rank,home_Composite,home_FPI,home_nfelo,home_GPF,home_unexpected_points,home_dvoa,home_PFF,home_FPI_rank,home_nfelo_rank,home_GPF_rank,home_unexpected_points_rank,home_dvoa_rank,home_pff_rank,away_Composite_rank,away_Composite,away_FPI,away_nfelo,away_GPF,away_unexpected_points,away_dvoa,away_PFF,away_FPI_rank,away_nfelo_rank,away_GPF_rank,away_unexpected_points_rank,away_dvoa_rank,away_pff_rank,rtg_diff_Composite,spread_diff_Composite,rtg_diff_FPI,rtg_diff_nfelo,rtg_diff_GPF,rtg_diff_unexpected_points,rtg_diff_dvoa,rtg_diff_PFF,bet_team_FPI,bet_team_nfelo,bet_team_GPF,bet_team_unexpected_points,bet_team_dvoa,bet_team_PFF,bet_team_Composite
ARI,SEA,2025_04_SEA_ARI,2025,4,+1.5,16,-0.2,-0.6,0,-1.2,0.9,0.3,-0.4,17,16,19,15,15,17,15,0.6,0.3,0.8,0.9,-0.2,1.5,0.1,14,14,12,17,11,15,-0.7,2.2,-0.6000000000000001,-0.7,0.6000000000000001,-2.6,-0.30000000000000004,-1,ARI,ARI,ARI,ARI,ARI,ARI,ARI
PIT,MIN,2025_04_MIN_PIT,2025,4,+2.5,18,-0.8,-0.5,-0,-0.4,-1.7,-1.4,-0.6,15,17,16,21,19,18,10,1.3,2.7,1.1,1.5,2.2,-1.1,1.4,9,12,11,10,18,12,+2.1,0.3999999999999999,3.2,1.1,1.9,3.9000000000000004,0.2999999999999998,2,MIN,PIT,PIT,MIN,PIT,PIT,PIT
ATL,WAS,2025_04_WAS_ATL,2025,4,+1.5,22,-1.7,-2.9,-1.4,-1.8,-0.1,-2.4,-1.8,24,22,22,16,23,21,8,2.9,2.6,2.2,1.7,3.5,4.3,2.8,10,9,10,6,4,9,+3.1,-1.5999999999999996,4,2.1,2,2.1,5.199999999999999,3.0999999999999996,WAS,WAS,WAS,WAS,WAS,WAS,WAS
BUF,NO,2025_04_NO_BUF,2025,4,-16.5,2,6.2,5.5,5.6,6.4,7.2,6.4,6.4,3,2,3,1,3,1,31,-6.7,-6.2,-6.4,-8.3,-5.7,-5,-8.6,30,30,32,31,29,32,-14.4,-2.0999999999999996,-13.2,-13.5,-16.200000000000003,-14.4,-12.9,-16.5,NO,NO,NO,NO,NO,BUF,NO
DET,CLE,2025_04_CLE_DET,2025,4,-9.5,3,5.6,6.6,5.2,5.3,5.5,6.6,4.6,2,4,5,2,2,5,26,-4,-4.3,-4.5,-3.1,-3.8,-3.8,-4.3,27,29,24,27,27,28,-11.1,1.5999999999999996,-12.399999999999999,-11.2,-9.9,-10.8,-11.899999999999999,-10.399999999999999,DET,DET,DET,DET,DET,DET,DET
HOU,TEN,2025_04_TEN_HOU,2025,4,-7,20,-1,-1.2,-0.8,-1,-0.4,-1.6,-1,20,19,17,18,20,20,32,-7.1,-7.9,-7.3,-6.9,-6.7,-7.3,-6.6,32,31,31,32,32,30,-7.6,0.5999999999999996,-8.2,-8,-7.4,-7.8,-7.199999999999999,-7.1,HOU,HOU,HOU,HOU,HOU,HOU,HOU
NE,CAR,2025_04_CAR_NE,2025,4,-5.5,23,-2.5,-2.4,-3.2,-2.1,-2.5,-2.2,-2.9,22,27,23,23,22,24,29,-4.6,-3.6,-4.5,-5.1,-4,-6.5,-3.7,25,28,30,29,31,26,-3.6,-1.9000000000000004,-2.7,-2.8,-4.5,-3,-5.8,-2.3000000000000003,CAR,CAR,CAR,CAR,NE,CAR,CAR
NYG,LAC,2025_04_LAC_NYG,2025,4,+6,30,-5.7,-7.8,-7.7,-4.5,-3.9,-3.4,-6.8,31,32,28,28,26,31,7,2.9,4,2.3,2.8,2.4,1.8,3.8,7,8,7,9,9,7,+7.1,-1.0999999999999996,10.3,8.5,5.8,4.8,3.7,9.1,LAC,LAC,NYG,NYG,NYG,LAC,LAC
TB,PHI,2025_04_PHI_TB,2025,4,+3.5,14,0.9,1.4,0.8,0.5,1.5,-0.2,1.6,13,15,15,13,17,11,4,4.9,4.5,5.4,5.7,4.4,3.4,6.1,5,3,4,5,7,2,+2.5,1,1.6,3.1000000000000005,3.7,1.4000000000000004,2.1,3,TB,TB,PHI,TB,TB,TB,TB
LA,IND,2025_04_IND_LA,2025,4,-3,9,2.8,2.9,2.4,2.2,3.1,3.4,2.8,8,7,8,8,6,10,13,0.9,1.7,0.9,0.8,1.2,0.5,0.5,11,13,13,14,14,13,-3.4,0.3999999999999999,-2.7,-3,-2.9000000000000004,-3.4000000000000004,-4.4,-3.8,IND,LA,IND,LA,LA,LA,LA
SF,JAX,2025_04_JAX_SF,2025,4,-3,12,1.1,-1.9,2,0.6,2,1,3,21,10,14,11,12,8,17,-0.7,-0.9,-1.2,-1.6,-1.3,0.6,0,19,20,20,20,13,16,-3.3,0.2999999999999998,-0.5000000000000001,-4.7,-3.7,-4.8,-1.9,-4.5,JAX,SF,SF,SF,JAX,SF,SF
KC,BAL,2025_04_BAL_KC,2025,4,+2.5,6,3.8,4.6,3.2,3.5,3.2,4,4.2,4,6,6,7,5,6,1,6.3,6.7,6.8,7.4,5.1,6.6,5.4,1,1,1,3,1,3,+1,1.5,0.6000000000000005,2.0999999999999996,2.4000000000000004,0.39999999999999947,1.0999999999999996,-0.2999999999999998,KC,KC,KC,KC,KC,KC,KC
LV,CHI,2025_04_CHI_LV,2025,4,+1.5,24,-3.1,-2.7,-3.1,-3.5,-3.7,-2.7,-2.8,23,26,25,26,25,23,19,-1,-0.8,-0.6,-1,-2.3,-0.2,-0.9,18,18,18,22,16,19,+0.6,0.8999999999999999,0.40000000000000013,1,1,-0.09999999999999964,1,0.3999999999999999,LV,LV,LV,LV,LV,LV,LV
DAL,GB,2025_04_GB_DAL,2025,4,+7,21,-1.5,-0.6,-1.2,-1.7,-0.9,-2,-2.5,16,21,21,19,21,22,5,4.5,4.4,3.6,6.5,4.8,2.7,5,6,5,2,4,8,4,+4.5,2.5,3.5,3.3,6.699999999999999,4.2,3.2,6,DAL,DAL,DAL,DAL,DAL,DAL,DAL
MIA,NYJ,2025_04_NYJ_MIA,2025,4,-3,25,-3.2,-4,-2.4,-4.1,-2.9,-2.5,-3.5,26,24,27,24,24,25,28,-4.5,-4.4,-2.5,-4.9,-5.5,-4.5,-5,28,25,29,30,28,29,-2.8,-0.20000000000000018,-1.9000000000000004,-1.6,-2.3000000000000007,-4.1,-3.5,-3,NYJ,NYJ,NYJ,MIA,MIA,MIA,NYJ
DEN,CIN,2025_04_CIN_DEN,2025,4,-7.5,11,1.3,1.5,1.2,2,1.6,1.5,0.2,12,11,9,12,10,14,27,-4,-5.9,-2.2,-3.7,-3.1,-5.2,-3.9,29,23,26,25,30,27,-6.8,-0.7000000000000002,-8.9,-4.9,-7.2,-6.2,-8.2,-5.6,DEN,CIN,CIN,CIN,DEN,CIN,CIN
