player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jameis Winston,9434,QB,CLV,1,67.3,55,58,8.6,2.64,1,1,1.7,58.6,34,0,23,8.1,63,3,24,8,82.3,66.1,65.5,66.5,2,3,65,2,13.0,88.1,4.8,3,1,0,0,4,4,6.2,497,8.6
Patrick Mahomes,11765,QB,KC,1,63.6,44,46,8.9,2.8,1,5,10.0,56.5,26,0,20,7.1,52,2,14,16,29.3,72.6,72.1,57.8,0,0,56,0,25.0,84.1,9.6,5,1,1,0,1,1,1.8,306,6.7
Tua Tagovailoa,60326,QB,MIA,1,84.4,45,46,6.8,2.34,1,0,0.0,80.4,37,0,17,2.6,52,1,20,17,81.3,73.7,76.6,55.7,0,0,56,2,29.4,114.2,9.6,5,1,0,0,2,0,0.0,365,7.9
Bryce Young,123943,QB,CAR,1,74.4,39,46,10.4,2.73,0,4,8.3,56.5,26,0,22,10.3,50,3,15,5,80.6,79.2,79.2,56.2,1,0,52,0,4.5,83.4,2.0,1,3,0,6,1,0,0.0,298,6.5
Kyler Murray,38334,QB,ARZ,1,78.0,41,45,7.8,2.91,1,1,2.0,68.9,31,0,17,3.1,51,1,15,1,29.4,67.4,65.2,66.1,0,2,55,1,5.9,72.5,2.0,1,5,1,2,1,3,5.5,260,5.8
Aaron Rodgers,2241,QB,NYJ,1,68.4,38,39,8.7,2.77,0,2,4.9,53.8,21,0,11,19.2,42,5,13,22,79.9,64.7,63.2,64.7,0,1,45,1,18.2,73.1,4.8,2,1,0,1,2,1,2.2,185,4.7
Kirk Cousins,7102,QB,ATL,1,66.7,36,39,8.2,2.57,1,0,0.0,61.5,24,0,7,0.0,40,0,13,2,29.1,41.5,40.0,62.6,1,4,43,0,14.3,40.0,2.5,1,0,0,1,0,4,9.3,245,6.3
Caleb Williams,144622,QB,CHI,1,58.3,36,39,11.6,3.36,0,1,2.2,51.3,20,0,16,4.8,48,1,12,6,81.1,62.4,58.7,72.9,0,0,56,0,31.3,97.8,10.4,5,4,1,2,3,1,1.8,256,6.6
Joe Burrow,28022,QB,CIN,1,81.1,37,38,6.9,2.59,0,5,11.6,73.7,28,0,16,6.7,44,2,16,7,29.8,87.8,85.5,64.2,0,1,49,0,25.0,112.7,9.1,4,2,0,1,3,1,2.0,309,8.1
Russell Wilson,7077,QB,PIT,1,85.7,35,38,4.9,2.75,0,2,5.0,76.3,29,0,13,3.3,41,1,18,25,79.9,78.6,80.3,57.9,0,1,43,1,15.4,126.4,4.9,2,1,0,3,3,0,0.0,414,10.9
Will Levis,83542,QB,TEN,1,66.7,33,37,10.7,2.69,0,4,9.8,48.6,18,0,16,18.2,39,4,9,31,79.7,69.3,68.8,59.5,1,0,43,0,12.5,84.5,5.1,2,0,0,3,2,2,4.7,212,5.7
Derek Carr,8671,QB,NO,1,81.3,32,37,7.5,2.79,0,2,5.1,64.9,24,0,11,7.7,39,2,12,20,79.2,73.6,73.1,59.0,2,0,41,0,0.0,85.9,0.0,0,2,0,3,1,1,2.4,184,5.0
Cooper Rush,12324,QB,DAL,1,72.7,33,36,7.8,2.13,1,0,0.0,58.3,21,0,7,12.5,37,3,10,9,30.0,58.1,63.9,35.4,2,0,42,0,0.0,82.5,0.0,0,1,0,0,1,0,0.0,195,5.4
Lamar Jackson,46416,QB,BLT,1,71.4,35,36,9.3,3.5,0,3,8.3,63.9,23,0,25,8.0,45,2,15,3,22.9,70.6,74.4,51.2,0,0,46,0,12.0,101.3,6.7,3,5,0,1,2,1,2.2,237,6.6
Aidan O'Connell,60516,QB,LV,1,71.9,32,35,8.8,2.54,2,4,10.5,65.7,23,0,11,0.0,38,0,13,23,79.3,77.6,74.7,64.5,0,0,42,0,27.3,116.4,7.9,3,0,1,0,2,2,4.8,340,9.7
Bo Nix,97790,QB,DEN,1,64.5,31,35,13.0,2.79,0,2,5.1,51.4,18,0,12,10.0,36,2,11,10,79.5,76.5,76.0,57.9,0,2,40,1,0.0,65.7,0.0,0,1,0,4,1,2,5.0,294,8.4
Jared Goff,10635,QB,DET,1,70.0,30,34,7.8,2.66,0,1,2.9,61.8,21,0,11,0.0,35,0,12,11,78.5,78.9,79.1,58.2,0,0,35,0,9.1,100.2,2.9,1,0,0,4,2,0,0.0,221,6.5
C.J. Stroud,129759,QB,HST,1,75.0,32,34,8.9,2.99,1,0,0.0,64.7,22,0,8,8.3,38,2,10,13,79.7,77.2,77.9,55.2,0,0,40,0,25.0,95.5,5.3,2,2,0,1,1,0,0.0,242,7.1
Baker Mayfield,46518,QB,TB,1,72.7,33,33,7.1,2.77,0,0,0.0,63.6,21,0,10,12.5,38,3,15,30,41.2,40.3,39.0,62.6,0,2,40,0,40.0,69.6,10.5,4,1,0,0,1,3,7.5,235,7.1
Drew Lock,39517,QB,NYG,1,80.0,30,32,6.4,2.67,1,3,8.3,65.6,21,0,21,12.5,42,3,11,21,29.7,68.9,60.3,90.6,1,1,46,1,28.6,66.9,14.3,6,3,0,0,0,2,4.3,178,5.6
Mac Jones,60323,QB,JAX,1,71.0,31,32,9.8,2.46,1,2,5.9,62.5,20,0,7,9.1,34,2,12,15,78.7,74.1,77.7,50.7,0,0,36,1,0.0,105.6,0.0,0,2,0,0,2,0,0.0,235,7.3
Geno Smith,7820,QB,SEA,1,75.0,28,31,7.2,3.16,0,3,8.8,64.5,20,0,12,4.8,35,1,7,29,79.0,75.9,75.6,57.8,1,0,38,0,25.0,94.3,8.6,3,1,0,2,1,0,0.0,206,6.6
Sam Darnold,29048,QB,MIN,1,84.6,26,31,8.6,3.08,3,3,9.1,67.7,21,0,16,4.5,39,1,14,18,79.4,77.6,76.1,63.7,0,0,41,0,31.3,111.6,12.8,5,3,0,2,2,1,2.4,235,7.6
