player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Cooper Rush,12324,QB,DAL,1,73.1,52,55,6.9,2.34,1,1,1.7,58.2,32,0,16,15.8,61,6,17,9,41.3,51.7,55.5,41.4,0,1,66,0,31.3,75.9,8.2,5,1,0,2,1,4,6.1,354,6.4
Joe Burrow,28022,QB,CIN,1,65.2,46,50,11.9,2.9,0,4,7.4,56.0,28,0,25,6.7,56,2,16,7,81.5,75.9,72.0,74.8,2,0,60,1,12.0,98.4,5.4,3,2,0,2,3,1,1.7,356,7.1
Jameis Winston,9434,QB,CLV,1,71.4,42,46,11.0,2.6,1,1,2.0,65.2,30,1,13,0.0,50,0,17,8,80.8,68.3,68.0,58.3,1,0,53,1,23.1,106.7,6.0,3,1,1,1,2,1,1.9,395,8.6
Gardner Minshew,41401,QB,LV,1,83.8,37,43,3.7,2.64,1,0,0.0,69.8,30,0,13,3.2,48,1,18,23,80.4,65.5,64.3,62.9,1,1,50,0,23.1,93.4,6.3,3,2,0,4,2,0,0.0,282,6.6
Drake Maye,143969,QB,NE,1,81.6,38,40,5.7,2.55,0,0,0.0,75.0,30,0,18,3.2,46,1,17,19,80.0,79.4,77.7,63.5,0,1,48,0,16.7,100.2,6.5,3,3,0,2,2,1,2.1,282,7.1
Josh Allen,46601,QB,BUF,1,73.0,37,40,6.8,2.7,1,5,11.9,67.5,27,0,19,0.0,45,0,14,4,81.2,90.2,83.7,81.5,0,1,47,1,0.0,83.5,0.0,0,5,0,2,1,0,0.0,262,6.6
Russell Wilson,7077,QB,PIT,1,83.9,31,36,6.3,2.88,1,1,2.8,63.9,23,0,13,11.5,41,3,9,25,79.9,61.3,63.8,49.1,0,1,42,0,30.8,67.5,9.8,4,1,0,4,0,1,2.4,205,5.7
Justin Herbert,28237,QB,LAC,1,60.0,30,36,14.8,2.98,3,4,10.0,47.2,17,0,7,5.6,43,1,17,27,29.9,74.9,75.8,55.3,0,0,47,0,28.6,94.3,4.7,2,4,1,2,2,2,4.3,297,8.3
Tua Tagovailoa,60326,QB,MIA,1,82.4,34,36,5.9,2.22,1,1,2.6,77.8,28,0,8,0.0,38,0,18,17,28.4,66.0,64.9,,0,0,41,0,25.0,127.8,5.3,2,0,1,0,3,1,2.4,288,8.0
C.J. Stroud,129759,QB,HST,1,81.3,32,34,5.7,2.65,1,1,2.8,67.6,23,0,12,11.5,38,3,14,13,79.0,70.2,68.7,63.5,0,1,40,0,8.3,77.7,2.6,1,3,0,1,0,2,5.0,257,7.6
Lamar Jackson,46416,QB,BLT,1,63.0,27,33,11.1,3.38,3,0,0.0,48.5,16,0,14,5.9,36,1,9,3,79.9,63.7,57.9,76.2,3,1,40,0,7.1,66.1,2.8,1,1,0,0,1,0,0.0,207,6.3
Patrick Mahomes,11765,QB,KC,1,79.3,29,33,7.4,3.13,1,3,8.8,69.7,23,0,13,0.0,35,0,15,16,78.7,74.0,73.3,59.7,1,2,38,1,15.4,90.0,5.7,2,0,0,2,3,2,5.3,196,5.9
Bo Nix,97790,QB,DEN,1,90.6,32,33,4.0,2.69,0,1,2.9,84.8,28,0,6,3.4,35,1,14,10,78.7,83.3,84.7,52.4,0,0,36,0,16.7,145.1,2.9,1,1,0,1,4,0,0.0,308,9.3
Sam Darnold,29048,QB,MIN,1,83.3,30,32,10.0,3.06,0,2,5.7,62.5,20,0,11,20.0,37,5,13,18,29.8,90.8,90.4,67.0,0,0,41,1,18.2,107.0,5.4,2,3,0,2,2,1,2.4,246,7.7
Geno Smith,7820,QB,SEA,1,83.9,31,32,8.3,3.07,0,0,0.0,78.1,25,0,13,3.8,38,1,12,29,40.4,71.9,70.8,62.8,0,1,39,1,30.8,82.4,10.5,4,2,0,1,0,1,2.6,221,6.9
Jayden Daniels,97993,QB,WAS,1,75.0,32,32,3.8,2.69,0,1,2.9,68.8,22,0,11,8.3,39,2,11,32,79.9,63.9,65.4,55.6,0,1,42,0,27.3,81.6,7.7,3,4,0,0,1,1,2.4,191,6.0
Caleb Williams,144622,QB,CHI,1,77.4,31,31,6.7,2.77,0,2,5.9,74.2,23,0,11,4.2,39,1,15,6,80.1,85.2,80.4,75.4,0,0,42,1,27.3,95.0,7.7,3,5,0,0,0,0,0.0,231,7.5
Will Levis,83542,QB,TEN,1,66.7,27,30,10.5,2.79,1,3,8.8,53.3,16,0,17,11.1,37,2,8,31,80.2,69.8,71.8,54.8,0,1,41,0,29.4,81.8,13.5,5,2,0,2,1,1,2.4,274,9.1
Anthony Richardson,124393,QB,IND,1,88.5,26,30,9.6,2.85,1,1,3.2,66.7,20,0,14,13.0,32,3,13,14,29.6,80.1,80.3,64.3,0,0,33,0,14.3,106.5,6.3,2,0,0,3,1,1,3.0,272,9.1
Aaron Rodgers,2241,QB,NYJ,1,82.1,28,29,4.4,2.48,0,0,0.0,75.9,22,0,9,4.3,33,1,7,22,24.8,48.4,50.0,55.7,0,0,33,0,33.3,114.7,9.1,3,1,0,1,2,2,6.1,184,6.3
Jared Goff,10635,QB,DET,1,92.6,27,29,8.6,2.78,0,1,3.3,82.8,24,0,7,4.0,32,1,21,11,78.2,93.5,91.8,76.2,0,0,33,0,0.0,158.3,0.0,0,3,0,2,4,0,0.0,412,14.2
Mac Jones,60323,QB,JAX,1,60.7,28,29,11.8,2.86,0,1,3.3,58.6,17,0,9,0.0,31,0,7,15,78.0,53.0,52.8,59.1,0,1,32,0,11.1,56.4,3.2,1,1,0,1,0,1,3.1,138,4.8
Jalen Hurts,40291,QB,PHI,1,79.2,24,28,7.0,3.27,0,0,0.0,64.3,18,0,11,5.3,34,1,11,24,79.6,74.6,66.0,78.9,1,0,35,0,18.2,88.5,5.9,2,4,0,3,0,0,0.0,221,7.9
Brock Purdy,77672,QB,SF,1,80.8,26,28,5.8,2.83,2,0,0.0,75.0,21,0,13,0.0,36,0,13,28,79.0,63.7,58.3,71.5,0,1,40,0,15.4,85.3,5.6,2,5,0,0,1,0,0.0,159,5.7
