Composite_rank,Team,Team Name,Composite,FPI,nfelo,GPF,unexpected_points,dvoa,PFF,FPI_rank,nfelo_rank,GPF_rank,unexpected_points_rank,dvoa_rank,pff_rank,Std Dev,week
1,KC,Kansas City Chiefs,6.6,7.6,6.2,6.7,6,6.8,6.1,1,3,1,3,4,2,0.6,11
2,LA,Los Angeles Rams,6.5,5.6,7.3,5.7,6.6,7.2,6.4,3,1,2,1,3,1,0.7,11
3,DET,Detroit Lions,6.3,5.6,7.3,5.5,6.4,7.5,5.4,2,2,3,2,2,4,0.9,11
4,BAL,Baltimore Ravens,4.9,4.2,5,4.6,5,4.7,5.7,6,6,7,5,6,3,0.5,11
5,SEA,Seattle Seahawks,4.9,3.1,5,4.5,4.9,8.1,3.8,9,5,8,6,1,8,1.7,11
6,PHI,Philadelphia Eagles,4.6,4.6,5,5.4,3.9,4.1,4.8,5,4,4,9,7,6,0.6,11
7,BUF,Buffalo Bills,4.4,3.6,4.7,4.6,5.1,3.9,4.6,8,7,6,4,8,7,0.6,11
8,GB,Green Bay Packers,4.3,3.8,3.9,4.8,4.8,3.4,5.2,7,8,5,7,9,5,0.7,11
9,IND,Indianapolis Colts,3.9,4.7,2.2,3.6,4.6,6.4,2.1,4,11,9,8,5,12,1.6,11
10,DEN,Denver Broncos,2.6,2.2,2.6,2,2.5,2.6,3.7,11,10,11,11,10,9,0.6,11
11,LAC,Los Angeles Chargers,2.2,2.8,1.8,2.7,2,0.5,3.5,10,12,10,12,15,10,1,11
12,HOU,Houston Texans,1.4,-0.4,2.6,-0.7,1.4,2.1,3.3,16,9,17,14,11,11,1.6,11
13,TB,Tampa Bay Buccaneers,1.3,1,1,1,1.5,1.7,1.8,12,15,14,13,12,13,0.4,11
14,NE,New England Patriots,1.3,0.3,1,1.8,3.5,0.6,0.4,14,14,12,10,14,15,1.2,11
15,SF,San Francisco 49ers,0.8,0.6,1.4,1.4,0.7,0.5,0.2,13,13,13,16,16,16,0.5,11
16,PIT,Pittsburgh Steelers,-0.5,-1,-0.3,-0.8,-1.6,0.7,-0.2,17,17,18,22,13,18,0.8,11
17,CHI,Chicago Bears,-0.5,-1.6,0.3,-1.4,1.4,-1.8,-0.1,20,16,20,15,22,17,1.3,11
18,DAL,Dallas Cowboys,-0.7,-0.2,-0.4,-0.2,-0.1,-0.8,-2.7,15,18,16,17,19,22,1,11
19,MIN,Minnesota Vikings,-1.2,-2.7,-1,-0.1,-1.2,-2.7,0.4,22,19,15,21,25,14,1.3,11
20,JAX,Jacksonville Jaguars,-1.3,-1.5,-2.3,-1.2,-0.4,-0.8,-1.7,19,21,19,18,20,19,0.7,11
21,ATL,Atlanta Falcons,-1.8,-2.9,-1.8,-2,-1.1,-0.4,-2.6,23,20,22,19,17,21,0.9,11
22,ARI,Arizona Cardinals,-2.2,-3.7,-2.9,-1.9,-1.2,-0.8,-3,26,22,21,20,18,23,1.1,11
23,MIA,Miami Dolphins,-3.3,-3.1,-4,-4.2,-2.9,-3.2,-2.5,24,28,24,23,26,20,0.7,11
24,NYG,New York Giants,-3.5,-1.5,-3.9,-4,-3.6,-2.6,-5.3,18,25,23,25,24,28,1.3,11
25,CIN,Cincinnati Bengals,-3.6,-3.2,-3.5,-5.2,-4.6,-0.9,-3.9,25,24,28,26,21,26,1.5,11
26,WAS,Washington Commanders,-3.8,-2.4,-2.9,-7.1,-4.7,-2.3,-3.6,21,23,30,27,23,25,1.8,11
27,LV,Las Vegas Raiders,-4.9,-5,-4.7,-5,-7.5,-3.7,-3.5,28,30,27,30,27,24,1.4,11
28,CAR,Carolina Panthers,-5,-4.8,-4.3,-4.4,-5.8,-6.7,-4.1,27,29,25,29,29,27,1,11
29,CLE,Cleveland Browns,-5.8,-10.1,-4,-4.9,-3.5,-6.7,-5.9,32,27,26,24,30,29,2.4,11
30,NYJ,New York Jets,-6.7,-6.8,-4,-9,-7.5,-6.5,-6.2,30,26,31,31,28,30,1.6,11
31,NO,New Orleans Saints,-6.8,-6.5,-7.6,-6.4,-5,-6.7,-8.8,29,31,29,28,31,32,1.3,11
32,TEN,Tennessee Titans,-9.1,-9.2,-9.3,-9,-9.6,-8.9,-8.5,31,32,32,32,32,31,0.4,11
