home_team,away_team,game_id,season,week,spread_line,home_Composite_rank,home_Composite,home_FPI,home_nfelo,home_GPF,home_unexpected_points,home_dvoa,home_PFF,home_pg,home_FPI_rank,home_nfelo_rank,home_GPF_rank,home_unexpected_points_rank,home_dvoa_rank,home_pff_rank,home_pg_rank,away_Composite_rank,away_Composite,away_FPI,away_nfelo,away_GPF,away_unexpected_points,away_dvoa,away_PFF,away_pg,away_FPI_rank,away_nfelo_rank,away_GPF_rank,away_unexpected_points_rank,away_dvoa_rank,away_pff_rank,away_pg_rank,rtg_diff_Composite,spread_diff_Composite,rtg_diff_FPI,rtg_diff_nfelo,rtg_diff_GPF,rtg_diff_unexpected_points,rtg_diff_dvoa,rtg_diff_PFF,bet_team_FPI,bet_team_nfelo,bet_team_GPF,bet_team_unexpected_points,bet_team_dvoa,bet_team_PFF,bet_team_Composite
DET,GB,2025_13_GB_DET,2025,13,-2.5,3,5.4,4.9,5.2,5.6,4.8,6.8,5.2,5.4,3,2,4,5,3,5,4,5,4.9,4.8,3.8,4.7,5.1,4.7,6.1,4.4,4,7,6,4,6,3,8,-2,-0.5,-1.6000000000000005,-2.9000000000000004,-2.3999999999999995,-1.2000000000000002,-3.5999999999999996,-0.6000000000000005,GB,DET,GB,GB,DET,GB,GB
DAL,KC,2025_13_KC_DAL,2025,13,+3.5,16,0.3,0.7,0.5,0.1,1.3,-0.5,-0.4,1.1,13,14,16,14,16,18,16,2,5.9,7.2,5,5.7,5.3,5.7,6.6,5.8,1,4,3,2,5,2,2,+4.1,-0.6000000000000005,5,3,4.1000000000000005,2.5,4.7,5.5,KC,DAL,KC,DAL,KC,KC,KC
BAL,CIN,2025_13_CIN_BAL,2025,13,-7,8,4,4.1,3.4,2.7,4.1,3.6,5.8,4,7,8,9,8,9,4,9,20,-2.7,-1.4,-3.2,-4.5,-5,-0.9,-1.1,-1,21,22,23,29,18,19,18,-8.2,1.1999999999999993,-7,-8.1,-8.7,-10.6,-6,-8.4,BAL,BAL,BAL,BAL,CIN,BAL,BAL
PHI,CHI,2025_13_CHI_PHI,2025,13,-7,6,4.3,4.3,5,4.3,4.6,3.7,3.8,4.5,6,3,7,6,8,10,7,18,-0.6,-1.3,-0.2,-1.5,0.7,-1.4,0.3,-1.4,20,17,19,17,19,17,19,-6.4,-0.6000000000000005,-7.1,-6.7,-7.3,-5.3999999999999995,-6.6,-5,PHI,CHI,PHI,CHI,CHI,CHI,CHI
CAR,LA,2025_13_LA_CAR,2025,13,+10.5,27,-4.5,-4.4,-4.5,-4.7,-3.8,-5.6,-3.8,-4.4,27,27,25,25,28,26,26,1,7.3,6,7,6.7,7.6,9.3,6.9,7.5,2,1,1,1,1,1,1,+10.3,0.1999999999999993,8.9,10,9.9,9.899999999999999,13.4,9.2,CAR,CAR,CAR,CAR,LA,CAR,CAR
CLE,SF,2025_13_SF_CLE,2025,13,+4.5,28,-6,-9.5,-4.1,-5.4,-4.2,-7.2,-5.5,-5.4,32,25,26,27,30,29,27,11,2.4,3,1.4,2.1,3.1,2.1,2.8,2.1,10,13,11,11,12,11,12,+6.9,-2.4000000000000004,11,4,6,5.800000000000001,7.800000000000001,6.800000000000001,SF,CLE,SF,SF,SF,SF,SF
IND,HOU,2025_13_HOU_IND,2025,13,-4.5,9,3.9,4.8,2.6,3.7,4,6.8,1.6,4.9,5,9,8,9,4,13,6,12,1.7,0.3,1.4,1,1.1,2.2,4.1,2.2,15,12,14,15,11,8,11,-3.7,-0.7999999999999998,-6,-2.7,-4.2,-4.4,-6.1,0.9999999999999996,IND,HOU,HOU,HOU,IND,HOU,HOU
MIA,NO,2025_13_NO_MIA,2025,13,-6,24,-3,-3.2,-3.7,-3.2,-2.8,-2.7,-2.1,-3.2,24,24,22,22,22,22,23,30,-7.1,-8.1,-7.3,-7.1,-3.9,-6.8,-9.1,-7.3,30,31,30,26,29,32,30,-5.6,-0.40000000000000036,-6.3999999999999995,-5.1,-5.3999999999999995,-2.6,-5.6,-8.5,MIA,NO,NO,NO,NO,MIA,NO
NYJ,ATL,2025_13_ATL_NYJ,2025,13,+2.5,31,-7.2,-7.3,-5.7,-9.2,-8.4,-4.9,-7.4,-8,29,29,32,32,27,30,32,25,-3.1,-3.1,-0.6,-5.5,-1.9,-4.3,-2.9,-4.2,23,18,27,21,25,23,24,+2.6,-0.09999999999999964,2.6999999999999993,3.6000000000000005,2.1999999999999993,5,-0.8999999999999995,3,ATL,ATL,NYJ,ATL,NYJ,ATL,ATL
TB,ARI,2025_13_ARI_TB,2025,13,-3,19,-1.4,0,-2.2,-0.2,-1.2,-3.6,-1.4,-1.5,17,20,18,19,23,20,20,21,-2.7,-3.4,-4.5,-2,-1.3,-1.7,-3.4,-2.6,25,28,20,20,21,24,22,-2.8,-0.19999999999999973,-4.9,-3.8,-3.3,-1.6,0.40000000000000013,-3.5,TB,TB,TB,ARI,ARI,TB,ARI
