player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Joe Burrow,28022,QB,CIN,1,69.2,52,56,9.8,2.96,1,3,4.8,60.7,34,0,29,5.6,60,2,21,7,41.0,68.1,68.6,52.1,1,0,66,0,10.3,108.3,5.0,3,1,0,2,4,3,4.5,428,7.6
Matthew Stafford,4924,QB,LA,1,79.1,43,46,7.5,2.6,1,1,2.2,69.6,32,0,17,5.9,50,2,16,26,32.0,70.2,72.7,55.8,1,1,50,0,23.5,77.5,8.0,4,0,1,0,0,0,0.0,293,6.4
Patrick Mahomes,11765,QB,KC,1,80.6,36,42,5.1,2.89,2,1,2.4,66.7,28,0,17,3.4,49,1,14,16,80.5,59.4,61.1,52.6,0,0,51,0,23.5,92.0,8.2,4,3,0,4,1,1,2.0,266,6.3
Kirk Cousins,7102,QB,ATL,1,69.7,33,38,11.5,2.92,3,3,7.3,60.5,23,0,12,0.0,41,0,12,2,29.1,62.3,61.5,,1,1,44,0,25.0,75.1,7.3,3,0,0,1,0,2,4.5,306,8.1
Sam Darnold,29048,QB,MIN,1,68.6,35,38,9.1,3.26,0,1,2.5,63.2,24,0,15,0.0,42,0,17,18,80.4,61.7,56.5,74.8,1,3,44,0,6.7,48.2,2.4,1,3,0,2,0,3,6.8,241,6.3
Daniel Jones,39395,QB,NYG,1,71.9,32,37,8.4,2.8,0,0,0.0,59.5,22,0,15,4.3,42,1,14,21,80.2,65.7,62.2,68.7,0,2,43,1,13.3,50.5,4.8,2,3,1,4,0,0,0.0,190,5.1
Josh Allen,46601,QB,BUF,1,67.6,34,37,7.3,2.42,1,2,5.3,59.5,22,0,14,4.3,40,1,12,4,80.8,80.1,70.0,86.0,0,2,42,0,14.3,60.6,5.0,2,1,0,2,0,1,2.4,280,7.6
Brock Purdy,77672,QB,SF,1,78.8,33,36,7.5,2.62,1,2,5.1,69.4,25,0,18,3.8,42,1,18,28,29.5,65.9,64.9,61.5,1,0,45,0,16.7,119.3,7.1,3,3,1,0,2,2,4.4,353,9.8
Joe Flacco,4332,QB,IND,1,77.1,35,35,8.4,2.54,0,1,2.6,74.3,26,0,11,3.7,39,1,14,14,79.2,60.6,60.0,,0,3,42,1,36.4,79.7,10.3,4,0,0,0,2,3,7.1,272,7.8
Aaron Rodgers,2241,QB,NYJ,1,69.7,33,35,6.6,2.66,0,0,0.0,62.9,22,0,11,4.3,38,1,10,22,79.0,62.7,62.0,,0,0,41,0,27.3,72.4,7.9,3,0,0,2,0,1,2.4,151,4.3
Jayden Daniels,97993,QB,WAS,1,71.4,28,34,8.7,2.47,2,1,2.7,50.0,17,0,11,15.0,37,3,7,32,79.8,65.8,68.1,49.1,1,0,41,0,27.3,68.5,8.1,3,0,0,3,0,0,0.0,202,5.9
Lamar Jackson,46416,QB,BLT,1,81.3,32,33,8.2,3.66,0,1,2.9,75.8,25,0,13,3.8,36,1,15,3,79.9,87.8,81.3,79.9,0,0,39,0,0.0,141.4,0.0,0,3,0,1,4,1,2.6,290,8.8
C.J. Stroud,129759,QB,HST,1,68.8,32,33,8.4,3.05,0,1,2.9,57.6,19,0,16,13.6,38,3,12,13,78.7,56.3,56.3,58.3,0,2,39,0,25.0,64.2,10.5,4,1,0,1,1,2,5.1,232,7.0
Caleb Williams,144622,QB,CHI,1,70.8,24,30,6.2,2.83,2,0,0.0,53.3,16,0,16,5.9,41,1,8,6,79.3,55.7,51.2,73.9,0,0,42,0,56.3,63.2,22.0,9,2,0,4,0,0,0.0,120,4.0
Jared Goff,10635,QB,DET,1,69.6,23,30,12.7,2.86,1,2,6.3,50.0,15,0,10,6.3,31,1,12,11,77.9,55.4,55.5,62.6,1,5,33,1,0.0,59.7,0.0,0,1,0,5,2,4,12.1,240,8.0
Bo Nix,97790,QB,DEN,1,88.9,27,30,6.4,2.64,0,1,3.1,73.3,22,0,7,8.3,33,2,12,10,37.0,72.6,73.4,55.1,0,0,35,0,28.6,115.3,6.1,2,1,0,3,2,0,0.0,215,7.2
Baker Mayfield,46518,QB,TB,1,70.4,27,29,4.4,2.84,1,1,3.2,62.1,18,0,9,5.3,32,1,8,30,27.5,59.5,67.7,31.6,1,0,34,0,22.2,82.0,6.3,2,1,0,0,1,0,0.0,116,4.0
Tua Tagovailoa,60326,QB,MIA,1,77.8,27,28,5.7,2.57,1,0,0.0,71.4,20,0,11,4.8,32,1,11,17,26.8,62.2,61.3,60.0,0,1,32,0,27.3,89.4,9.4,3,0,0,0,1,3,9.4,207,7.4
Russell Wilson,7077,QB,PIT,1,64.0,25,28,12.5,2.88,0,3,9.7,50.0,14,0,11,12.5,33,2,10,25,79.1,79.9,77.5,65.7,0,1,36,0,27.3,93.6,9.1,3,1,0,3,3,0,0.0,195,7.0
Derek Carr,8671,QB,NO,1,85.0,20,25,8.5,2.97,0,3,12.0,64.0,16,0,7,5.9,27,1,8,20,26.2,77.3,86.5,37.5,0,0,27,1,0.0,126.9,0.0,0,2,0,5,2,0,0.0,269,10.8
Drake Maye,143969,QB,NE,1,71.4,21,25,10.0,3.33,2,3,10.7,60.0,15,0,11,0.0,29,0,10,19,78.0,64.4,63.7,59.8,0,1,32,0,9.1,79.4,3.4,1,3,0,2,1,3,9.4,184,7.4
Bryce Young,123943,QB,CAR,1,68.0,25,25,7.1,2.66,0,0,0.0,60.0,15,0,15,11.8,28,2,7,5,77.2,71.4,68.5,66.4,0,0,29,1,6.7,86.4,3.6,1,2,0,0,1,0,0.0,126,5.0
Kyler Murray,38334,QB,ARZ,1,91.7,24,24,4.9,2.27,0,1,3.8,91.7,22,0,7,0.0,25,0,15,1,26.5,80.3,76.3,70.9,0,0,27,1,14.3,126.7,4.0,1,0,0,0,1,1,3.7,266,11.1
Will Levis,83542,QB,TEN,1,78.3,23,23,8.2,2.87,0,2,8.0,78.3,18,0,14,0.0,33,0,12,31,27.8,72.5,66.1,81.8,0,0,35,1,50.0,127.4,21.2,7,3,0,0,2,1,2.9,175,7.6
Cooper Rush,12324,QB,DAL,1,61.9,21,23,6.8,2.26,2,0,0.0,56.5,13,0,9,0.0,24,0,3,9,19.1,33.4,40.8,36.8,0,0,27,0,11.1,61.7,4.2,1,0,0,0,0,1,3.7,45,2.0
