player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Baker Mayfield,46518,QB,TB,1,73.3,45,45,8.9,2.87,0,4,8.5,68.9,31,0,12,6.1,52,2,20,30,35.9,58.6,63.4,44.4,0,2,56,1,25.0,97.5,5.8,3,4,0,0,3,5,8.9,370,8.2
Mason Rudolph,46569,QB,TEN,1,73.7,38,40,5.6,2.7,0,0,0.0,62.5,25,0,17,10.7,44,3,13,31,30.6,46.3,55.0,28.7,0,1,47,0,17.6,73.5,6.8,3,1,1,1,1,2,4.3,206,5.2
Justin Herbert,28237,QB,LAC,1,83.8,37,39,8.9,3.06,0,4,9.8,69.2,27,0,14,12.9,44,4,14,27,79.9,89.7,89.7,54.6,0,0,46,0,21.4,97.1,6.8,3,2,1,1,0,0,0.0,349,8.9
Aaron Rodgers,2241,QB,NYJ,1,75.0,36,39,5.7,2.37,3,1,2.5,61.5,24,0,8,11.1,40,3,13,22,79.2,67.4,66.4,,0,2,41,0,12.5,70.0,2.5,1,0,0,0,1,1,2.4,276,7.1
Drake Maye,143969,QB,NE,1,72.2,36,37,8.0,2.74,0,2,4.9,70.3,26,0,17,0.0,42,0,14,19,80.0,53.2,54.8,52.6,0,0,47,0,11.8,109.7,4.8,2,3,0,1,2,3,6.4,276,7.5
Kirk Cousins,7102,QB,ATL,1,73.5,34,35,7.4,2.63,1,0,0.0,68.6,24,0,14,4.0,38,1,12,2,28.5,54.9,54.4,60.0,0,2,40,0,21.4,72.6,7.9,3,0,0,0,1,3,7.5,232,6.6
Spencer Rattler,97408,QB,NO,1,77.1,35,35,7.3,2.69,0,0,0.0,71.4,25,0,20,7.4,44,2,6,20,19.8,42.1,41.1,59.7,0,0,47,0,30.0,82.1,13.6,6,3,0,0,0,3,6.4,172,4.9
Gardner Minshew,41401,QB,LV,1,60.0,25,34,6.0,2.66,1,0,0.0,44.1,15,0,15,0.0,36,0,9,23,28.4,27.8,29.1,51.7,1,3,38,1,6.7,21.0,2.8,1,1,0,7,0,3,7.9,154,4.5
Jordan Love,40306,QB,GB,1,81.3,32,33,9.3,2.19,0,3,8.6,72.7,24,0,11,7.7,37,2,12,12,78.9,72.2,70.9,,1,2,39,0,27.3,95.6,8.1,3,0,0,0,3,2,5.1,221,6.7
Josh Allen,46601,QB,BUF,1,71.0,31,33,9.2,2.55,1,2,6.1,63.6,21,0,10,4.5,35,1,14,4,78.9,75.7,78.8,48.8,0,0,35,0,10.0,116.1,2.9,1,1,0,1,2,0,0.0,323,9.8
