home_team,away_team,game_id,season,week,spread_line,home_Composite_rank,home_Composite,home_FPI,home_nfelo,home_GPF,home_unexpected_points,home_dvoa,home_PFF,home_pg,home_FPI_rank,home_nfelo_rank,home_GPF_rank,home_unexpected_points_rank,home_dvoa_rank,home_pff_rank,home_pg_rank,away_Composite_rank,away_Composite,away_FPI,away_nfelo,away_GPF,away_unexpected_points,away_dvoa,away_PFF,away_pg,away_FPI_rank,away_nfelo_rank,away_GPF_rank,away_unexpected_points_rank,away_dvoa_rank,away_pff_rank,away_pg_rank,rtg_diff_Composite,spread_diff_Composite,rtg_diff_FPI,rtg_diff_nfelo,rtg_diff_GPF,rtg_diff_unexpected_points,rtg_diff_dvoa,rtg_diff_PFF,bet_team_FPI,bet_team_nfelo,bet_team_GPF,bet_team_unexpected_points,bet_team_dvoa,bet_team_PFF,bet_team_Composite
TB,ATL,2025_15_ATL_TB,2025,15,-4.5,19,-1,-0.8,-2,-0.8,-0.6,-1.3,-0.8,-1,19,20,18,18,21,20,19,26,-3.9,-4.6,-3.2,-4.4,-2.9,-5.1,-3.3,-4,27,23,25,23,27,23,25,-4.4,-0.09999999999999964,-5.3,-2.7,-5.1000000000000005,-3.8,-5.3,-4,TB,ATL,TB,ATL,TB,ATL,ATL
CHI,CLE,2025_15_CLE_CHI,2025,15,-7.5,16,0.1,-0.5,-0.3,-0.6,1.4,-0.4,1.2,0,17,18,16,14,17,15,16,29,-6.4,-8.7,-5.5,-6,-4.6,-8,-5.7,-6.4,31,28,28,29,30,28,28,-8,0.5,-9.7,-6.7,-6.9,-7.5,-9.1,-8.4,CHI,CLE,CLE,CHI,CHI,CHI,CHI
CIN,BAL,2025_15_BAL_CIN,2025,15,+2.5,17,-0.1,1.1,-1.3,-0.7,0.7,-0.5,0.1,-0.7,14,19,17,16,18,17,18,11,2.3,2.8,1.7,3.1,2.5,0.8,3.1,2.4,10,13,9,11,13,9,11,+0.9,1.6,0.19999999999999973,1.5,2.3,0.30000000000000004,-0.19999999999999996,1.5,CIN,CIN,CIN,CIN,CIN,CIN,CIN
HOU,ARI,2025_15_ARI_HOU,2025,15,-9.5,7,3.3,3.5,2.2,3.5,1.8,3.2,5.4,4.2,9,10,8,13,7,6,6,23,-3.5,-3.8,-4.6,-4,-1.8,-3.1,-3.8,-3.4,25,26,23,21,23,25,24,-8.3,-1.1999999999999993,-8.8,-8.3,-9,-5.1,-7.800000000000001,-10.7,ARI,ARI,ARI,ARI,ARI,HOU,ARI
JAX,NYJ,2025_15_NYJ_JAX,2025,15,-12.5,13,1.6,1.4,0.2,1.3,2.2,2.7,1.8,2.1,12,15,14,12,9,14,13,31,-7.6,-8.1,-7.8,-9.1,-6.7,-6.1,-7.7,-8,30,31,32,30,28,31,31,-10.7,-1.8000000000000007,-11,-9.5,-11.9,-10.4,-10.3,-11,NYJ,NYJ,NYJ,NYJ,NYJ,NYJ,NYJ
KC,LAC,2025_15_LAC_KC,2025,15,-4.5,5,4.4,6,3.4,4.9,3.8,3.5,4.6,4,2,7,4,7,6,7,7,14,1,1.3,0.3,1.5,0.7,-0,2.2,1.1,13,14,13,17,15,12,15,-4.9,0.40000000000000036,-6.2,-4.6,-4.9,-4.6,-5,-3.8999999999999995,KC,KC,KC,KC,KC,LAC,KC
NE,BUF,2025_15_BUF_NE,2025,15,+1.5,12,2.1,1,2.6,1.7,4.2,1.3,2,3,15,8,12,6,12,13,9,6,4.3,3.6,4,4.4,5.2,3,5.6,4.8,6,5,5,3,8,4,4,+0.7,0.8000000000000003,1.1,-0.10000000000000009,1.2000000000000002,-0.5,0.19999999999999996,2.0999999999999996,NE,NE,NE,NE,NE,BUF,NE
NYG,WAS,2025_15_WAS_NYG,2025,15,-2.5,24,-3.7,-1.4,-4.2,-4.4,-3.6,-3.2,-5.1,-4.7,20,25,26,27,24,27,26,27,-4.3,-3.1,-4.7,-4.4,-4.5,-4.7,-4.5,-5,24,27,24,28,26,26,27,-2.1,-0.40000000000000036,-3.2,-2,-1.5,-2.4,-3,-0.9000000000000004,NYG,WAS,WAS,WAS,NYG,WAS,WAS
PHI,LV,2025_15_LV_PHI,2025,15,-11.5,8,3.1,3.6,3.5,3.8,3.2,1.6,2.6,3.7,7,6,7,8,11,11,8,30,-7.2,-6.2,-7,-6.6,-8.3,-8.8,-6.1,-6.7,28,30,29,31,32,29,30,-11.8,0.3000000000000007,-11.3,-12,-11.899999999999999,-13,-11.9,-10.2,LV,PHI,PHI,PHI,PHI,LV,PHI
DEN,GB,2025_15_GB_DEN,2025,15,+2.5,9,2.9,2.5,1.9,1.8,2.7,4,4.3,2.3,11,12,11,10,5,8,12,3,5.6,5.1,4.9,5.2,5.3,6.2,6.9,5.1,3,4,3,2,4,2,3,+1.2,1.3000000000000003,1.0999999999999996,1.5000000000000004,1.9000000000000004,1.0999999999999996,0.7000000000000002,1.1000000000000005,DEN,DEN,DEN,DEN,DEN,DEN,DEN
LA,DET,2025_15_DET_LA,2025,15,-5.5,1,8,6.9,7.4,7.4,8.3,11,7.1,8.4,1,1,1,1,1,1,1,4,5.4,5,5,4.2,4.9,7.9,5.5,4.6,4,3,6,4,3,5,5,-4.1,-1.4000000000000004,-3.4000000000000004,-3.9000000000000004,-4.7,-4.9,-4.6,-3.0999999999999996,DET,DET,DET,DET,DET,DET,DET
NO,CAR,2025_15_CAR_NO,2025,15,+2.5,28,-6.2,-6.6,-6.5,-6.8,-3.5,-6.2,-7.3,-6.6,29,29,30,26,29,30,29,25,-3.9,-4.2,-4,-3.5,-3.5,-4.5,-3.7,-3,26,24,22,25,25,24,23,+0.8,1.6999999999999997,0.8999999999999995,1,1.7999999999999998,-1.5,0.20000000000000018,2.0999999999999996,NO,NO,NO,NO,NO,NO,NO
SEA,IND,2025_15_IND_SEA,2025,15,-13.5,2,6.5,4.9,7,6.7,4.9,10,5.6,7.8,5,2,2,5,2,3,2,20,-1.6,-2.3,1.9,-5,-2.1,-0.9,-1.2,-3,21,11,27,22,20,22,22,-9.6,-3.9000000000000004,-8.7,-6.6,-13.2,-8.5,-12.4,-8.3,IND,IND,IND,IND,IND,IND,IND
SF,TEN,2025_15_TEN_SF,2025,15,-12.5,10,2.8,3.6,2.3,2.7,2.7,2.6,3,2.9,8,9,10,9,10,10,10,32,-8.6,-9.2,-7.8,-8,-8.4,-8.5,-9.4,-8,32,32,31,32,31,32,32,-12.9,0.3999999999999986,-14.299999999999999,-11.6,-12.2,-12.600000000000001,-12.6,-13.9,SF,TEN,TEN,SF,SF,SF,SF
DAL,MIN,2025_15_MIN_DAL,2025,15,-5.5,15,0.3,0.4,0.2,1.1,0.8,-0.5,-0,1.6,16,16,15,15,19,18,14,22,-2.1,-2.6,-3.1,-2,-3,-1.9,-0.1,-2.2,22,22,20,24,22,19,20,-3.9,-1.6,-4.5,-4.800000000000001,-4.6,-5.3,-2.9,-1.6,MIN,MIN,MIN,MIN,MIN,MIN,MIN
PIT,MIA,2025_15_MIA_PIT,2025,15,-3,18,-0.3,-0.7,-0.2,-0.8,-0.8,0.4,0.3,-0.6,18,17,19,19,14,16,17,21,-1.8,-2.7,-2.8,-3.1,-1.3,0,-1,-2.8,23,21,21,20,16,21,21,-3,0,-3.5,-4.1,-3.8,-2,-1.9,-2.8,PIT,PIT,PIT,MIA,MIA,MIA,PIT
