season,player_name,pos,school,ht,wt,forty,vertical,bench,broad_jump,cone,shuttle,draft_team,draft_year,draft_year,draft_ovr
2025,Trevor Etienne,RB,Georgia,9-May,198,4.42,35,15,124,,,,,,
2025,Mitchell Evans,TE,Notre Dame,5-Jun,258,4.74,31,,115,7.25,4.4,,,,
2025,Quinn Ewers,QB,Texas,2-Jun,214,,,,,,,,,,
2025,Donovan Ezeiruaku,EDGE,Boston Col.,3-Jun,248,,35.5,22,119,6.94,4.19,,,,
2025,Dylan Fairchild,G,Georgia,5-Jun,318,,27.5,,111,,,,,,
2025,Joshua Farmer,DT,Florida St.,3-Jun,305,5.11,29,26,112,,,,,,
2025,Da'Quan Felton,WR,Virginia Tech,5-Jun,213,4.5,32.5,16,122,7.1,4.3,,,,
2025,Tai Felton,WR,Maryland,1-Jun,183,4.37,39.5,,130,,,,,,
2025,Terrance Ferguson,TE,Oregon,5-Jun,247,4.63,39,,122,,,,,,
2025,Ryan Fitzgerald,K,Florida St.,11-May,193,,,,,,,,,,
2025,O'Donnell Fortune,CB,South Carolina,1-Jun,185,,32.5,,117,,,,,,
2025,Miles Frazier,G,LSU,6-Jun,317,5.24,31,,108,,,,,,
2025,Zah Frazier,CB,Texas-San Antonio,3-Jun,186,4.36,36.5,,126,7,4.26,,,,
2025,Dillon Gabriel,QB,Oregon,11-May,205,,,,,,,,,,
2025,Jacolby George,WR,Miami,11-May,172,,32.5,,120,6.77,,,,,
2025,DJ Giddens,RB,Kansas St.,Jun-00,212,4.43,39.5,,130,,4.33,,,,
2025,Ashton Gillotte,EDGE,Louisville,3-Jun,264,,36.5,24,120,,,,,,
2025,Matthew Golden,WR,Texas,11-May,191,4.29,,,,,,,,,
2025,Mason Graham,DT,Michigan,4-Jun,296,,,24,,,,,,,
2025,Charles Grant,OT,William & Mary,5-Jun,311,,,,,,,,,,
2025,Kenneth Grant,DT,Michigan,4-Jun,331,,,22,,,,,,,
2025,Joshua Gray,G,Oregon St.,5-Jun,299,5.04,31,,104,,,,,,
2025,Mike Green,EDGE,Marshall,3-Jun,251,,,28,,,,,,,
2025,Eric Gregory,DT,Arkansas,3-Jun,319,5.14,27,28,108,7.68,4.97,,,,
2025,Maxwell Hairston,CB,Kentucky,11-May,183,4.28,39.5,,129,,,,,,
