overall_pick_number,position,draft_value
193,WR,81.00114782226325
193,TE,91.9644624983959
194,QB,56.61820261221851
194,RB,75.78620005093029
194,WR,80.74011700339355
194,TE,90.9952800142236
195,QB,55.94739487628078
195,RB,75.333613714894
195,WR,80.47189788185352
195,TE,90.08080034416679
196,QB,55.294804129563374
196,RB,74.90773374944314
196,WR,80.19649768283864
196,TE,89.22588240542294
197,QB,54.66360150741065
197,RB,74.5088901880752
197,WR,79.91398510903142
197,TE,88.43437700174536
198,QB,54.0564158619585
198,RB,74.13710644761632
198,WR,79.62449104549913
198,TE,87.70909143731785
199,QB,53.47529815804165
199,RB,73.79210293060498
199,WR,79.32820792936064
199,TE,87.05177150939392
200,QB,52.92169980593832
200,RB,73.4733055255657
200,WR,79.02538776588256
200,TE,86.46310141531657
201,QB,52.396465216572494
201,RB,73.17985899682265
201,WR,78.71633880168125
201,TE,85.94272188851181
202,QB,51.89983860620498
202,RB,72.9106451901044
202,WR,78.40142089445803
202,TE,85.48926665738523
203,QB,51.431484821458525
203,RB,72.66430591648216
203,WR,78.08103964709247
203,TE,85.10041710458879
204,QB,50.99052370823267
204,RB,72.43927031664555
204,WR,77.75563940106892
204,TE,84.77297479610041
205,QB,50.57557731437271
205,RB,72.23378645098182
205,WR,77.42569520961851
205,TE,84.50295135317961
206,QB,50.18482899973026
206,RB,72.04595680985962
206,WR,77.09170393420774
206,TE,84.28567495994324
207,QB,49.8160933341876
207,RB,71.87377739370339
207,WR,76.75417462839584
207,TE,84.1159126381628
208,QB,49.46689549848384
208,RB,71.71517997507921
208,WR,76.4136183901752
208,TE,83.98800728252053
209,QB,49.13455876722276
209,RB,71.56807712602887
209,WR,76.07053787739977
209,TE,83.89602833753366
210,QB,48.816298553970114
210,RB,71.43040957396634
210,WR,75.72541669012085
210,TE,83.83393491402367
211,QB,48.50932143626346
211,RB,71.30019543959949
211,WR,75.37870882848023
211,TE,83.79575009183898
212,QB,48.21092755789175
212,RB,71.17558091102568
212,WR,75.03082843483557
212,TE,83.77574513864164
213,QB,47.9186148290994
213,RB,71.05489192000137
213,WR,74.68214002373605
213,TE,83.76863239412847
214,QB,47.63018341417626
214,RB,70.93668640979344
214,WR,74.33294939319927
214,TE,83.76976562728754
215,QB,47.343839112805085
215,RB,70.81980681953658
215,WR,73.98349539504963
215,TE,83.77534677247547
216,QB,47.05829440678792
216,RB,70.70343245748953
216,WR,73.63394272111981
216,TE,83.78263808994569
